,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin,agent0_54,agent1_54,agent2_54,agent3_54,agent4_54,agent5_54
0,-2.121389389038086,-4.885787963867188,-4.329881191253662,-5.1997575759887695,-4.240616321563721,-5.300660610198975,-0.5212480425834656,-0.1205023974180221,-0.2363252341747284,-0.8903923034667969,-3.387967586517334,-0.317233681678772
2,-2.409374475479126,-6.329109191894531,-6.1890387535095215,-7.299736022949219,-7.8555588722229,-8.204217910766602,-0.1080677732825279,-0.0140570811927318,-0.1037546172738075,-10.219446182250977,-7.289449691772461,-23.70749282836914
8,-2.914876937866211,-5.067538738250732,-10.57908821105957,-10.516719818115234,-11.239194869995115,-11.53679656982422,-1.381291389465332,-0.182722270488739,-11.79788589477539,-12.124930381774902,-11.76915454864502,-12.815474510192873
16,-2.106550455093384,-4.636192798614502,-4.2246994972229,-5.5392165184021,-6.395991325378418,-6.220792770385742,-0.2342834323644638,-0.3782885074615478,-0.3467850983142853,-1.1252168416976929,-0.2581648826599121,-3.699018716812134
1,-2.268639326095581,-5.165573596954346,-6.757935523986816,-6.805076122283936,-5.718669414520264,-7.690852165222168,-0.1666609048843383,-0.0469931289553642,-0.9677832126617432,-0.3359065651893616,-0.7067575454711914,-11.910555839538574
3,-1.7885419130325315,-5.316836833953857,-7.370421409606934,-8.768831253051758,-8.023701667785645,-8.816007614135742,-0.01443597022444,-0.0050770668312907,-0.2570120096206665,-10.092124938964844,-7.14361572265625,-14.36887550354004
9,-2.5317699909210205,-4.692536354064941,-9.102989196777344,-8.722468376159668,-8.90830135345459,-8.828150749206543,-1.3985769748687744,-0.143301248550415,-6.97135066986084,-8.502845764160156,-8.922473907470703,-15.616559982299805
17,-1.969136118888855,-3.774904489517212,-3.6511034965515137,-8.357687950134277,-9.143901824951172,-8.37713623046875,-0.0154206389561295,-0.5028166174888611,-0.1739266067743301,-9.551026344299316,-9.907105445861816,-15.371787071228027
10,-2.1296210289001465,-4.17353105545044,-7.137515068054199,-8.876373291015625,-8.544734001159668,-6.796117305755615,-1.877910614013672,-0.3371735513210296,-4.536316394805908,-7.0899200439453125,-11.764028549194336,-15.403806686401367
11,-2.533302068710327,-5.4663405418396,-5.302515983581543,-4.1484694480896,-7.478915691375732,-8.411504745483398,-0.8914372324943542,-0.1324272453784942,-0.8604917526245117,-0.2232212424278259,-4.14510440826416,-17.91596031188965
18,-2.549887657165528,-4.674440860748291,-4.905297756195068,-6.130392074584961,-8.55072021484375,-8.53450870513916,-1.1810184717178345,-0.0060138991102576,-0.1595189124345779,-0.0912487506866455,-3.434985637664795,-23.011371612548828
19,-2.324880123138428,-4.0557379722595215,-6.592207908630371,-8.920942306518555,-7.264770030975342,-6.707048416137695,-0.8470706939697266,-0.1152228191494941,-6.170904636383057,-12.53310775756836,-25.943267822265625,-22.65568923950196
5,-2.198087453842163,-4.796814918518066,-4.910825252532959,-6.717202663421631,-7.487053394317627,-7.958627700805664,-1.0548182725906372,-0.1928816437721252,-0.6098953485488892,-0.8676474690437317,-23.388164520263672,-25.62117576599121
4,-2.3322408199310303,-4.970675468444824,-6.288589000701904,-6.744755744934082,-9.818793296813965,-8.897334098815918,-0.7190837264060974,-0.0532210990786552,-0.1623408049345016,-0.9354300498962402,-12.39286994934082,-13.109190940856934
12,-3.302738904953003,-3.7331368923187256,-5.725332736968994,-8.405513763427734,-9.215929985046388,-8.319024085998535,-1.4606953859329224,-0.5074331760406494,-0.4987950026988983,-1.991000413894653,-7.333752155303955,-21.550371170043945
7,-1.7665276527404783,-3.930481195449829,-5.783092021942139,-5.530838489532471,-9.658032417297363,-7.4532790184021,-1.3225058317184448,-0.6031927466392517,-4.624782085418701,-0.1984855234622955,-10.439966201782228,-8.897893905639648
13,-1.951250433921814,-6.723193645477295,-8.63559341430664,-9.324399948120115,-9.509703636169434,-9.258500099182127,-0.5517088174819946,-0.0167610272765159,-17.3131160736084,-19.56269073486328,-20.306379318237305,-20.086275100708008
6,-1.9553166627883911,-5.481655120849609,-7.957481861114502,-7.630705833435059,-7.849953174591064,-9.948383331298828,-1.3865458965301514,-0.0911477133631706,-3.5339934825897217,-6.447882652282715,-3.3608298301696777,-10.995131492614746
15,-2.1585404872894287,-6.788578510284424,-6.530978679656982,-6.102871417999268,-6.95012092590332,-6.462804794311523,,,,,,
14,-1.5836197137832642,-4.609168529510498,-6.7431159019470215,-8.385586738586426,-9.171051025390623,-8.687688827514648,,,,,,
