,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda,agent0_119,agent1_119,agent2_119,agent3_119,agent4_119,agent5_119
0,-2.816287040710449,-5.931471824645996,-6.080066680908203,-5.300775051116943,-6.421824932098389,-5.9994001388549805,-0.185586467385292,-0.4243898391723633,-7.3804216384887695,-35.63439178466797,-34.48875427246094,-32.93110656738281
2,-3.2111077308654785,-4.890501499176025,-5.2326979637146,-5.383062839508057,-5.423404693603516,-6.057627201080322,-0.1539439111948013,-0.1869457066059112,-2.24765419960022,-8.635464668273926,-33.460113525390625,-32.79505157470703
3,-2.4279677867889404,-5.390163898468018,-7.259273052215576,-6.934972763061523,-6.930944919586182,-6.711699962615967,-0.0078799575567245,-1.89432430267334,-3.3054144382476807,-14.917191505432127,-31.22962951660156,-32.88576889038086
5,-3.272374153137207,-4.664762020111084,-5.743470668792725,-6.607128620147705,-6.752651691436768,-7.038862705230713,-0.4282068610191345,-0.262045681476593,-0.1335620731115341,-0.182860255241394,-6.6270599365234375,-8.150588989257812
7,-3.17322301864624,-3.697512626647949,-6.259644031524658,-6.252979755401611,-6.032473564147949,-7.371490478515625,-0.3046954572200775,-0.1416791230440139,-0.0646771490573883,-0.1111847162246704,-6.558520317077637,-5.766402244567871
8,-2.7013638019561768,-5.758443832397461,-6.075489521026611,-6.549308776855469,-6.58938455581665,-6.187107563018799,-0.3437185287475586,-0.0897432640194892,-6.322935581207275,-11.60629940032959,-12.35483455657959,-11.450626373291016
16,-3.0631580352783203,-3.4309473037719727,-3.724801540374756,-4.878312587738037,-6.063024997711182,-6.209844589233398,-0.4755846858024597,-0.2737273871898651,-0.515276312828064,-0.0399172641336917,-0.2195408195257187,-6.921815395355225
1,-2.9816489219665527,-5.435263156890869,-6.39007043838501,-5.96760892868042,-6.249171733856201,-7.14096212387085,-0.272822231054306,-0.1579432785511016,-0.1742054522037506,-0.6246697306632996,-12.20127773284912,-16.747777938842773
10,-3.6896159648895264,-5.134607791900635,-5.643466949462891,-5.370151519775391,-6.446722507476807,-5.598265171051025,-1.6997439861297607,-1.1337801218032837,-15.935422897338867,-8.050889015197754,-5.457850933074951,-5.783149719238281
9,-2.8519768714904785,-4.020670413970947,-4.320163726806641,-6.2185821533203125,-5.863003253936768,-6.084954738616943,-0.470243752002716,-0.1260719299316406,-0.180185317993164,-4.140213489532471,-12.408184051513672,-14.343392372131348
17,-3.32546615600586,-5.063136100769043,-6.9427876472473145,-6.874661922454834,-7.5089826583862305,-7.352638721466064,-0.2779124975204468,-0.08197533339262,-10.62977123260498,-9.997690200805664,-23.94973564147949,-33.577186584472656
11,-3.395760059356689,-7.059422969818115,-7.648524761199951,-7.705513000488281,-7.791271209716797,-7.284648895263672,-0.3158685266971588,-13.164048194885254,-14.831151008605955,-15.258807182312012,-14.636696815490724,-15.12494945526123
18,-3.5275919437408447,-5.830453872680664,-6.367465972900391,-6.498164176940918,-6.804160118103027,-7.182868957519531,-0.9598199129104614,-0.1949145346879959,-0.1167195290327072,-10.009848594665527,-8.926880836486816,-14.94520664215088
19,-3.3672237396240234,-4.106666088104248,-5.190262317657471,-5.516704082489014,-6.482748985290527,-6.623863220214844,-0.4865653216838836,-0.1339019984006881,-3.171806573867798,-6.544478416442871,-22.81991577148437,-25.409809112548828
4,-2.497361183166504,-5.383871078491211,-4.761613368988037,-5.398665428161621,-6.055702686309815,-7.040355205535889,-0.0583808608353138,-0.3576097786426544,-0.4736070036888122,-6.0597243309021,-10.880011558532717,-22.26309394836425
12,-3.3777289390563965,-4.502884864807129,-4.717738151550293,-5.55348539352417,-5.8513898849487305,-6.269345283508301,-0.8848363757133484,-0.5399057865142822,-0.3788096606731415,-9.104941368103027,-12.82952117919922,-12.85059928894043
13,-2.7116692066192627,-5.5770769119262695,-4.535173416137695,-7.090166568756104,-7.695693016052246,-7.802217483520508,-0.1526590436697006,-2.518542766571045,-0.9016359448432922,-21.701515197753903,-23.30691719055176,-23.82207679748535
6,-2.765566110610962,-4.388915538787842,-6.214977741241455,-7.079195499420166,-7.079195499420166,-6.786712646484375,-1.4504673480987549,-0.146576702594757,-7.176274299621582,-11.325661659240724,-11.325661659240724,-14.331686973571776
14,-3.23227858543396,-5.103902339935303,-4.855842113494873,-4.997557163238525,-6.243806838989258,-5.634445190429688,-0.7579053640365601,-0.0122679974883794,-0.8586260080337524,-32.53770065307617,-36.3017463684082,-35.017940521240234
15,-2.455420017242432,-5.4977240562438965,-5.534614086151123,-5.330108642578125,-6.151572227478027,-6.350551128387451,-0.0126191694289445,-0.5092493295669556,-0.3343158960342407,-0.1596629023551941,-3.4083640575408936,-10.597220420837402
