,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda
0,-2.846282482147217,-6.148492813110352,-6.360695838928223,-6.055800437927246,-6.119812965393066,-5.9994001388549805
1,-3.515622615814209,-6.227464199066162,-6.472677707672119,-6.361798286437988,-6.618340492248535,-7.14096212387085
2,-3.171660184860229,-5.765083312988281,-5.797486305236816,-6.247621536254883,-6.554527282714844,-6.057627201080322
3,-3.241321086883545,-6.266582489013672,-6.444095134735107,-6.824191093444824,-6.520748615264893,-6.711699962615967
5,-3.501232147216797,-4.259838104248047,-5.423882961273193,-6.60184383392334,-6.632728576660156,-7.038862705230713
7,-5.466619968414307,-5.137341499328613,-6.464914321899414,-6.910595893859863,-6.7442779541015625,-7.371490478515625
6,-3.05017352104187,-4.400210857391357,-5.970905303955078,-6.653515338897705,-6.460934638977051,-6.786712646484375
8,-2.211231708526612,-5.538444519042969,-6.629688262939453,-6.577996730804443,-6.643592834472656,-6.187107563018799
9,-3.73523473739624,-4.290225028991699,-4.519485950469971,-6.032970905303955,-6.327761173248291,-6.084954738616943
10,-4.465362071990967,-6.372203826904297,-5.771499633789063,-5.619483947753906,-6.094594955444336,-5.598265171051025
11,-3.1455140113830566,-7.600284576416016,-7.6059956550598145,-7.667924880981445,-7.651346206665039,-7.284648895263672
13,-3.597625255584717,-6.146335124969482,-4.319591999053955,-7.328535556793213,-7.953033924102783,-7.802217483520508
12,-3.381326675415039,-4.334603786468506,-5.149271488189697,-6.022757530212402,-6.136854648590088,-6.269345283508301
14,-2.825005292892456,-4.289122104644775,-4.300562858581543,-5.599909782409668,-6.0273118019104,-5.634445190429688
23,-3.9227852821350098,-5.288816928863525,-5.205154895782471,-5.801902770996094,-6.291077613830566,-6.06356954574585
16,-4.148377418518066,-4.492680549621582,-5.211136341094971,-5.3096771240234375,-6.47614336013794,-6.209844589233398
17,-3.675793170928955,-5.587291717529297,-6.555147647857666,-7.069715023040772,-7.490947723388672,-7.352638721466064
18,-2.595855236053467,-5.683759689331055,-5.738608360290527,-6.599618911743164,-6.664410591125488,-7.182868957519531
19,-3.89858078956604,-4.12938117980957,-5.366031646728516,-6.082883834838867,-6.840839385986328,-6.623863220214844
4,-3.65617036819458,-5.567226409912109,-5.077316761016846,-5.629995346069336,-5.637247562408447,-7.040355205535889
22,-3.7641348838806152,-5.671141147613525,-6.689275741577148,-6.34946346282959,-6.7872395515441895,-6.568282127380371
21,-4.955104351043701,-4.404816150665283,-5.065300941467285,-4.555424690246582,-6.005995750427246,-6.128069877624512
15,-2.7572829723358154,-5.802070617675781,-6.335177421569824,-6.187976837158203,-6.609807014465332,-6.350551128387451
20,-3.3092219829559326,-6.723831653594971,-6.526258945465088,-6.112683773040772,-6.108501434326172,-5.217462539672852
