,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin,agent0_412,agent1_412,agent2_412,agent3_412,agent4_412,agent5_412
0,-1.0519373416900637,-1.9744561910629272,-8.323722839355469,-7.379176139831543,-7.764530658721924,-7.612565040588379,-1.7201203107833862,-0.375793993473053,-14.367267608642578,-32.578006744384766,-33.0605354309082,-34.50701141357422
2,-1.5834784507751465,-6.751684665679932,-7.130921363830566,-6.65205192565918,-5.698293685913086,-7.047727108001709,-0.3195235133171081,-6.702985286712647,-10.245076179504396,-10.924219131469728,-34.67193603515625,-35.97704315185547
3,-1.1178849935531616,-2.541310310363769,-3.827966928482056,-6.874223232269287,-8.665148735046387,-7.901458263397217,-0.0546547882258892,-1.106559991836548,-1.308291792869568,-0.0522975139319896,-26.177391052246094,-25.962900161743164
8,-1.8292726278305047,-2.239842176437378,-7.463967323303223,-7.438631057739258,-9.154871940612791,-8.098670959472656,-0.8088420629501343,-0.916167676448822,-33.795204162597656,-32.91027069091797,-34.772705078125,-36.92304611206055
16,-0.9984472393989564,-3.839451551437378,-3.308382034301758,-1.5710105895996094,-5.724410057067871,-7.567991733551025,-0.3322296142578125,-0.1940115690231323,-1.4052313566207886,-0.8062775731086731,-4.981905460357666,-14.027040481567385
1,-1.8389583826065063,-4.207569599151611,-5.04392671585083,-6.155419826507568,-6.965677261352539,-9.518107414245604,-0.1495832353830337,-0.3375952839851379,-3.2617523670196533,-0.0483797714114189,-7.514057159423828,-39.10411071777344
9,-1.3734564781188965,-3.8226242065429688,-5.56026029586792,-5.990421772003174,-7.104497909545898,-5.813544273376465,-1.3850253820419312,-0.223054900765419,-0.3949249982833862,-1.0215601921081543,-7.294355392456055,-35.108062744140625
17,-1.136718988418579,-0.5702641606330872,-1.9786707162857056,-2.986884117126465,-6.449047088623047,-8.229918479919434,-0.5227290391921997,-0.9834595918655396,-0.4934492707252502,-4.812291145324707,-4.191718578338623,-10.000571250915527
10,-1.3956716060638428,-7.9142985343933105,-8.306853294372559,-7.409212112426758,-8.849575996398926,-8.555553436279297,-0.979009211063385,-2.5123207569122314,-35.97832489013672,-40.55241012573242,-37.6387939453125,-36.748199462890625
11,-1.641223430633545,-1.5392602682113647,-3.038673162460327,-10.385299682617188,-9.185129165649414,-8.94417953491211,-0.9589037299156188,-0.2743129730224609,-1.0734708309173584,-19.922700881958008,-14.115148544311523,-16.61362075805664
18,-1.26970374584198,-3.333402872085572,-6.666508197784424,-5.416624069213867,-7.916702747344971,-7.527700424194336,-1.03743314743042,-0.8496626019477844,-4.42839241027832,-3.629137754440308,-16.250905990600586,-16.22515869140625
19,-1.3361178636550903,-7.038778781890869,-10.152514457702637,-9.04702377319336,-9.9024019241333,-8.870722770690918,-0.8512558937072754,-5.396049976348877,-12.734745979309082,-9.39166259765625,-11.24165153503418,-15.5734224319458
5,-1.135884404182434,-7.322084903717041,-8.105777740478516,-5.6618428230285645,-5.139037132263184,-4.464358806610107,-0.255118727684021,-1.1576966047286987,-0.5242021679878235,-0.0871111303567886,-0.5318218469619751,-0.0866069942712783
4,-1.408427119255066,-2.814223051071167,-2.2142796516418457,-6.7112345695495605,-8.784211158752441,-7.82967472076416,-0.9370813369750975,-0.3265815675258636,-0.5397745966911316,-5.536746025085449,-36.57075881958008,-40.855255126953125
12,-1.4021333456039429,-5.670051097869873,-6.890370845794678,-9.3169527053833,-9.3169527053833,-8.45688247680664,-1.5715402364730835,-2.370667219161988,-4.591819763183594,-12.932473182678224,-12.932473182678224,-15.884177207946776
7,-1.6186248064041138,-4.692959785461426,-4.3020758628845215,-4.3893818855285645,-8.25523853302002,-0.5100380778312683,-0.8990985751152039,-0.0671130120754242,-0.1569336056709289,-0.4482743144035339,-1.2765295505523682,-0.0848108083009719
13,-1.4506675004959106,-4.536558151245117,-2.4311344623565674,-6.007432460784912,-7.463035106658935,-7.752851486206055,-0.2686868607997894,-0.2608704268932342,-0.1119421273469924,-0.8811329007148743,-2.439689874649048,-18.09854316711425
6,-1.2159724235534668,-5.230973243713379,-7.731566429138184,-7.992112636566162,-8.513675689697266,-9.335086822509766,-1.322322130203247,-0.0533469691872596,-5.579517364501953,-9.607250213623049,-34.17949676513672,-31.667644500732425
15,-1.2761716842651367,-5.181662559509277,-7.628259658813477,-9.196185111999512,-9.188060760498049,-6.18678092956543,,,,,,
14,-1.2595164775848389,-3.950194120407105,-4.649416446685791,-5.926567077636719,-0.4930333197116852,-6.0932936668396,,,,,,
