,agent0_giraffe,agent1_giraffe,agent2_giraffe,agent3_giraffe,agent4_giraffe,agent5_giraffe
0,0.265625,0.0520833333333333,0.390625,0.2395833333333333,0.0052083333333333,0.0
1,0.3854166666666667,0.0052083333333333,0.0052083333333333,0.0,0.0,0.0052083333333333
2,0.25,0.109375,0.1875,0.390625,0.3645833333333333,0.0
3,0.3541666666666667,0.1197916666666666,0.1979166666666666,0.0208333333333333,0.015625,0.0
4,0.4791666666666667,0.0104166666666666,0.0,0.0052083333333333,0.0,0.0104166666666666
5,0.25,0.0677083333333333,0.0208333333333333,0.0364583333333333,0.0260416666666666,0.0
6,0.390625,0.2083333333333333,0.6197916666666666,0.0052083333333333,0.0,0.0
7,0.1822916666666666,0.078125,0.0,0.0,0.0,0.0
8,0.1944444444444444,0.0069444444444444,0.0138888888888888,0.0069444444444444,0.0069444444444444,0.0069444444444444
9,0.1527777777777778,0.0347222222222222,0.0,0.0,0.0,0.0138888888888888
10,0.1944444444444444,0.0972222222222222,0.3402777777777778,0.0069444444444444,0.0208333333333333,0.0069444444444444
11,0.1944444444444444,0.2083333333333333,0.1458333333333333,0.0277777777777777,0.0,0.0
12,0.2430555555555555,0.1736111111111111,0.0416666666666666,0.0,0.0,0.0
13,0.25,0.0069444444444444,0.0,0.0138888888888888,0.0069444444444444,0.0
14,0.1875,0.0347222222222222,0.0138888888888888,0.0069444444444444,0.0,0.0
15,0.4375,0.3541666666666667,0.0208333333333333,0.0069444444444444,0.0,0.0
16,0.3472222222222222,0.3888888888888889,0.3263888888888889,0.4166666666666667,0.0138888888888888,0.0069444444444444
17,0.2847222222222222,0.1319444444444444,0.0625,0.0208333333333333,0.0,0.0
18,0.1666666666666666,0.3611111111111111,0.0069444444444444,0.0,0.0,0.0
19,0.2708333333333333,0.0972222222222222,0.1180555555555555,0.0,0.0069444444444444,0.0
