,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo
1,-4.911420822143555,-12.393425941467283,-12.39739990234375,-11.479541778564451,-11.328973770141602,-10.35115909576416
3,-5.67813777923584,-5.792229652404785,-5.708312511444092,-8.509050369262695,-11.769427299499512,-8.521571159362793
8,-5.97323751449585,-6.101260662078857,-6.872732639312744,-7.647365093231201,-6.742531776428223,-9.58319854736328
2,-6.232859134674072,-12.117566108703612,-11.555659294128418,-11.479217529296877,-11.708253860473633,-11.69444751739502
14,-6.596694946289063,-5.631206035614014,-6.468206405639648,-12.082356452941896,-12.107053756713867,-12.153021812438965
12,-6.53018045425415,-11.817737579345703,-12.37684440612793,-10.936732292175291,-11.917016983032228,-12.00036334991455
21,-8.511031150817871,-11.9756441116333,-11.32890796661377,-11.728933334350586,-12.73478889465332,-11.908208847045898
23,-6.613339424133301,-10.240311622619627,-12.189705848693848,-12.881683349609377,-11.746546745300291,-12.77688217163086
9,-6.9118523597717285,-6.577739715576172,-13.229894638061523,-11.96915054321289,-11.014202117919922,-10.372681617736816
11,-4.898263931274414,-12.60397243499756,-12.227083206176758,-11.727906227111816,-12.448369979858398,-12.989608764648438
10,-5.687155723571777,-12.457515716552734,-12.080493927001951,-12.058394432067873,-11.87410831451416,-10.155476570129396
0,-6.153069019317627,-12.527976036071776,-12.368828773498535,-12.173942565917969,-12.231487274169922,-12.721726417541504
17,-6.756854057312012,-10.988916397094728,-12.812433242797852,-12.684449195861816,-12.821568489074709,-13.137091636657717
18,-7.631051540374756,-10.665210723876951,-8.651643753051758,-10.280410766601562,-11.118821144104004,-10.755448341369627
19,-6.124713897705078,-12.348405838012695,-12.427908897399902,-12.245290756225586,-12.352045059204102,-12.060593605041504
16,-5.881372928619385,-12.471447944641112,-11.99152374267578,-12.161747932434082,-12.2940034866333,-12.245613098144531
4,-5.349589824676514,-10.49204158782959,-11.705133438110352,-12.93983268737793,-10.727584838867188,-12.919968605041504
20,-5.489620208740234,-12.426538467407228,-12.510530471801758,-13.005255699157717,-13.917095184326172,-13.390494346618652
5,-5.695215225219727,-12.247930526733398,-12.487451553344728,-11.652021408081056,-12.120353698730469,-12.031437873840332
13,-6.476466655731201,-7.553878307342529,-11.31952667236328,-11.32927417755127,-11.479212760925291,-11.254095077514648
6,-6.204628944396973,-12.213056564331056,-11.218847274780272,-11.671697616577148,-12.443934440612791,-12.85708999633789
