,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan,agent0_852,agent1_852,agent2_852,agent3_852,agent4_852,agent5_852
0,-8.065475463867188,-6.652047157287598,-5.817277908325195,-5.685467720031738,-5.7407965660095215,-6.06955099105835,-2.424013376235962,-0.356620043516159,-0.4921019375324249,-0.6248863339424133,-8.571033477783203,-27.122127532958984
8,-7.964048385620117,-6.500523567199707,-5.848814487457275,-5.673606395721436,-5.597605228424072,-7.358731269836426,-1.2086730003356934,-0.5559670925140381,-7.747989654541016,-18.99017143249512,-31.793258666992188,-35.784690856933594
16,-8.407722473144531,-8.384699821472168,-8.235892295837402,-8.643710136413574,-7.664549350738525,-6.565164089202881,,,,,,
2,-8.146330833435059,-5.901191711425781,-7.996547698974609,-7.826441764831543,-7.779679298400879,-7.209614753723144,-1.0828874111175537,-1.3431599140167236,-13.49174690246582,-34.32327651977539,-33.76227569580078,-30.600643157958984
1,-7.986160755157471,-5.986700057983398,-6.865160465240479,-6.546191215515137,-6.451835632324219,-5.717582702636719,-0.2596765756607055,-0.0310651808977127,-0.1037140041589737,-0.906137764453888,-2.6642730236053467,-10.833115577697754
9,-7.814731121063232,-6.215701580047607,-4.965243816375732,-5.52775239944458,-6.643314838409424,-6.387233257293701,-0.1115766912698745,-0.0153607716783881,-0.0851447880268096,-12.54140853881836,-12.14512062072754,-17.266374588012695
17,-8.360306739807129,-7.566285133361816,-7.635271072387695,-5.597089767456055,-4.185508728027344,-5.378011703491211,,,,,,
3,-7.543569087982178,-3.2445383071899414,-4.956254005432129,-6.79650354385376,-7.127813816070557,-7.326297760009766,-0.0159166753292083,-0.1492989212274551,-0.44915571808815,-4.706080436706543,-11.956253051757812,-13.116318702697754
10,-8.004403114318848,-7.095406532287598,-8.172225952148438,-10.68160915374756,-7.412758350372314,-6.35596227645874,-1.2638893127441406,-0.1600119471549987,-0.4711687266826629,-0.6368279457092285,-0.6351075768470764,-15.837875366210938
11,-8.33390998840332,-6.888186931610107,-5.782844066619873,-5.894939422607422,-6.545727252960205,-6.37489652633667,-1.195016860961914,-0.5013445019721985,-8.482340812683105,-12.729225158691406,-20.73984336853028,-18.83575820922852
18,-7.752312660217285,-7.967668056488037,-6.467385768890381,-6.40701961517334,-5.839489459991455,-6.671683311462402,,,,,,
19,-8.282042503356934,-6.2891764640808105,-8.543044090270996,-7.575504302978516,-6.93961763381958,-7.204536437988281,,,,,,
5,-7.961630344390869,-7.185354709625244,-7.016817092895508,-7.054461479187012,-4.760268688201904,-6.295873165130615,-0.3220092058181762,-4.726247787475586,-2.190645217895508,-0.2441339194774627,-9.29253387451172,-23.757442474365234
4,-7.9885101318359375,-5.006345272064209,-6.337062358856201,-5.3985090255737305,-6.967109680175781,-5.701072216033936,-0.2651303708553314,-5.4691338539123535,-10.483177185058594,-6.418333053588867,-35.382205963134766,-34.279335021972656
12,-7.718826770782471,-5.653552532196045,-4.927173614501953,-5.730064392089844,-5.560487747192383,-6.167826175689697,,,,,,
13,-8.200447082519531,-6.148410797119141,-4.71254301071167,-7.797958374023437,-6.642012596130371,-7.011513710021973,-0.2264142632484436,-0.2652458548545837,-7.811826705932617,-6.131143569946289,-12.01185703277588,-13.705682754516602
7,-8.203017234802246,-5.620274066925049,-5.19180154800415,-7.731607437133789,-7.096919536590576,-7.083747863769531,-1.5639227628707886,-0.378596156835556,-1.7614169120788574,-18.1618709564209,-12.587713241577148,-12.621016502380373
6,-7.971304893493652,-6.949204444885254,-6.666226863861084,-7.332207202911377,-6.041357517242432,-6.361164093017578,-2.6432008743286133,-0.1723206490278244,-1.1457873582839966,-1.4956035614013672,-5.93572998046875,-19.531848907470703
15,-7.928048610687256,-6.9015984535217285,-4.6488237380981445,-3.1032469272613525,-5.321158409118652,-5.254498958587647,,,,,,
14,-7.994338989257812,-5.964623928070068,-10.237442016601562,-9.180365562438965,-8.55018138885498,-5.803413391113281,,,,,,
