,agent0_dolphin,agent1_dolphin,agent2_dolphin,agent3_dolphin,agent4_dolphin,agent5_dolphin
0,-5.953125,-6.80078125,-6.609375,-6.359375,-5.66796875,-6.21875
1,-6.21484375,-5.98828125,-6.22265625,-6.67578125,-5.90625,-6.16796875
2,-6.2734375,-6.953125,-6.09375,-6.65625,-6.26171875,-6.92578125
3,-4.15234375,-5.73046875,-4.3828125,-5.12890625,-5.83984375,-4.9921875
4,-6.76953125,-5.5,-7.09765625,-6.55859375,-6.40625,-6.828125
5,-4.8046875,-6.7421875,-6.42578125,-4.2734375,-5.125,-5.73828125
6,-6.5078125,-6.109375,-5.58203125,-4.42578125,-4.89453125,-4.828125
7,-4.35546875,-5.24609375,-4.8046875,-4.23828125,-4.37890625,-4.328125
8,-2.525390625,-5.41015625,-5.27734375,-5.51171875,-6.26171875,-6.44140625
9,-3.634765625,-7.01171875,-6.6953125,-6.1015625,-6.4453125,-6.8203125
10,-2.5390625,-5.484375,-4.328125,-4.41796875,-5.21875,-5.86328125
11,-4.28515625,-6.51171875,-5.43359375,-4.53515625,-4.63671875,-3.921875
12,-4.671875,-5.7890625,-6.50390625,-6.1796875,-5.3125,-5.91796875
13,-4.22265625,-6.08203125,-7.22265625,-7.42578125,-5.56640625,-5.32421875
14,-3.181640625,-6.67578125,-6.1328125,-5.9140625,-5.80859375,-6.26171875
15,-7.23046875,-6.4296875,-5.5703125,-6.890625,-6.8203125,-6.8515625
16,-3.138671875,-6.58984375,-6.87890625,-6.88671875,-6.19140625,-6.97265625
17,-4.71875,-5.2890625,-5.8984375,-6.171875,-6.921875,-6.66796875
18,-4.5625,-6.30078125,-5.51171875,-4.96484375,-4.97265625,-5.1328125
19,-5.0546875,-6.046875,-5.87109375,-5.93359375,-5.203125,-5.453125
