,agent0_dolphin,agent1_dolphin,agent2_dolphin,agent3_dolphin,agent4_dolphin,agent5_dolphin
1,-3.3240137100219727,-3.779884576797485,-3.39326548576355,-3.1704816818237305,-2.998222589492798,-3.05553936958313
3,-4.809186935424805,-4.958301544189453,-3.852718114852905,-3.953948497772217,-3.935710430145264,-3.8405895233154297
8,-4.062510013580322,-4.155057430267334,-3.860496282577514,-2.607490062713623,-4.627732276916504,-4.109052658081055
2,-4.102517127990723,-4.640024662017822,-3.748631477355957,-3.449493646621704,-3.1557908058166504,-3.725534677505493
14,-4.1142401695251465,-5.305361747741699,-4.106823921203613,-4.17039680480957,-3.5974371433258057,-4.383757591247559
12,-5.120865345001221,-4.25482702255249,-4.243524551391602,-4.500603675842285,-3.587832450866699,-4.293646812438965
21,-4.216578960418701,-5.75270938873291,-5.566349029541016,-4.754596710205078,-6.049821376800537,-5.534493923187256
23,-4.388494491577148,-5.196494102478027,-4.7671098709106445,-3.4901747703552246,-3.3554344177246094,-4.336256980895996
9,-4.316399097442627,-4.812462329864502,-4.108587741851807,-4.014576435089111,-4.020303726196289,-3.5796432495117188
11,-4.43251371383667,-4.467320919036865,-3.3513753414154053,-4.506526470184326,-4.135509967803955,-4.290510177612305
10,-3.5342934131622314,-3.984040260314941,-3.34423565864563,-4.04581356048584,-3.1697874069213867,-3.3466126918792725
20,-4.1493072509765625,-2.519322395324707,-2.888674736022949,-3.664546012878418,-3.317936897277832,-3.602497339248657
0,-4.308279037475586,-4.152129173278809,-4.046752452850342,-3.630513191223145,-3.1849074363708496,-3.2966439723968506
5,-4.2988481521606445,-3.688380479812622,-3.850031614303589,-3.877318382263184,-3.277549266815185,-3.3813316822052
6,-3.9878106117248535,-3.383928060531616,-3.509552478790283,-4.273446083068848,-3.5979061126708984,-3.887124538421631
17,-3.744572162628174,-3.82210373878479,-3.013302803039551,-5.012402057647705,-5.98427677154541,-4.514330387115479
18,-3.884427070617676,-3.3876171112060547,-3.6980810165405273,-3.6785078048706055,-2.8064639568328857,-3.333914279937744
19,-3.422067403793335,-4.013020515441895,-3.700169324874878,-3.2312936782836914,-3.131677627563477,-3.867582321166992
16,-6.052616596221924,-7.567107677459717,-9.694578170776367,-3.813227891921997,-3.3231396675109863,-3.914326906204224
4,-3.821222305297852,-3.76746129989624,-3.2255825996398926,-3.058558225631714,-3.405195474624634,-3.315656900405884
13,-3.287642002105713,-3.364201307296753,-2.541149377822876,-2.645564317703247,-2.538263320922852,-3.08828067779541
7,-3.9921875,-2.408203125,-3.744140625,-3.755859375,-3.166015625,-3.703125
15,-3.900390625,-3.9453125,-3.8046875,-3.330078125,-3.21484375,-3.666015625
