,agent0_dolphin,agent1_dolphin,agent2_dolphin,agent3_dolphin,agent4_dolphin,agent5_dolphin,agent0_432,agent1_432,agent2_432,agent3_432,agent4_432,agent5_432
0,-0.0236908458173275,-0.0791652351617813,-0.1087811738252639,-0.0590188056230545,-0.1176373213529586,-0.1699045747518539,-0.9012467861175536,-0.2685640454292297,-0.3679644465446472,-2.4787983894348145,-13.729549407958984,-14.26121425628662
2,-0.0169670209288597,-0.1557156294584274,-0.0815801322460174,-0.1184286773204803,-0.362103670835495,-0.3205628395080566,-0.33037930727005,-0.3091185390949249,-0.5721530914306641,-6.272688388824463,-35.587989807128906,-37.1439323425293
4,-0.0147027792409062,-0.0757176578044891,-0.1673695147037506,-0.0403587073087692,-0.0569561272859573,-0.0854499563574791,-0.0733202323317527,-0.301796942949295,-0.031752984970808,-0.3745549023151397,-14.29686164855957,-15.48656177520752
6,-0.015576135367155,-0.0805109590291976,-0.4980236291885376,-0.0698427408933639,-0.0430427305400371,-0.0904968827962875,-0.0184579119086265,-0.1694668531417846,-0.0311522744596004,-0.0731021538376808,-0.1706655323505401,-3.401895761489868
5,-0.0153593346476554,-0.0872641280293464,-0.069078616797924,-0.0488387085497379,-0.0207169465720653,-0.1731852144002914,-0.1582466959953308,-0.1744504123926162,-0.1300886869430542,-0.2150803208351135,-0.8850951194763184,-2.192126750946045
1,-0.026779307052493,-0.0988182201981544,-0.0384549237787723,-0.0641158148646354,-0.032266017049551,-0.0469946935772895,-0.3701938092708587,-0.0174636747688055,-0.1002421826124191,-0.5892552137374878,-0.5885334014892578,-13.23381519317627
3,-0.0172526054084301,-0.0886014029383659,-0.0699422359466552,-0.0588650591671466,-0.0786978229880333,-0.0932269617915153,-0.0115853380411863,-0.0570534616708755,-0.1057803034782409,-1.146478295326233,-8.812872886657715,-11.827459335327148
7,-0.0300402417778968,-0.1404363214969635,-0.2126466780900955,-0.1244561523199081,-0.0557392090559005,-0.1515890955924987,-0.9396075010299684,-0.1053274497389793,-0.3225755095481872,-8.575329780578613,-13.88363552093506,-20.244844436645508
8,-0.0185057763010263,-0.0876275300979614,-0.1352666616439819,-0.0749519318342208,-0.0329906195402145,-0.0279452539980411,-0.5109293460845947,-0.1543410867452621,-4.235098838806152,-6.965030193328857,-4.787659168243408,-7.187294006347656
10,-0.0169683098793029,-0.0624870397150516,-0.0382181294262409,-0.049281820654869,-0.1409744322299957,-0.1241963356733322,-0.1991753280162811,-0.0116380751132965,-3.605994701385498,-1.3374693393707275,-10.997106552124023,-14.959649085998535
12,-0.0176862757652997,-0.0729816257953643,-0.0295968521386384,-0.0390701629221439,-0.0390701629221439,-0.0821728184819221,-1.1413230895996094,-9.594894409179688,-6.039498805999756,-13.11957836151123,-13.11957836151123,-16.06816291809082
14,-0.017444746568799,-0.1976361721754074,-0.4428625106811523,-0.2927830517292022,-0.8133751153945923,-0.4570941925048828,-1.024325609207153,-0.1721386313438415,-8.196803092956543,-6.519381523132324,-32.0185661315918,-33.51066970825195
13,-0.0152584901079535,-0.0508005768060684,-0.0332529842853546,-0.0412694364786148,-0.2322961986064911,-0.2508915364742279,-0.1495257467031479,-3.516143321990967,-0.5283548831939697,-8.301997184753418,-27.91748809814453,-33.4715576171875
11,-0.0171477328985929,-0.0261893197894096,-0.1334917992353439,-0.0494268350303173,-0.0624157004058361,-0.0841833055019378,-1.962974548339844,-0.2503574192523956,-0.3445732295513153,-20.712276458740234,-14.764049530029297,-16.193124771118164
9,-0.0160508882254362,-0.0861880034208297,-0.1367361694574356,-0.33560910820961,-0.1184340789914131,-0.1347260922193527,-0.692285418510437,-0.0896037071943283,-0.1312426030635833,-8.495281219482422,-9.888999938964844,-10.033483505249023
15,-0.0208398923277854,-0.0470272190868854,-0.0546423718333244,-0.1066500917077064,-0.1139990165829658,-0.1784729808568954,-0.0115297175943851,-0.06029998883605,-0.2671973407268524,-4.433963298797607,-9.742931365966797,-13.00281810760498
18,-0.0141535764560103,-0.0604787543416023,-0.7457189559936523,-0.2940379977226257,-0.315516859292984,-0.3310427665710449,-0.6098878383636475,-0.0850189626216888,-25.76256561279297,-28.58208465576172,-29.02915000915528,-30.07530212402344
16,-0.0209721624851226,-0.0928036645054817,-0.0656252801418304,-0.1058223322033882,-0.0694353431463241,-0.0859248414635658,-0.1717582046985626,-0.1114594563841819,-0.1305001527070999,-3.5872790813446045,-15.9804105758667,-20.4892520904541
19,-0.021597433835268,-0.154399111866951,-0.1275911033153534,-0.2574864029884338,-0.0914402306079864,-0.1396972388029098,-0.6075708270072937,-0.0279850643128156,-0.0375910922884941,-9.1055269241333,-7.58992338180542,-13.74697208404541
17,-0.0131458025425672,-0.1135826185345649,-0.0872615054249763,-0.1070661693811416,-0.3207924365997314,-0.4574780464172363,-0.1639658063650131,-0.0254806000739336,-0.1784562319517135,-3.185431718826294,-8.697427749633789,-25.936317443847656
