,agent0_dolphin,agent1_dolphin,agent2_dolphin,agent3_dolphin,agent4_dolphin,agent5_dolphin,agent0_925,agent1_925,agent2_925,agent3_925,agent4_925,agent5_925
0,-1.0802648067474363,-0.2260646820068359,-0.2902239263057709,-0.2670146524906158,-1.95542311668396,-1.807038187980652,-0.0098883546888828,-4.627140045166016,-10.9506196975708,-0.248534694314003,-1.809134602546692,-0.2135565280914306
2,-1.2739872932434082,-0.5740537643432617,-0.4012432694435119,-0.2544972896575928,-0.1459279656410217,-0.129338651895523,-0.1533432006835937,-6.647398471832275,-0.9108998775482178,-0.5342438817024231,-2.676486253738404,-1.8544858694076536
4,-2.373110771179199,-0.93159282207489,-0.1361084878444671,-0.106210358440876,-0.1161254495382309,-0.1030581891536712,-0.4497072994709015,-0.1772675365209579,-0.2287749797105789,-0.9412095546722412,-13.088601112365724,-25.322208404541016
6,-1.2358615398406982,-0.5128824710845947,-0.9573712348937988,-0.2615697085857391,-0.2231698781251907,-0.194400742650032,-0.0067990622483193,-0.253040462732315,-0.261583924293518,-7.559844017028809,-14.11738109588623,-18.62966537475586
5,-0.8300125598907471,-0.287212073802948,-0.2706374228000641,-0.2701389193534851,-0.2776162326335907,-0.2513029277324676,-0.0566489957273006,-1.0989817380905151,-10.33801555633545,-12.735491752624512,-12.493030548095703,-13.239201545715332
1,-1.9101929664611816,-1.2675776481628418,-0.1980557739734649,-0.1404779553413391,-0.1371023058891296,-0.4314378499984741,-0.0517845973372459,-0.0917227566242218,-0.0498162023723125,-3.837583780288696,-0.1844293028116226,-4.317027568817139
3,-0.6185194253921509,-1.8039588928222656,-0.3780786991119385,-0.153919905424118,-0.1970695555210113,-0.2326926290988922,-0.0063942838460206,-0.1334922015666961,-0.2660287320613861,-5.757466793060303,-22.02851676940918,-20.99768829345703
7,-1.3622207641601562,-0.5041230916976929,-0.0736963748931884,-0.0955043882131576,-0.0964859947562217,-0.0841129496693611,-1.665575385093689,-0.0146208321675658,-17.01238441467285,-27.230148315429688,-27.30112266540528,-27.400672912597656
8,-1.853082656860352,-1.0039148330688477,-0.1419741809368133,-0.1784575283527374,-0.1819741427898407,-0.156138002872467,-0.5916914343833923,-0.1141775622963905,-21.361343383789062,-23.33540344238281,-23.385967254638672,-25.076038360595703
10,-0.911429226398468,-0.4896333217620849,-0.3624959290027618,-0.5420688986778259,-0.2687470018863678,-0.1488548964262008,-1.0291684865951538,-0.1646719872951507,-0.2216151058673858,-0.5480390787124634,-13.84005355834961,-16.47992706298828
12,-1.6609020233154297,-0.322298139333725,-0.123057335615158,-0.1253240555524826,-0.1253240555524826,-0.1488276720046997,-1.4103227853775024,-0.9356963634490968,-9.418570518493652,-12.260497093200684,-12.260497093200684,-12.288690567016602
14,-1.424231767654419,-0.2271357625722885,-0.719154953956604,-0.5919269323348999,-0.1910073012113571,-0.2161772698163986,-1.1008423566818235,-1.4336462020874023,-0.0365463234484195,-1.5742489099502563,-16.318178176879883,-7.085470676422119
13,-0.882720947265625,-0.1717250645160675,-0.233283594250679,-0.122567281126976,-0.122567281126976,-0.1564955711364746,-0.030204264447093,-4.096806526184082,-6.882829189300537,-9.791655540466309,-9.791655540466309,-8.775721549987793
11,-1.1574232578277588,-0.5042507648468018,-0.28712859749794,-0.1177218928933143,-0.0902536958456039,-0.1610599011182785,-0.2246647477149963,-0.0768364444375038,-0.1636412739753723,-1.7306337356567385,-3.2095837593078613,-7.0933709144592285
9,-1.304178237915039,-0.5911163091659546,-0.8528504371643066,-0.2723236382007599,-0.1480767875909805,-0.1883767396211624,-1.0757479667663574,-0.660530149936676,-0.5502726435661316,-6.766108512878418,-40.15814208984375,-38.72900772094727
15,-0.6736817359924316,-2.500133514404297,-0.2264018058776855,-0.1287574619054794,-0.16597880423069,-0.2170310318470001,-0.0009255892946384,-0.3972084820270538,-2.12853741645813,-7.83889627456665,-38.74391174316406,-39.94989776611328
18,-1.0893747806549072,-1.344188928604126,-0.2734963297843933,-0.2169766128063202,-0.2848193943500519,-0.4294093251228332,-0.9488303065299988,-0.0497191324830055,-10.803980827331545,-16.080923080444336,-35.70143127441406,-35.25707244873047
16,-1.3913301229476929,-1.33924663066864,-1.176197528839111,-0.7855803966522217,-0.1395986378192901,-0.2183519005775451,-0.0814949795603752,-0.0472629144787788,-0.0980215296149253,-0.2347095757722854,-14.09730625152588,-14.00424098968506
19,-1.2930350303649902,-0.1609715074300766,-0.1384358555078506,-0.1189158856868743,-0.1262964904308319,-0.1398918032646179,-1.083407998085022,-6.57629919052124,-10.93744659423828,-11.950202941894531,-11.2637357711792,-10.105301856994627
17,-0.7833124399185181,-0.3953069746494293,-0.1477484852075576,-0.2417639344930648,-0.2890234589576721,-0.4823769927024841,-0.0577998906373977,-3.5696284770965576,-15.83592128753662,-33.6326789855957,-34.8023796081543,-35.38938903808594
