,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
1,-2.3619627952575684,-11.832892417907717,-11.492444038391112,-11.271129608154297,-10.94941520690918,-8.738767623901367
3,-2.7118825912475586,-4.684365272521973,-7.854536533355713,-11.64817237854004,-10.80199909210205,-11.859511375427246
8,-3.5432205200195312,-7.49860143661499,-10.165986061096191,-11.251157760620115,-9.596539497375488,-10.094256401062012
2,-1.8898727893829343,-11.736217498779297,-11.384588241577148,-10.415790557861328,-11.583460807800291,-12.257854461669922
14,-1.9025462865829468,-12.038599014282228,-11.16956901550293,-10.97175407409668,-10.831719398498535,-11.175573348999023
12,-2.1178345680236816,-7.265798091888428,-11.232872009277344,-11.56056022644043,-11.194762229919434,-11.635979652404783
21,-3.1396286487579346,-4.66004753112793,-4.748095989227295,-10.2796630859375,-11.375612258911133,-11.568277359008787
23,-2.561336040496826,-11.64042854309082,-10.659629821777344,-11.374382972717283,-11.328116416931152,-11.383419036865234
9,-2.693959951400757,-8.245624542236328,-12.684917449951172,-12.881818771362305,-11.995930671691896,-12.818099975585938
11,-3.4998204708099365,-5.664772033691406,-8.498387336730957,-9.165434837341309,-9.268935203552246,-8.179447174072266
10,-2.88113784790039,-8.077070236206055,-11.400327682495115,-10.257085800170898,-11.746610641479492,-11.830840110778809
20,-3.897383451461792,-12.366750717163086,-12.91398811340332,-12.011408805847168,-11.986587524414062,-10.909527778625488
0,-2.090294361114502,-11.673623085021973,-10.946828842163086,-10.831603050231934,-10.993735313415527,-11.342287063598633
15,-1.7425554990768433,-3.627784252166748,-12.710726737976074,-10.135384559631348,-10.341617584228516,-10.447066307067873
6,-2.16146206855774,-9.9879150390625,-11.747551918029783,-11.376425743103027,-11.916437149047852,-12.71387004852295
5,-3.444338321685791,-7.257872104644775,-6.570791244506836,-12.282184600830078,-12.326162338256836,-12.475175857543944
7,-2.229459285736084,-8.907888412475586,-11.625123977661133,-11.540593147277832,-10.455083847045898,-10.238606452941896
4,-1.9046674966812127,-3.303635358810425,-11.530048370361328,-13.021682739257812,-11.637547492980955,-11.82693099975586
17,-4.336740970611572,-5.668186187744141,-5.673952579498291,-12.825616836547852,-11.664570808410645,-12.395583152770996
18,-4.133707523345947,-8.000652313232422,-5.629280090332031,-4.641004085540772,-11.65433120727539,-11.255085945129396
19,-2.914499521255493,-12.07663917541504,-10.892468452453612,-10.316420555114746,-9.83055019378662,-11.040093421936035
16,-3.5109071731567383,-6.072110176086426,-11.308648109436035,-11.961441040039062,-12.08924961090088,-12.301247596740724
13,-2.1350245475769043,-6.938201427459717,-7.53032636642456,-11.442575454711914,-11.716513633728027,-11.535072326660156
