,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan,agent0_819,agent1_819,agent2_819,agent3_819,agent4_819,agent5_819
0,-7.2198805809021,-6.41625452041626,-6.017179012298584,-6.108888626098633,-6.689151287078857,-5.527787208557129,-0.0169242396950721,-0.050604835152626,-0.7398730516433716,-0.518135130405426,-3.0355112552642822,-0.5962374806404114
8,-6.769268035888672,-6.722866058349609,-6.757317543029785,-6.198765277862549,-5.276605129241943,-6.212359428405762,-1.5176366567611694,-0.1025122478604316,-0.1855302602052688,-0.1886406242847442,-0.8253474831581116,-16.208391189575195
16,-7.405803680419922,-7.212245941162109,-6.917050361633301,-6.520252704620361,-7.230576038360596,-7.503139972686768,,,,,,
2,-6.982997894287109,-6.178778648376465,-5.426028251647949,-5.458471775054932,-7.226532459259033,-6.852672576904297,-0.3995357453823089,-0.146720290184021,-0.1041545048356056,-3.778244018554688,-5.750257968902588,-9.84488582611084
1,-6.82982349395752,-5.631150245666504,-5.668651103973389,-6.402883052825928,-6.337399959564209,-6.733831405639648,-0.2421644926071167,-0.0657349750399589,-22.16685104370117,-31.348682403564453,-30.69182777404785,-30.03899002075196
9,-7.019142150878906,-5.870786666870117,-4.573353290557861,-5.447549819946289,-6.225737571716309,-5.956164836883545,-1.1732572317123413,-0.321234256029129,-0.0537590682506561,-1.4985017776489258,-0.4990483820438385,-0.1874523311853408
17,-6.992985725402832,-5.626109600067139,-5.750575542449951,-6.141286849975586,-6.090424537658691,-6.55281925201416,,,,,,
3,-7.522647857666016,-7.890180110931396,-8.560568809509277,-9.830322265625,-8.176994323730469,-6.488058090209961,-0.0126875592395663,-0.7811030149459839,-0.8423859477043152,-0.2572024762630462,-0.442393958568573,-9.910627365112305
10,-6.735036373138428,-5.631607532501221,-5.722320079803467,-4.169071674346924,-7.601087093353271,-6.387087821960449,-1.1242151260375977,-0.1380608081817627,-0.3323546648025512,-0.1109751984477043,-17.778949737548828,-19.49679183959961
11,-6.945634841918945,-5.758139610290527,-5.907313346862793,-6.095362186431885,-6.095362186431885,-6.782723903656006,-0.6782097220420837,-1.816731572151184,-12.343945503234863,-13.10214614868164,-13.10214614868164,-14.851632118225098
18,-7.578932762145996,-7.25419807434082,-7.45219612121582,-6.475100517272949,-4.5264387130737305,-6.431511402130127,,,,,,
19,-7.080454349517822,-6.670520782470703,-5.490032196044922,-4.186062812805176,-5.260835647583008,-6.279862880706787,-0.5697221159934998,-0.0719309374690055,-0.5707672834396362,-0.2618765532970428,-0.8320758938789368,-11.920236587524414
5,-6.56517505645752,-5.159482955932617,-6.417271137237549,-5.744747638702393,-7.107919216156006,-6.711936950683594,-0.571139395236969,-3.6668601036071777,-5.785208225250244,-10.44182586669922,-15.755043983459473,-14.728485107421877
4,-6.925695896148682,-5.8941802978515625,-5.6916375160217285,-6.131871223449707,-6.131871223449707,-6.305171012878418,-0.0447286516427993,-0.5049389004707336,-15.002115249633787,-13.015616416931152,-13.015616416931152,-17.00436019897461
12,-7.598151206970215,-6.820136547088623,-6.031612873077393,-6.053863525390625,-6.392088413238525,-6.957676410675049,,,,,,
13,-7.688380718231201,-7.109385967254639,-7.657242298126221,-4.942648410797119,-4.798552513122559,-6.260440349578857,-0.1209731772541999,-0.6172728538513184,-0.2271665930747985,-0.5011587142944336,-10.590139389038086,-13.956639289855957
7,-6.902201175689697,-7.393020153045654,-6.068817615509033,-5.543027877807617,-6.289956569671631,-6.407235622406006,-1.1148083209991455,-0.1957096457481384,-11.898056983947754,-9.81596851348877,-8.211298942565918,-9.409939765930176
6,-7.220211029052734,-6.856210708618164,-5.041192531585693,-5.893101215362549,-5.892158031463623,-6.687572479248047,-0.0336604081094265,-0.0807583108544349,-0.1130704805254936,-3.357914686203003,-8.066333770751953,-26.66139793395996
15,-6.972292423248291,-6.989330768585205,-4.699826717376709,-5.759466648101807,-5.997739315032959,-6.362226963043213,,,,,,
14,-7.670379161834717,-5.807628631591797,-6.292750835418701,-6.287888526916504,-6.311216354370117,-6.362302303314209,,,,,,
