,agent0_giraffe,agent1_giraffe,agent2_giraffe,agent3_giraffe,agent4_giraffe,agent5_giraffe,agent0_377,agent1_377,agent2_377,agent3_377,agent4_377,agent5_377
0,-1.2174186706542969,-1.5343281030654907,-1.0309476852416992,-3.506967544555664,-3.8633737564086914,-2.916354179382324,-0.301573246717453,-0.1825414448976516,-0.3254248797893524,-8.74350357055664,-31.41841125488281,-28.90114021301269
2,-0.7004648447036743,-1.01827871799469,-1.391161561012268,-2.875152826309204,-2.4408020973205566,-3.385317087173462,-0.4199132323265075,-0.0205105822533369,-0.1548385024070739,-0.2843008041381836,-0.3682221174240112,-7.214743614196777
4,-0.537017285823822,-0.7964466214179993,-2.233649492263794,-3.5515036582946777,-4.464815139770508,-3.681605339050293,-0.1131925508379936,-0.2764255702495575,-0.1071697697043418,-8.555079460144043,-9.503055572509766,-11.129632949829102
6,-0.4192635416984558,-1.3689459562301636,-4.827993869781494,-4.84684944152832,-5.0423197746276855,-4.37851619720459,-0.0316389538347721,-0.0566607564687728,-11.203618049621582,-7.7219319343566895,-13.950864791870115,-12.48531723022461
5,-0.8377131819725037,-1.23285174369812,-2.328385591506958,-4.585693836212158,-3.967458963394165,-4.922379970550537,-0.539769172668457,-0.1099697723984718,-1.0285637378692627,-2.5754141807556152,-0.9902136325836182,-25.86334609985352
1,-0.9989826083183287,-1.9201080799102783,-1.076442837715149,-3.229736089706421,-4.488738536834717,-5.654353618621826,-0.8252463340759277,-5.166768550872803,-0.2853593826293945,-6.746063709259033,-7.922433376312256,-16.53873634338379
3,-0.3918940126895904,-0.982819676399231,-1.291306495666504,-2.5867414474487305,-3.866933822631836,-2.674036741256714,-0.0348060466349124,-0.1349104791879654,-0.2424188703298568,-4.279908657073975,-3.7918918132781982,-3.476670265197754
7,-1.0316705703735352,-0.8862000107765198,-2.451991081237793,-1.567698359489441,-1.4247426986694336,-1.1589101552963257,-0.7819526791572571,-0.2311825901269912,-0.3739491999149322,-24.323915481567383,-24.95991516113281,-27.12775039672852
8,-1.590240716934204,-2.110003709793091,-1.833537578582764,-2.7702713012695312,-3.0225329399108887,-4.483606338500977,-0.9324241280555724,-0.0248812977224588,-0.3638991415500641,-4.1172943115234375,-20.776100158691406,-24.77238845825196
10,-0.5508319735527039,-3.1241936683654785,-3.047806024551392,-3.05723524093628,-4.808923721313477,-3.814591646194458,-3.0483145713806152,-3.505924940109253,-1.2658672332763672,-5.010042667388916,-7.597096443176269,-5.296632289886475
12,-0.7164649367332458,-0.8696646094322205,-3.851258993148804,-3.928770303726196,-5.0762858390808105,-4.351780414581299,-1.5593879222869873,-0.1851592659950256,-7.192119121551514,-18.074501037597656,-30.28946685791016,-27.853721618652344
14,-1.0275036096572876,-0.7881603240966797,-3.8376479148864746,-4.567034721374512,-4.744251728057861,-4.763030052185059,,,,,,
13,-0.7003602981567383,-2.78192400932312,-3.6771469116210938,-4.679620742797852,-4.781983375549316,-5.24712610244751,-0.8076462149620056,-8.717109680175781,-5.958054065704346,-21.475261688232425,-21.318580627441406,-22.83848571777344
11,-0.9248311519622804,-1.871236681938172,-1.2995156049728394,-3.990414619445801,-4.402448654174805,-4.127420902252197,-1.8660409450531008,-1.813733577728272,-7.6276535987854,-6.716756343841553,-4.709045886993408,-6.2181596755981445
18,-0.9933696389198304,-3.041777849197388,-3.782796859741211,-4.381070137023926,-4.393631458282471,-4.848237991333008,-1.3665671348571775,-0.2488618344068527,-6.474459171295166,-9.166749000549316,-9.470890045166016,-10.531633377075195
15,-0.4203082621097564,-0.5203596949577332,-1.5589377880096436,-3.719714403152466,-4.3210768699646,-4.503851413726807,,,,,,
9,-0.8118377327919006,-0.7680264711380005,-0.9243524074554444,-1.8919252157211304,-2.4891810417175293,-2.973191261291504,-0.924071729183197,-0.6539515256881714,-0.0411542356014251,-0.7412586808204651,-0.728144109249115,-1.5097825527191162
16,-0.6873571276664734,-1.9093488454818728,-3.9505910873413086,-4.454881191253662,-4.454881191253662,-4.851902008056641,-0.4903191924095154,-2.3139138221740723,-6.955990314483643,-8.081330299377441,-8.081330299377441,-8.360642433166504
19,-1.402562141418457,-2.264691114425659,-1.152257800102234,-4.1969146728515625,-1.762117624282837,-2.7005040645599365,-0.4898937344551086,-0.8100690841674805,-2.2831597328186035,-2.450714111328125,-1.887291669845581,-2.842391014099121
17,-0.7564784288406372,-1.149322509765625,-1.140442132949829,-3.121377944946289,-4.2973713874816895,-4.14931583404541,-0.2696173191070556,-0.0354853235185146,-0.0394905321300029,-1.7410154342651367,-3.055590867996216,-15.093873023986816
