,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo,agent0_202,agent1_202,agent2_202,agent3_202,agent4_202,agent5_202
0,-1.397247314453125,-2.1489007472991943,-5.796051502227783,-5.537565231323242,-7.312728404998779,-6.739755630493164,-0.6849474310874939,-0.1051208972930908,-0.032655943185091,-0.152557834982872,-20.520227432250977,-25.23884391784668
2,-0.9360774159431458,-2.9861984252929688,-3.014225482940674,-2.6106717586517334,-1.901694059371948,-1.3541913032531738,-0.7209877371788025,-0.0156964603811502,-0.195877730846405,-0.3294543325901031,-0.1957221925258636,-1.0403401851654053
4,-1.3749549388885498,-1.358742356300354,-5.320465087890625,-4.049344062805176,-6.762625217437744,-6.3082275390625,-0.9188920259475708,-0.3455657958984375,-2.154679775238037,-0.3750151395797729,-1.3716338872909546,-3.872802257537842
6,-0.720385730266571,-2.6684603691101074,-4.634396076202393,-3.74713397026062,-6.062100410461426,-6.7243499755859375,-1.7933785915374756,-0.2000695466995239,-0.0473095551133155,-0.0876609608530998,-0.4073456525802612,-4.452816963195801
5,-0.8788585662841797,-2.260939598083496,-3.382345676422119,-6.512186050415039,-7.94588041305542,-7.598793983459473,-0.4427372515201568,-0.5462289452552795,-0.3789202868938446,-11.0169677734375,-5.790627956390381,-21.7440185546875
1,-0.9643633365631104,-3.547476530075073,-3.712597370147705,-5.315081596374512,-6.057923316955566,-7.315924167633057,-0.2810401320457458,-1.443915605545044,-0.4821397960186004,-5.337419033050537,-5.686580181121826,-19.39309310913086
3,-0.9633958339691162,-3.578547239303589,-2.6054298877716064,-2.660757064819336,-4.254246234893799,-4.091307163238525,-2.3239996433258057,-0.5034679174423218,-0.5675374269485474,-0.6086313128471375,-10.112175941467283,-24.62712478637696
7,-1.0466376543045044,-3.173313856124878,-6.31220293045044,-7.925799369812012,-8.236334800720215,-8.919587135314941,-1.0758957862854004,-0.0286100208759307,-2.082730531692505,-13.2146635055542,-26.222373962402344,-28.224498748779297
8,-1.2952239513397217,-1.923904538154602,-5.584889888763428,-8.411227226257324,-7.695284843444824,-7.732206344604492,-0.8334330916404724,-0.305760771036148,-0.6998357772827148,-20.179208755493164,-20.53989028930664,-23.99310874938965
10,-1.4100494384765625,-5.294496059417725,-6.150594234466553,-6.10347318649292,-7.113090991973877,-8.38582706451416,-1.1557750701904297,-3.926362991333008,-3.563631296157837,-4.097332954406738,-24.405105590820312,-26.633527755737305
12,-1.0768553018569946,-2.823927402496338,-2.234726667404175,-1.754374384880066,-3.816992282867432,-5.152624130249023,-1.3514310121536257,-0.5712941884994507,-0.5041074752807617,-0.2743343710899353,-1.091830849647522,-9.399426460266112
14,-1.1330742835998535,-2.849895000457764,-6.673000812530518,-7.176092624664307,-7.139307498931885,-6.917525291442871,,,,,,
13,-0.9417691230773926,-2.1314473152160645,-4.244091510772705,-7.259378433227539,-7.774999618530273,-7.974417686462402,-1.3138689994812012,-0.0381345897912979,-0.3265273571014404,-8.784502029418945,-10.58257007598877,-16.100587844848633
11,-1.1320582628250122,-2.5967226028442383,-4.630897998809815,-7.103430271148682,-6.764220714569092,-7.354476451873779,-2.4218053817749023,-0.3979786932468414,-8.170215606689453,-23.479719161987305,-24.831939697265625,-22.23453712463379
18,-1.078168272972107,-3.426365375518799,-6.058493614196777,-6.951168537139893,-7.424370765686035,-7.139029502868652,-0.0488417744636535,-0.7981623411178589,-5.555221080780029,-17.64402961730957,-19.850086212158203,-24.3298282623291
15,-1.16383159160614,-2.795091390609741,-7.172064781188965,-7.52543306350708,-7.639822483062744,-7.611821174621582,,,,,,
9,-1.0899569988250732,-1.6541322469711304,-5.25975227355957,-3.4418647289276123,-3.257364749908448,-5.217983722686768,-1.4041030406951904,-0.0657254382967948,-2.5247366428375244,-0.4770621657371521,-10.213048934936523,-19.867923736572266
16,-0.9059785604476928,-1.235123872756958,-1.633923888206482,-5.665657997131348,-7.201985836029053,-7.146482467651367,-0.537442684173584,-0.3382182121276855,-0.4136459231376648,-9.878399848937988,-21.390888214111328,-22.602588653564453
19,-1.353369951248169,-3.4438602924346924,-5.342400074005127,-6.634207725524902,-7.210475921630859,-7.331958770751953,-1.0770113468170166,-0.214443102478981,-0.3936842381954193,-19.82287979125977,-23.13778114318848,-23.25667953491211
17,-1.0050089359283447,-2.655545234680176,-8.140565872192383,-8.646483421325684,-8.433653831481934,-8.599870681762695,-0.3199536800384521,-0.0771849676966667,-11.921350479125977,-21.7991886138916,-23.49912643432617,-23.41275787353516
