,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan,agent0_189,agent1_189,agent2_189,agent3_189,agent4_189,agent5_189
0,-6.059379577636719,-5.710800647735596,-4.053316116333008,-4.335372924804688,-6.405712604522705,-6.658087730407715,-0.5828957557678223,-0.1325095295906067,-0.1578432768583297,-0.5135645866394043,-8.523833274841309,-14.051350593566896
8,-5.853299617767334,-5.104193210601807,-5.716660976409912,-5.866744041442871,-6.229047775268555,-6.147814750671387,-1.4463813304901123,-0.3221736252307892,-12.61279582977295,-9.72360134124756,-7.322234153747559,-9.390124320983888
16,-6.322084903717041,-5.226160049438477,-5.384467601776123,-6.094290256500244,-6.269178867340088,-6.379517078399658,,,,,,
2,-5.822736740112305,-6.170873641967773,-6.046170711517334,-6.153130054473877,-5.965461730957031,-5.891857624053955,-0.1713286191225052,-12.315683364868164,-10.760966300964355,-12.148483276367188,-8.88199234008789,-16.12535285949707
1,-5.438709735870361,-6.6356201171875,-5.976459980010986,-6.444469451904297,-6.282609939575195,-6.286176681518555,-0.36623615026474,-14.884886741638184,-7.415182113647461,-10.351198196411133,-15.284439086914062,-13.126821517944336
9,-6.128481388092041,-5.931135177612305,-5.916931629180908,-6.430315017700195,-6.326218605041504,-6.691816329956055,-0.8720952272415161,-1.338998317718506,-3.878808736801148,-7.952089309692383,-5.695522308349609,-9.53316879272461
17,-6.061772346496582,-5.202513217926025,-5.0808539390563965,-5.675563335418701,-5.698187351226807,-6.116007328033447,,,,,,
3,-5.893713474273682,-6.869834899902344,-7.167837619781494,-3.941305637359619,-5.980987548828125,-5.63177490234375,-0.0175026152282953,-0.444275289773941,-0.0429475046694278,-0.1337175667285919,-11.660161018371582,-22.95759963989257
10,-6.19935941696167,-5.210633754730225,-5.038218021392822,-5.8022308349609375,-5.802709579467773,-5.869095325469971,-2.10123872756958,-0.6121978759765625,-6.119093894958496,-8.842612266540527,-8.820438385009766,-9.072197914123535
11,-6.468235969543457,-5.393246173858643,-6.467094421386719,-5.436477184295654,-5.37493896484375,-6.261392593383789,-1.2370761632919312,-0.2048412263393402,-0.6677471995353699,-1.350666880607605,-7.159844875335693,-12.406521797180176
18,-5.207076072692871,-6.072535991668701,-6.588680267333984,-6.964406967163086,-9.396888732910156,-8.788509368896484,,,,,,
19,-6.264694213867188,-5.542664051055908,-5.071244239807129,-6.197859287261963,-6.137035846710205,-6.359000205993652,-1.329007863998413,-0.0975929647684097,-5.095995903015137,-11.75290298461914,-12.00417423248291,-17.29361915588379
5,-5.621279716491699,-5.281743049621582,-5.319667339324951,-4.919715404510498,-5.666359901428223,-5.358026504516602,-0.338674396276474,-5.804834842681885,-16.980358123779297,-9.935144424438477,-15.814105033874512,-15.536663055419922
4,-5.999439716339111,-7.07740592956543,-5.8504838943481445,-5.459752082824707,-6.571845531463623,-6.904036045074463,-0.1259714663028717,-2.0091631412506104,-0.0710928663611412,-3.895452976226807,-9.82536792755127,-32.48728561401367
12,-6.755684852600098,-6.059747219085693,-6.0162353515625,-6.315854072570801,-6.268058300018311,-5.851748466491699,,,,,,
13,-6.548117160797119,-5.717679977416992,-6.685081958770752,-6.557978630065918,-6.08832311630249,-6.325899600982666,-0.0669188797473907,-0.1478116810321808,-12.64210319519043,-24.782514572143555,-25.818403244018555,-26.813762664794922
7,-6.002714157104492,-5.65624475479126,-7.907453060150146,-5.51820707321167,-5.380599021911621,-6.29561185836792,-0.816377580165863,-0.0153397759422659,-0.0011064906138926,-1.0812572240829468,-6.982998847961426,-7.661598205566406
6,-6.472527503967285,-4.79462480545044,-5.756749629974365,-6.581608295440674,-6.699485301971436,-7.47385311126709,-0.0155148673802614,-0.5927842259407043,-6.335916519165039,-13.631887435913086,-29.55286407470703,-34.32093048095703
15,-6.046939849853516,-6.775574207305908,-5.994169235229492,-4.800338268280029,-5.833474636077881,-6.516278266906738,,,,,,
14,-5.947804927825928,-6.264860153198242,-6.15194845199585,-5.533268928527832,-4.762794494628906,-6.186893939971924,,,,,,
