,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
0,-7.48046875,-9.671875,-8.8671875,-8.9765625,-9.3046875,-9.6015625
1,-7.73046875,-9.515625,-8.9140625,-8.90625,-8.78125,-9.6328125
2,-7.59765625,-9.109375,-9.921875,-10.453125,-9.328125,-9.921875
3,-7.7578125,-9.171875,-9.5546875,-9.8203125,-9.0234375,-10.15625
4,-8.2109375,-8.8671875,-8.6796875,-8.34375,-8.375,-9.9921875
5,-8.234375,-9.34375,-8.453125,-8.5078125,-8.5703125,-8.0546875
6,-7.9296875,-9.2421875,-9.171875,-10.203125,-8.9375,-10.359375
7,-7.16796875,-10.796875,-9.2109375,-9.1875,-9.328125,-10.25
8,-7.80859375,-8.9296875,-9.359375,-8.5390625,-8.765625,-11.015625
9,-7.8671875,-9.1875,-7.78515625,-8.4765625,-8.609375,-10.3125
10,-7.5546875,-8.8671875,-8.296875,-9.1640625,-8.96875,-9.328125
11,-7.85546875,-8.7421875,-9.0859375,-8.9296875,-8.5703125,-9.40625
12,-7.96484375,-8.5703125,-8.7734375,-9.140625,-8.8515625,-9.7890625
13,-7.38671875,-9.546875,-9.78125,-9.2421875,-9.6171875,-11.640625
14,-7.95703125,-8.6796875,-9.0859375,-9.453125,-9.0234375,-9.984375
15,-7.73046875,-9.515625,-8.6953125,-8.2109375,-7.8671875,-8.1796875
16,-7.703125,-9.0078125,-8.2109375,-8.2109375,-8.2109375,-9.921875
17,-8.140625,-9.03125,-9.6484375,-9.328125,-9.7890625,-9.8984375
18,-7.1796875,-9.5078125,-8.4140625,-8.4140625,-8.40625,-9.546875
19,-9.6328125,-10.1484375,-10.53125,-10.5703125,-9.0390625,-10.0
