,agent0_giraffe,agent1_giraffe,agent2_giraffe,agent3_giraffe,agent4_giraffe,agent5_giraffe,agent0_379,agent1_379,agent2_379,agent3_379,agent4_379,agent5_379
0,-0.745151162147522,-1.2536649703979492,-3.063394546508789,-2.174201011657715,-3.82287073135376,-3.3542182445526123,-1.018565654754639,-0.3548102080821991,-0.763399064540863,-10.7459135055542,-11.770054817199709,-12.545282363891602
2,-0.6280655264854431,-0.9519082307815552,-3.66963243484497,-4.04075288772583,-4.008760929107666,-4.040802955627441,-0.4389946460723877,-0.1026429608464241,-8.971014976501465,-8.124374389648438,-8.541934967041016,-9.546528816223145
4,-0.647169291973114,-1.945815920829773,-3.821905851364136,-3.821905851364136,-3.821905851364136,-4.028543949127197,-0.3864805400371551,-1.114901423454285,-11.755744934082031,-11.755744934082031,-11.755744934082031,-11.465240478515623
6,-0.5607247352600098,-2.3162474632263184,-3.576413154602051,-5.076687812805176,-4.398400783538818,-4.598345279693604,-0.0494812950491905,-0.1225450560450553,-7.413810729980469,-27.597976684570312,-27.61499786376953,-27.295551300048828
5,-0.6503671407699585,-1.873095750808716,-1.3674558401107788,-1.6897261142730713,-2.0085909366607666,-1.2976874113082886,-0.4930797219276428,-0.1786966621875763,-0.2635676264762878,-1.5469383001327517,-3.436298370361328,-2.953385591506958
1,-0.9549885988235474,-1.521674394607544,-2.1076500415802,-5.0913166999816895,-4.654242515563965,-4.875867366790772,-0.5279719829559326,-0.5958816409111023,-7.765547752380371,-14.589667320251465,-18.39941024780273,-28.262874603271484
3,-0.5908280611038208,-1.5477889776229858,-3.4297945499420166,-4.115561008453369,-4.706600189208984,-4.10606050491333,-0.0516079999506473,-0.2888090014457702,-1.4908849000930786,-7.078806400299072,-8.478959083557129,-8.450104713439941
7,-1.0630944967269895,-0.9889715909957886,-4.6420440673828125,-4.524798393249512,-6.251322269439697,-5.18425989151001,-1.0950443744659424,-0.0619776733219623,-8.503689765930176,-9.107869148254396,-25.6142692565918,-19.88943862915039
8,-1.0980743169784546,-2.8933544158935547,-4.030832767486572,-4.014806270599365,-3.833042144775391,-4.468656539916992,-1.557904601097107,-9.85339641571045,-11.903813362121582,-11.454373359680176,-11.564249992370604,-12.403423309326172
10,-0.672626793384552,-1.4147381782531738,-3.4546213150024414,-4.435145378112793,-3.9698970317840576,-2.471579074859619,-0.915248692035675,-1.1339335441589355,-5.627433300018311,-8.460977554321289,-12.426024436950684,-30.443416595458984
12,-0.7247140407562256,-3.11444091796875,-4.044032573699951,-4.315626621246338,-4.370690822601318,-3.807333707809448,,,,,,
14,-1.3083769083023071,-1.5315648317337036,-1.710886001586914,-3.741967916488648,-2.488320589065552,-3.6295340061187744,,,,,,
13,-0.5819781422615051,-0.8633541464805603,-1.2112983465194702,-0.850624144077301,-0.8371212482452393,-3.95585560798645,-0.4477169513702392,-0.2376353740692138,-3.3265442848205566,-0.4977725446224212,-0.0932066515088081,-8.272604942321777
11,-1.216240644454956,-1.7857897281646729,-2.0193686485290527,-4.510635852813721,-4.239998817443848,-3.0267410278320312,-1.0290268659591677,-0.1227829679846763,-0.037756823003292,-8.120884895324707,-2.948293209075928,-2.0776889324188232
9,-1.1830987930297852,-1.5810431241989136,-2.3721859455108643,-3.772794008255005,-4.931572914123535,-4.363485813140869,-1.1900663375854492,-1.2847551107406616,-3.874229669570923,-12.646154403686523,-14.954289436340332,-10.851022720336914
15,-1.6909915208816528,-1.8363497257232664,-3.7281606197357178,-5.029387950897217,-5.029387950897217,-4.161718368530273,,,,,,
18,-1.3030072450637815,-2.2235562801361084,-1.4955909252166748,-3.0957510471343994,-3.455685377120972,-3.510706186294556,-1.053626298904419,-0.4813172817230224,-0.3537400662899017,-4.641138553619385,-16.540420532226562,-27.694976806640625
16,-0.8504022359848022,-1.7194498777389526,-2.8921589851379395,-3.973215341567993,-3.20096492767334,-4.655319213867188,-2.099483251571656,-0.0237534791231155,-3.6732449531555176,-10.477944374084473,-17.227161407470703,-26.85544204711914
19,-0.90370911359787,-1.090152621269226,-1.1170260906219482,-1.172368049621582,-0.9777402877807616,-0.3391614258289337,-0.8139205574989319,-0.0505568832159042,-0.1543507128953933,-0.2232255041599273,-0.1617216318845749,-0.1039574742317199
17,-0.6866997480392456,-0.9940363764762878,-0.9614296555519104,-0.6769600510597229,-2.277878999710083,-3.7428157329559326,-0.4882464706897735,-0.6227709650993347,-0.0672070309519767,-0.0456016063690185,-0.1949489116668701,-9.573365211486816
