,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee,agent0_69,agent1_69,agent2_69,agent3_69,agent4_69,agent5_69
0,-5.208978176116943,-6.137202262878418,-5.533396720886231,-5.392515182495117,-6.172079086303711,-5.74269437789917,-1.7737858295440674,-0.2830634117126465,-0.4013168811798095,-16.740371704101562,-16.94525909423828,-17.083951950073242
8,-4.9298200607299805,-5.992006301879883,-6.361785888671875,-6.176154613494873,-5.641346454620361,-6.945763111114502,-1.0047478675842283,-0.233828604221344,-2.169021844863892,-12.333168029785156,-13.49041748046875,-21.744203567504883
16,-4.863103866577148,-6.689273357391357,-6.514536380767822,-8.152795791625977,-5.8435540199279785,-7.798075199127197,-1.292754054069519,-1.088010549545288,-0.9736642241477966,-0.3963060975074768,-0.6284241080284119,-2.5463578701019287
2,-4.353262901306152,-5.882297039031982,-7.049999237060547,-5.928360939025879,-6.745874881744385,-6.717818260192871,-0.4367769658565521,-0.9945783615112304,-17.06575584411621,-17.62057113647461,-17.797439575195312,-19.258846282958984
1,-5.01694393157959,-6.043411731719971,-5.962630748748779,-6.320645809173584,-5.733342170715332,-5.367471218109131,-0.3321606516838074,-0.2787595987319946,-0.4883729219436645,-0.3569918870925903,-0.3173451423645019,-0.3911690711975097
9,-5.88493013381958,-5.803191184997559,-7.398330688476562,-5.799069881439209,-5.939609527587891,-6.4319376945495605,-0.8538326025009155,-0.20845827460289,-0.3525919318199157,-0.1465706527233123,-11.059738159179688,-26.958919525146484
17,-4.911273002624512,-5.2100605964660645,-5.5084757804870605,-6.018387317657471,-6.886732578277588,-7.0215325355529785,-0.5065295696258545,-0.2144322842359542,-10.275944709777832,-13.934760093688965,-21.59991836547852,-23.9892578125
3,-4.664767742156982,-5.951104640960693,-8.63494873046875,-6.068121433258057,-6.723461151123047,-7.099081993103027,-1.1055697202682495,-0.1487205922603607,-0.4488879740238189,-9.080986976623535,-2.78869891166687,-9.559866905212402
10,-5.121896743774414,-6.572258472442627,-6.000754356384277,-6.189901351928711,-6.721076965332031,-7.1023383140563965,-0.8401166200637817,-0.1814631819725036,-0.5937110781669617,-12.817439079284668,-23.02231788635254,-23.44344711303711
11,-4.632998943328857,-5.741654396057129,-5.430957317352295,-6.011360168457031,-6.900078773498535,-7.666835784912109,-2.469877004623413,-0.986004114151001,-0.0921088382601738,-10.946579933166504,-9.806023597717283,-16.981327056884766
18,-5.142897605895996,-6.089271545410156,-5.151001453399658,-5.187264919281006,-6.186515808105469,-6.067605495452881,-1.4251065254211426,-0.2141889482736587,-0.0711489990353584,-4.856750011444092,-14.298770904541016,-25.910755157470703
19,-5.050633430480957,-6.133728981018066,-5.731956958770752,-6.206222057342529,-6.061729907989502,-5.497053623199463,-0.882010281085968,-0.3077054917812347,-1.4787185192108154,-4.397865295410156,-13.100479125976562,-23.734310150146484
5,-5.423800468444824,-6.229082584381104,-4.6746015548706055,-6.650786876678467,-6.921746253967285,-6.916955471038818,-0.4224386513233185,-0.0971967503428459,-0.0941627919673919,-11.1510009765625,-13.674688339233398,-18.16386032104492
4,-5.086850166320801,-5.246975421905518,-6.114483833312988,-6.079416275024414,-5.161005020141602,-6.298464775085449,-0.8496227264404297,-0.7383763790130615,-0.5951353907585144,-2.6789867877960205,-0.9889837503433228,-21.046934127807617
12,-5.518022537231445,-5.827098846435547,-6.295961380004883,-6.374220371246338,-6.7461137771606445,-7.215031147003174,,,,,,
13,-5.16545295715332,-6.788334846496582,-7.650532722473144,-6.282440662384033,-6.103252410888672,-6.182717800140381,-0.4977135062217712,-0.3964859247207641,-0.9975606203079224,-13.189355850219728,-21.20273971557617,-23.171161651611328
7,-5.670512199401856,-5.520988941192627,-5.8270416259765625,-6.268096923828125,-6.014185905456543,-6.731833934783936,-1.412260890007019,-0.7348330616950989,-7.474606037139893,-1.5187724828720093,-0.4430856108665466,-17.554424285888672
6,-4.97193717956543,-7.002842903137207,-7.354044914245605,-6.298336982727051,-5.542133331298828,-6.401109218597412,-1.598829746246338,-1.892424702644348,-2.5319056510925293,-0.731541097164154,-8.593717575073242,-17.944007873535156
15,-5.052258014678955,-6.008212566375732,-6.179388046264648,-6.623819351196289,-7.621691703796387,-7.134694576263428,,,,,,
14,-5.171030044555664,-5.8452467918396,-5.648841381072998,-5.80357027053833,-6.401469707489014,-6.140813827514648,,,,,,
