,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda,agent0_798,agent1_798,agent2_798,agent3_798,agent4_798,agent5_798
0,-1.3586219549179075,-5.594184398651123,-7.562204837799072,-5.726101875305176,-5.154147624969482,-5.921603202819824,-0.3066388368606567,-0.0381356328725814,-4.023763656616211,-8.492563247680664,-8.108381271362305,-11.72971248626709
2,-1.3126370906829834,-6.212252616882324,-6.831407070159912,-6.758638381958008,-6.885540962219238,-6.818726062774658,-0.0634531453251838,-0.0739326775074005,-3.815873861312866,-4.839983940124512,-5.6127471923828125,-5.589317798614502
3,-0.6610876321792603,-5.886647701263428,-6.169808864593506,-6.343567371368408,-6.738369464874268,-6.269372463226318,-0.0057977130636572,-0.0442907027900218,-0.1041933000087738,-0.9569271802902222,-9.549748420715332,-6.587615489959717
5,-1.1022332906723022,-4.560719013214111,-4.870962142944336,-5.204356670379639,-5.130593299865723,-5.818759441375732,-1.878359198570252,-0.3302662968635559,-0.3676573634147644,-0.4820757210254669,-0.751174807548523,-1.5014864206314087
7,-1.8572649955749512,-4.9513115882873535,-5.894740104675293,-5.101199150085449,-5.066516399383545,-5.811251163482666,-1.1254284381866455,-0.2250651270151138,-4.538480758666992,-5.70951509475708,-5.928410530090332,-11.188602447509766
17,-1.012493371963501,-5.965486526489258,-6.01107120513916,-5.253950119018555,-5.963943958282471,-6.821134567260742,-0.7873712182044983,-0.015715342015028,-3.327737331390381,-2.0193846225738525,-9.590370178222656,-14.038067817687988
8,-2.207692623138428,-5.50933837890625,-5.028900146484375,-5.823087692260742,-6.4881272315979,-5.850820541381836,-1.4548532962799072,-0.2393918335437774,-0.4752618670463562,-3.2560741901397705,-6.203434944152832,-7.489924907684326
16,-1.522878646850586,-3.529784202575684,-4.90924882888794,-5.627784252166748,-4.337104797363281,-5.86002779006958,-0.1032032445073127,-0.1104484051465988,-1.1416888236999512,-8.076656341552734,-10.825410842895508,-19.648895263671875
1,-1.8480933904647827,-5.466236114501953,-5.60430908203125,-5.875709533691406,-6.628985404968262,-6.604997158050537,-0.0426633320748806,-0.0925901532173156,-0.0510163530707359,-1.6800185441970823,-7.43267822265625,-5.740116596221924
10,-0.9727565050125122,-4.943717956542969,-6.238631248474121,-3.313319683074951,-3.8576467037200928,-4.615074157714844,-0.0895742252469062,-0.1241977512836456,-1.641162633895874,-2.4017817974090576,-5.025763034820557,-15.120838165283203
9,-2.342911720275879,-4.2588791847229,-3.5265414714813232,-4.054379463195801,-3.996906757354736,-4.700723171234131,-0.8957261443138123,-2.417525053024292,-2.006051778793335,-5.523224353790283,-16.034177780151367,-15.803014755249023
11,-2.0540058612823486,-5.0139665603637695,-5.52638578414917,-6.8422698974609375,-6.753445625305176,-6.032181739807129,-0.4244387447834015,-0.1883877515792846,-0.4426892101764679,-0.3930395543575287,-0.3231040239334106,-0.2089049220085144
18,-0.8293966054916382,-5.963627815246582,-6.707943916320801,-6.439134120941162,-6.606611251831055,-6.452319145202637,-0.9190049171447754,-0.0451673045754432,-1.1022757291793823,-29.971643447875977,-35.09001159667969,-32.807979583740234
19,-5.424105167388916,-9.786540031433104,-5.629254817962647,-5.011547088623047,-5.27525806427002,-5.415057182312012,-5.027029514312744,-2.7289414405822754,-2.347294807434082,-0.7375144958496094,-3.3447985649108887,-1.8465722799301147
4,-1.401467204093933,-3.399268627166748,-4.032040119171143,-4.094264984130859,-4.095886707305908,-4.486734390258789,-0.0565896295011043,-7.308233261108398,-14.659624099731444,-14.425704956054688,-15.21666145324707,-12.30984115600586
12,-2.447437524795532,-5.736917018890381,-4.985971927642822,-5.4536213874816895,-5.50092077255249,-6.708437442779541,-1.078920602798462,-0.0124755939468741,-1.881102561950684,-13.729235649108888,-13.330034255981444,-17.448970794677734
13,-2.369892120361328,-4.699718952178955,-5.109163761138916,-7.388092994689941,-6.98517370223999,-7.274388790130615,-0.2473295181989669,-0.5293118357658386,-0.3353768587112427,-7.277163982391357,-12.34439182281494,-20.104639053344727
6,-1.5912748575210571,-5.795416831970215,-5.588225841522217,-5.663914680480957,-6.871685981750488,-6.8515625,-1.3706271648406982,-0.0422500111162662,-1.2140686511993408,-5.9349212646484375,-8.351070404052734,-8.36129379272461
14,-1.1697577238082886,-5.156043529510498,-5.51555871963501,-6.403065204620361,-6.925599575042725,-7.071862697601318,-1.296858310699463,-0.1661589294672012,-0.6168414950370789,-7.801198005676269,-10.551061630249023,-13.26966667175293
15,-1.032240867614746,-5.115449905395508,-7.014400482177734,-5.86732292175293,-5.90517520904541,-6.629079818725586,-0.000747520418372,-0.1548403203487396,-0.1346956044435501,-5.3013596534729,-4.809141635894775,-7.65517520904541
