,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo,agent0_213,agent1_213,agent2_213,agent3_213,agent4_213,agent5_213
0,-1.1400047540664673,-2.159400224685669,-1.945564031600952,-7.0593366622924805,-8.05046272277832,-7.775737762451172,-1.949018120765686,-0.4857344329357147,-0.0290097501128911,-13.570611000061035,-27.27246856689453,-22.356639862060547
2,-1.1661347150802612,-2.5387518405914307,-1.673561692237854,-3.1062705516815186,-5.39611291885376,-5.843676567077637,-0.4413935542106628,-0.3003549575805664,-0.6375550031661987,-0.087845928966999,-19.93295860290528,-23.750131607055664
4,-1.5153440237045288,-2.124913692474365,-3.185799121856689,-6.406904220581055,-7.149439334869385,-8.433349609375,-0.6717277765274048,-1.0848305225372314,-0.5527952313423157,-4.872959136962891,-9.582425117492676,-15.745680809020996
6,-1.2148593664169312,-2.0141775608062744,-3.885125160217285,-8.022883415222168,-8.076408386230469,-7.87895393371582,-1.5772080421447754,-0.1521712839603424,-0.4401876330375671,-11.856680870056152,-8.764135360717773,-16.14352798461914
5,-1.170233130455017,-3.0022075176239014,-3.216367483139038,-4.907769680023193,-1.9558817148208616,-2.452677965164185,-0.313569575548172,-0.1267180293798446,-0.1641030460596084,-3.698099851608277,-2.312642812728882,-2.2882370948791504
1,-1.2515709400177002,-2.842893123626709,-2.6580257415771484,-3.576954364776612,-5.602407455444336,-5.932006359100342,-0.4446902871131897,-0.3214180171489715,-0.2915758490562439,-4.322413921356201,-12.911735534667969,-25.987876892089844
3,-1.3198422193527222,-2.269768238067627,-4.766837596893311,-5.9492506980896,-6.60877799987793,-6.810506820678711,-1.482077956199646,-0.058740422129631,-1.802062630653381,-6.960931301116943,-21.97354507446289,-26.49357795715332
7,-1.5422101020812988,-3.575413942337036,-3.5504496097564697,-5.893949508666992,-7.673969268798828,-7.853548526763916,-1.332736253738403,-0.3359292447566986,-0.0416000373661518,-9.224342346191406,-12.824777603149414,-22.655000686645508
8,-1.4013006687164309,-2.624361515045166,-2.360882520675659,-4.84959888458252,-7.271759986877441,-7.8402419090271,-0.4578087329864502,-0.0746652483940124,-0.402276337146759,-6.642038345336914,-9.5660400390625,-17.198467254638672
10,-1.5709702968597412,-3.0932419300079346,-4.532653331756592,-5.142637252807617,-5.982909679412842,-8.253813743591309,-2.1700618267059326,-0.7327027916908264,-0.4352229237556457,-0.0214724130928516,-0.5091457366943359,-11.741826057434082
12,-1.679851531982422,-2.783139944076538,-1.2447116374969482,-1.7537027597427368,-6.349076271057129,-6.37130880355835,-1.8453941345214844,-1.67459237575531,-0.3796147108078003,-0.2131314128637313,-10.077780723571776,-8.865589141845703
14,-1.3680180311203003,-2.305225372314453,-3.4404661655426025,-2.965526580810547,-7.053784370422363,-7.062082290649414,,,,,,
13,-1.4830085039138794,-2.5297226905822754,-6.006062030792236,-7.494701862335205,-7.599238872528076,-7.145196914672852,-0.8508281111717224,-0.6822539567947388,-8.797375679016113,-11.375136375427246,-11.81518840789795,-12.863208770751951
11,-1.5307163000106812,-6.332465171813965,-7.039279937744141,-7.907320022583008,-7.907320022583008,-7.000993728637695,-1.096407771110535,-2.416622877120972,-5.112531661987305,-7.854123592376709,-7.854123592376709,-9.650470733642578
18,-1.6720765829086304,-2.1200575828552246,-5.489040851593018,-3.340216636657715,-6.823819637298584,-6.15015172958374,-0.4914196729660034,-0.1068678870797157,-1.7834042310714722,-0.1274166107177734,-5.483328819274902,-5.29889726638794
15,-1.527575135231018,-3.0545589923858643,-2.0333971977233887,-1.7949804067611694,-5.477787017822266,-6.741654872894287,,,,,,
9,-1.6598777770996094,-2.5130715370178223,-3.2922451496124268,-5.008020877838135,-6.834137439727783,-7.213278293609619,-1.2785282135009766,-0.2333820611238479,-0.216865062713623,-4.329295158386231,-20.912044525146484,-30.39365768432617
16,-1.6670640707015991,-2.274822235107422,-4.581620693206787,-6.907241821289063,-6.907241821289063,-7.8658857345581055,-0.6187353134155273,-0.7274378538131714,-3.035766839981079,-11.05336570739746,-11.05336570739746,-13.879507064819336
19,-1.3926111459732056,-3.3537702560424805,-7.268232822418213,-7.268232822418213,-7.268232822418213,-7.088510036468506,-0.993128776550293,-0.5394243597984314,-10.037277221679688,-10.037277221679688,-10.037277221679688,-13.82493019104004
17,-1.4172120094299316,-5.820414543151856,-5.381843566894531,-6.948338508605957,-7.486635684967041,-7.642725944519043,-0.8175814151763916,-3.8211569786071777,-0.8617761135101318,-8.30996322631836,-9.57150936126709,-10.307124137878418
