,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
0,-7.066401958465576,-6.438827037811279,-6.275100231170654,-6.177276611328125,-7.157557487487793,-6.368074893951416
1,-6.029788017272949,-5.095990180969238,-5.162571430206299,-6.562610149383545,-7.443708419799805,-5.836324691772461
2,-5.20308780670166,-5.027871608734131,-5.461418628692627,-6.914883136749268,-6.956786155700684,-6.190889358520508
3,-5.7864251136779785,-5.331384181976318,-4.867953300476074,-6.887627601623535,-7.158598899841309,-6.758590221405029
5,-5.371257781982422,-4.737886905670166,-4.946994304656982,-4.112626075744629,-5.444611072540283,-5.81378698348999
7,-5.477360725402832,-4.797888278961182,-4.30751895904541,-6.388071537017822,-6.70253849029541,-6.08883810043335
6,-6.923486709594727,-5.914656639099121,-5.667382717132568,-7.373908996582031,-7.301490306854248,-6.579223155975342
8,-5.971395969390869,-6.5135674476623535,-5.835884094238281,-4.261028289794922,-6.43927001953125,-6.138512134552002
9,-6.856000900268555,-5.898204326629639,-5.611560344696045,-7.317284107208252,-6.116689682006836,-6.575918197631836
10,-7.142540454864502,-5.4681315422058105,-4.991298198699951,-6.720916748046875,-6.221465110778809,-6.236155986785889
11,-6.983304977416992,-5.770639419555664,-4.628148555755615,-6.6863861083984375,-7.746026515960693,-6.56069278717041
13,-5.868985176086426,-5.350399494171143,-4.320591449737549,-3.9925966262817374,-5.917747497558594,-4.263930797576904
12,-6.924803733825684,-4.521327018737793,-5.16931676864624,-5.835800647735596,-7.235366344451904,-6.398430347442627
14,-8.428295135498047,-6.126825332641602,-7.18683385848999,-7.268603801727295,-6.484754085540772,-6.384270668029785
23,-6.964401245117188,-6.360156059265137,-7.902973651885986,-7.508199214935303,-7.583177089691162,-7.836610794067383
16,-5.803770065307617,-5.888099670410156,-6.251302719116211,-5.782785892486572,-6.592443943023682,-7.595466136932373
17,-7.484978675842285,-7.167951583862305,-7.701578617095947,-8.014971733093262,-7.121990203857422,-6.555447101593018
18,-5.819042205810547,-5.616559028625488,-6.053505420684815,-6.7060723304748535,-5.224128246307373,-6.466014385223389
19,-6.896586418151856,-7.588461399078369,-8.269577026367188,-7.612778663635254,-7.967073440551758,-7.722088813781738
4,-5.443529605865479,-5.339275360107422,-6.611196041107178,-6.40436315536499,-6.939391613006592,-6.527684688568115
22,-6.286750793457031,-4.735698699951172,-5.24686861038208,-5.470295429229736,-6.346266746520996,-5.891970634460449
21,-6.237576007843018,-4.957769393920898,-6.145365238189697,-7.931459426879883,-7.819976329803467,-6.974607944488525
15,-5.688969135284424,-6.86299467086792,-7.067631721496582,-7.279604911804199,-7.11266565322876,-6.408780097961426
20,-6.07455587387085,-5.7748565673828125,-5.636884689331055,-6.731383800506592,-7.078518390655518,-6.681093215942383
