,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan,agent0_228,agent1_228,agent2_228,agent3_228,agent4_228,agent5_228
0,-6.981189250946045,-6.332042694091797,-5.1981401443481445,-5.73300838470459,-7.299317836761475,-6.368074893951416,-0.2483480423688888,-0.1979381889104843,-0.7618871927261353,-0.4060921967029571,-8.213457107543945,-12.957480430603027
8,-6.823266506195068,-6.35239839553833,-6.189927101135254,-3.5421903133392334,-5.725875854492188,-6.138512134552002,-0.3886181712150574,-0.9749194979667664,-0.0532269328832626,-0.3711091578006744,-7.097468376159668,-12.191186904907228
16,-6.625766277313232,-5.6543402671813965,-5.906383991241455,-5.938158512115479,-6.643013954162598,-7.595466136932373,,,,,,
2,-6.294638156890869,-4.6567816734313965,-4.64243745803833,-6.074106216430664,-6.120612621307373,-6.190889358520508,-0.3466751277446747,-0.0226988773792982,-3.0058717727661133,-9.819087028503418,-9.93209743499756,-10.850794792175291
1,-6.366641521453857,-4.861695766448975,-4.637731075286865,-4.302999496459961,-7.002312183380127,-5.836324691772461,-0.3935907781124115,-0.269813597202301,-0.7243088483810425,-3.1597745418548584,-9.896016120910645,-25.990346908569336
9,-6.612935543060303,-6.11317253112793,-5.61266565322876,-6.977269172668457,-5.596742630004883,-6.575918197631836,-0.3504620492458343,-0.8052962422370911,-0.0272603575140237,-13.204513549804688,-14.572293281555176,-34.39173889160156
17,-6.629617691040039,-7.098296642303467,-7.143517971038818,-7.629306793212891,-6.722362995147705,-6.555447101593018,,,,,,
3,-6.82193660736084,-5.392560005187988,-5.1873650550842285,-6.110337734222412,-6.319954872131348,-6.758590221405029,-0.010174904949963,-0.0761497318744659,-0.0413441471755504,-15.342209815979004,-16.35145378112793,-16.099105834960938
10,-6.235175609588623,-5.002668857574463,-5.661329746246338,-6.712447166442871,-5.743031024932861,-6.236155986785889,-0.6778897643089294,-0.3039490878582001,-0.0686315223574638,-2.9345180988311768,-5.964656829833984,-8.623483657836914
11,-6.009153842926025,-5.758908748626709,-4.505753993988037,-6.550802707672119,-7.569245338439941,-6.56069278717041,-0.5709161162376404,-0.4198219776153564,-0.0364675112068653,-14.244928359985352,-27.50164794921875,-18.02553367614746
18,-6.544795989990234,-6.987607479095459,-6.429675579071045,-6.503515720367432,-4.332167625427246,-6.466014385223389,,,,,,
19,-6.682996273040772,-7.851597785949707,-7.890725612640381,-7.142467975616455,-6.913158416748047,-7.722088813781738,-0.9573193788528442,-0.0553354918956756,-0.0445082262158393,-0.0331062413752079,-7.952542304992676,-13.780957221984863
5,-6.278256416320801,-5.539556503295898,-5.366451263427734,-4.568268775939941,-5.568038940429688,-5.81378698348999,-2.2387571334838867,-0.0332130417227745,-0.7877709865570068,-0.1603904217481613,-2.888458013534546,-12.961539268493652
4,-6.508509159088135,-5.170658588409424,-5.6317667961120605,-5.4849958419799805,-6.065291404724121,-6.527684688568115,-0.0959393233060836,-0.3790144324302673,-8.631017684936523,-7.962461471557617,-9.399847984313965,-12.167160034179688
12,-7.059703350067139,-4.809799671173096,-4.796638011932373,-6.30349063873291,-7.275719165802002,-6.398430347442627,,,,,,
13,-5.973335266113281,-5.553312301635742,-4.67172908782959,-3.764288663864136,-4.919375419616699,-4.263930797576904,-0.1286954134702682,-0.125010073184967,-0.0064399992115795,-3.849457025527954,-5.657575607299805,-9.291800498962402
7,-6.268415451049805,-5.441152572631836,-5.133881568908691,-5.771770477294922,-6.228294849395752,-6.08883810043335,-1.1822774410247805,-2.7995455265045166,-0.2010793685913086,-8.634644508361816,-11.334389686584473,-11.017909049987791
6,-7.079147338867188,-6.989368915557861,-5.746843338012695,-5.598479270935059,-6.646907806396484,-6.579223155975342,-2.3490800857543945,-0.1126433461904525,-0.1299632489681244,-7.647773265838623,-9.229133605957031,-13.354065895080566
15,-6.025374412536621,-5.420429706573486,-6.397370338439941,-6.4193549156188965,-6.4193549156188965,-6.408780097961426,,,,,,
14,-6.79527473449707,-5.659746646881104,-6.798923492431641,-7.325423717498779,-6.837921142578125,-6.384270668029785,,,,,,
