,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin,agent0_366,agent1_366,agent2_366,agent3_366,agent4_366,agent5_366
0,-1.488914966583252,-3.041339874267578,-1.705276608467102,-5.6757354736328125,-7.6612958908081055,-8.73598575592041,-0.3749698102474212,-0.0140689807012677,-0.0129392547532916,-0.8862540125846863,-10.056159973144531,-19.457225799560547
2,-1.5563404560089111,-4.253536701202393,-6.749596118927002,-7.764586448669434,-8.772266387939453,-8.300311088562012,-0.2330785244703292,-0.3453231751918793,-6.747474193572998,-27.009906768798828,-32.62993240356445,-33.07034683227539
8,-2.757452964782715,-4.877320289611816,-4.254582405090332,-6.566330432891846,-8.733664512634277,-7.570115566253662,-0.470707356929779,-0.6357941031455994,-15.856270790100098,-15.770475387573242,-23.99483108520508,-18.008563995361328
16,-1.5577292442321775,-4.323482513427734,-7.544248580932617,-7.49272346496582,-9.435738563537598,-8.441523551940918,-0.1232272312045097,-0.2550930380821228,-13.081814765930176,-27.92954635620117,-29.675275802612305,-30.01041030883789
1,-1.7728958129882812,-3.456149816513061,-5.015107154846191,-5.575059413909912,-7.815237522125244,-7.176497936248779,-0.1765945106744766,-0.3793840408325195,-2.1899609565734863,-1.0446401834487915,-9.687143325805664,-7.083652019500732
3,-1.096584439277649,-5.305783271789551,-5.6736249923706055,-7.919033527374268,-9.68909740447998,-8.777600288391113,-0.0085410065948963,-0.0671815648674964,-0.1871256083250045,-4.467140197753906,-10.11211395263672,-7.777700424194336
9,-1.8928632736206048,-2.185031652450561,-8.31879997253418,-7.921664237976074,-9.781087875366213,-8.673530578613281,-1.108733296394348,-0.2450980097055435,-3.9908230304718018,-15.442339897155762,-18.780004501342773,-17.45291519165039
17,-1.0908403396606443,-3.7783026695251465,-7.06627082824707,-9.0684814453125,-9.0684814453125,-8.647699356079102,-0.1144563928246498,-0.0285956617444753,-10.691417694091797,-20.861248016357425,-20.861248016357425,-22.407899856567383
10,-1.806432008743286,-3.751943826675415,-7.215285778045654,-8.142585754394531,-9.799131393432615,-8.322122573852539,-0.5210840106010437,-0.019453952088952,-4.284499645233154,-10.961928367614746,-13.295650482177734,-13.710558891296387
11,-1.7214350700378418,-2.9354872703552246,-4.487882614135742,-7.660608768463135,-8.841635704040527,-7.796706676483154,-1.5529128313064575,-0.0516339689493179,-2.348271608352661,-14.566155433654783,-28.67793273925781,-28.33314514160156
18,-2.087461233139038,-6.499578952789307,-5.916321277618408,-5.869736194610596,-7.934313297271728,-7.062485218048096,-0.9879249930381776,-0.2587883174419403,-5.158621788024902,-7.976986885070801,-8.662768363952637,-30.10839462280273
19,-1.846761465072632,-4.723827362060547,-6.207338809967041,-6.669257164001465,-7.533154964447021,-7.58780574798584,-0.6719323992729187,-0.0825703293085098,-0.0990381315350532,-16.081960678100586,-28.465272903442383,-29.14640045166016
5,-1.2281537055969238,-4.978880882263184,-8.21408748626709,-7.491376399993896,-6.781877040863037,-5.149356365203857,-0.2374049425125122,-1.884081482887268,-6.145786285400391,-10.56857967376709,-12.357211112976074,-5.29673433303833
4,-1.6788077354431152,-2.6701014041900635,-2.9422974586486816,-7.624631404876709,-9.010061264038086,-8.217647552490234,-0.2396716624498367,-0.0249074697494506,-0.2666349411010742,-1.672116994857788,-17.36715316772461,-17.930788040161133
12,-1.7678626775741575,-4.993149757385254,-4.860066890716553,-3.64811897277832,-6.3053789138793945,-5.390506744384766,-1.1214100122451782,-0.0957304611802101,-0.1027939468622207,-0.0391856394708156,-0.2714316248893738,-0.2286388427019119
13,-1.0673773288726809,-4.6273345947265625,-8.672616004943848,-8.214399337768555,-8.250919342041016,-5.877000331878662,-0.1015780493617057,-0.1459804624319076,-8.288296699523926,-3.621178150177002,-3.0477213859558105,-3.045121431350708
7,-1.5321133136749268,-3.482337951660156,-3.8637635707855225,-6.922821521759033,-7.487813949584961,-8.211480140686035,-0.2504347860813141,-0.2042997479438781,-0.060536902397871,-13.015632629394531,-27.72859001159668,-30.094158172607425
6,-1.1534101963043213,-5.85313081741333,-6.532481670379639,-7.054646968841553,-7.290414333343506,-8.405224800109863,-0.0049914512783288,-3.3404412269592285,-3.1502015590667725,-0.5232917070388794,-19.58443832397461,-28.764453887939453
15,-1.7041503190994265,-2.999009132385254,-6.511746406555176,-9.220033645629885,-8.471990585327148,-6.892077922821045,,,,,,
14,-2.3453097343444824,-3.468661069869995,-4.33149003982544,-5.52441930770874,-4.559505939483643,-4.192475318908691,,,,,,
