,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan,agent0_618,agent1_618,agent2_618,agent3_618,agent4_618,agent5_618
0,-7.971439361572266,-5.049796581268311,-5.595010757446289,-8.516563415527344,-8.357260704040527,-6.884080410003662,-0.202039435505867,-0.0180179961025714,-7.631200313568115,-11.945416450500488,-10.948992729187012,-8.032247543334961
8,-8.464041709899902,-5.308628559112549,-6.418696403503418,-4.6535162925720215,-7.065016269683838,-6.782450675964356,-1.4145125150680542,-0.922067165374756,-1.5495400428771973,-0.4609962403774261,-9.600096702575684,-13.052762031555176
16,-8.478378295898438,-5.776188373565674,-5.878770351409912,-5.939393520355225,-6.6829833984375,-6.214315891265869,,,,,,
2,-7.810293197631836,-4.899150371551514,-4.2833333015441895,-4.675580024719238,-5.655889987945557,-6.074219226837158,-0.3975645005702972,-0.0257127564400434,-0.2799865305423736,-8.150151252746582,-12.305825233459473,-11.797390937805176
1,-8.572372436523438,-4.795389175415039,-5.325615882873535,-6.397515773773193,-6.555181503295898,-5.994670391082764,-0.2275844812393188,-0.2557053565979004,-0.143629714846611,-21.759031295776367,-3.886334896087648,-18.51223564147949
9,-8.414381980895996,-2.872493028640747,-5.451650142669678,-6.977548599243164,-7.567973613739014,-8.029677391052246,-0.3203758597373962,-0.1371895670890808,-10.647290229797363,-11.833547592163086,-20.47971534729004,-22.36214828491211
17,-8.172959327697754,-6.904090881347656,-7.144220352172852,-5.896975040435791,-6.87319278717041,-6.9724602699279785,,,,,,
3,-8.03488540649414,-6.216885089874268,-5.7445454597473145,-6.477896213531494,-6.477896213531494,-6.558841705322266,-0.8367317914962769,-0.2426571696996688,-6.65804386138916,-12.044528007507324,-12.044528007507324,-10.511075019836426
10,-8.949024200439453,-6.483208179473877,-4.90509557723999,-4.501843452453613,-6.1132988929748535,-6.84724235534668,-0.5584409832954407,-0.135751411318779,-0.4944374561309814,-0.0836703702807426,-10.29446506500244,-11.536402702331545
11,-8.61534595489502,-5.59303617477417,-6.286756038665772,-6.316611289978027,-6.245872020721436,-6.720896244049072,-1.590946912765503,-0.0192352756857872,-9.06239414215088,-9.515299797058104,-10.011360168457031,-9.257979393005373
18,-7.317526340484619,-5.148873329162598,-6.8665266036987305,-6.8665266036987305,-6.8665266036987305,-6.737031936645508,,,,,,
19,-8.134275436401367,-6.710142135620117,-5.406696319580078,-6.426946640014648,-6.4379096031188965,-6.85941219329834,-0.4880135059356689,-0.1550966799259185,-0.1832992434501648,-0.6951034069061279,-0.4529439806938171,-1.42699933052063
5,-8.50767993927002,-4.748798370361328,-4.595798969268799,-4.776867389678955,-5.177262783050537,-5.550742149353027,-1.275110960006714,-0.0183369144797325,-0.0599896609783172,-7.916916847229004,-9.973954200744627,-12.420562744140623
4,-7.843837261199951,-6.098392963409424,-4.977175235748291,-6.685112476348877,-6.280622482299805,-7.074817657470703,-0.7590994834899902,-0.6558225154876709,-0.3351461887359619,-11.658973693847656,-14.55740451812744,-14.518598556518556
12,-8.174531936645508,-6.018535614013672,-4.944853782653809,-6.345860004425049,-6.785142421722412,-7.159591674804688,,,,,,
13,-8.466841697692871,-6.224106311798096,-5.389641284942627,-7.788228988647461,-7.23998498916626,-6.922096252441406,-0.3009451627731323,-0.4333399534225464,-10.045873641967772,-12.791556358337402,-9.97714138031006,-9.462469100952148
7,-8.022422790527344,-6.336409568786621,-6.085139274597168,-7.095156192779541,-7.117808818817139,-6.057155132293701,-0.417168527841568,-0.2083164602518081,-0.2391470074653625,-2.4772064685821533,-0.5486190319061279,-15.31021213531494
6,-7.5447998046875,-6.155984878540039,-6.709809303283691,-6.4666829109191895,-7.472519397735596,-7.838613510131836,-1.1862070560455322,-0.1426284164190292,-1.9714280366897583,-0.4951734244823456,-0.3445691466331482,-2.4290459156036377
15,-8.597701072692871,-3.6891610622406006,-3.85530161857605,-5.024351596832275,-6.236726760864258,-5.81875467300415,,,,,,
14,-8.573629379272461,-5.733051300048828,-5.442905902862549,-6.958491325378418,-6.081479549407959,-6.121238708496094,,,,,,
