,agent0_elephant,agent0_dolphin,agent0_panda,agent0_lion,agent0_kangaroo,agent0_penguin,agent0_giraffe,agent0_chimpanzee,agent0_koala,agent0_orangutan,agent1_elephant,agent1_dolphin,agent1_panda,agent1_lion,agent1_kangaroo,agent1_penguin,agent1_giraffe,agent1_chimpanzee,agent1_koala,agent1_orangutan,agent2_elephant,agent2_dolphin,agent2_panda,agent2_lion,agent2_kangaroo,agent2_penguin,agent2_giraffe,agent2_chimpanzee,agent2_koala,agent2_orangutan,agent3_elephant,agent3_dolphin,agent3_panda,agent3_lion,agent3_kangaroo,agent3_penguin,agent3_giraffe,agent3_chimpanzee,agent3_koala,agent3_orangutan,agent4_elephant,agent4_dolphin,agent4_panda,agent4_lion,agent4_kangaroo,agent4_penguin,agent4_giraffe,agent4_chimpanzee,agent4_koala,agent4_orangutan,agent5_elephant,agent5_dolphin,agent5_panda,agent5_lion,agent5_kangaroo,agent5_penguin,agent5_giraffe,agent5_chimpanzee,agent5_koala,agent5_orangutan
10,-5.12890625,-4.52734375,-7.49609375,-5.16796875,-9.1171875,-10.359375,-6.69140625,-9.1953125,-9.953125,-9.6015625,-6.1640625,-3.1484375,-7.125,-8.953125,-9.8671875,-10.46875,-8.484375,-9.453125,-7.8125,-9.171875,-7.359375,-4.1328125,-10.2265625,-12.53125,-13.109375,-12.5625,-10.7734375,-8.8359375,-11.2265625,-9.296875,-7.3203125,-4.0078125,-10.6171875,-12.4765625,-13.2421875,-13.0078125,-10.75,-8.3125,-11.6484375,-9.2109375,-6.4140625,-3.169921875,-9.71875,-11.875,-12.859375,-11.8359375,-10.453125,-7.95703125,-11.359375,-8.78125,-7.3203125,-4.296875,-10.78125,-12.921875,-13.671875,-13.359375,-10.9765625,-9.0234375,-11.828125,-8.96875
11,-4.95703125,-4.43359375,-7.23046875,-4.87109375,-8.6015625,-9.4609375,-6.30078125,-8.828125,-9.84375,-9.453125,-6.59765625,-3.630859375,-8.4765625,-10.609375,-11.046875,-10.7890625,-9.5234375,-8.4453125,-9.1171875,-7.8984375,-6.796875,-3.658203125,-9.53125,-12.125,-13.0390625,-12.609375,-10.8359375,-8.203125,-10.9765625,-8.578125,-8.0078125,-5.1328125,-10.0546875,-12.21875,-12.7890625,-13.3125,-10.984375,-9.2265625,-10.3828125,-9.1875,-8.328125,-4.80859375,-11.109375,-13.1015625,-13.7734375,-14.5,-11.4375,-9.328125,-11.8125,-9.625,-8.046875,-4.55859375,-11.328125,-12.65625,-12.8828125,-14.15625,-10.46875,-8.5703125,-11.125,-9.6171875
12,-4.69921875,-3.779296875,-6.58984375,-4.78515625,-7.39453125,-8.4921875,-5.56640625,-8.1640625,-8.65625,-8.8359375,-3.517578125,-2.908203125,-5.30078125,-5.26953125,-6.58984375,-5.51171875,-5.01953125,-7.01171875,-7.42578125,-7.90234375,-5.90625,-3.0390625,-8.59375,-10.75,-11.234375,-10.046875,-9.140625,-6.859375,-9.7890625,-8.203125,-6.140625,-3.203125,-8.9453125,-10.671875,-12.0703125,-11.25,-9.7265625,-6.75,-10.6015625,-8.03125,-5.49609375,-2.888671875,-8.1015625,-9.640625,-10.578125,-9.5625,-8.953125,-6.51953125,-8.8828125,-7.5234375,-6.0625,-3.306640625,-9.765625,-11.109375,-12.3203125,-11.6171875,-9.9375,-7.078125,-11.0078125,-8.046875
13,-5.63671875,-4.67578125,-7.94921875,-5.83984375,-9.8515625,-9.9765625,-6.90234375,-9.8671875,-10.7890625,-10.546875,-7.71484375,-5.50390625,-10.25,-8.375,-12.4140625,-12.875,-9.3203125,-12.6875,-12.1015625,-12.03125,-5.6015625,-4.9453125,-6.6953125,-6.0546875,-9.0234375,-8.6640625,-6.3125,-9.7109375,-9.1640625,-9.78125,-7.87109375,-4.73828125,-10.453125,-13.0625,-13.9375,-14.15625,-11.46875,-9.9140625,-11.7421875,-8.6640625,-7.83203125,-5.82421875,-10.078125,-12.0859375,-13.5,-14.3046875,-11.140625,-10.203125,-10.953125,-8.6171875,-7.46875,-5.0,-11.0859375,-13.1875,-14.765625,-14.109375,-12.2421875,-10.09375,-12.5234375,-9.171875
14,-5.48828125,-4.75390625,-7.71484375,-5.82421875,-9.15625,-10.515625,-6.91796875,-9.3046875,-10.265625,-10.2265625,-5.71484375,-3.20703125,-7.35546875,-6.45703125,-11.0,-10.671875,-8.59375,-12.140625,-10.03125,-10.8203125,-7.00390625,-3.392578125,-9.2578125,-12.1484375,-12.890625,-11.40625,-10.4375,-8.0546875,-10.4296875,-7.7734375,-5.7265625,-2.958984375,-8.3046875,-10.5234375,-11.5078125,-10.3046875,-9.5625,-6.8125,-9.8671875,-7.8046875,-6.08984375,-3.119140625,-9.1015625,-10.8046875,-11.9765625,-11.5234375,-9.765625,-6.90234375,-10.40625,-8.0234375,-6.76953125,-3.79296875,-9.625,-10.9765625,-11.546875,-11.96875,-9.5625,-7.15234375,-10.703125,-8.7265625
15,-4.7109375,-4.3125,-7.1953125,-4.3515625,-8.3515625,-9.046875,-6.1015625,-8.5625,-9.8984375,-9.3359375,-5.8984375,-5.015625,-7.21875,-6.9921875,-8.96875,-9.234375,-6.2890625,-9.1953125,-9.703125,-8.65625,-8.203125,-5.64453125,-10.8671875,-13.4609375,-13.5703125,-14.90625,-11.2734375,-9.765625,-10.6328125,-9.203125,-6.36328125,-5.19140625,-9.2578125,-11.7734375,-12.171875,-11.140625,-10.0859375,-9.3359375,-8.6953125,-9.21875,-5.1875,-3.216796875,-8.2578125,-11.2578125,-11.6640625,-9.25,-9.734375,-7.5625,-9.15625,-7.3515625,-3.9453125,-2.3359375,-7.703125,-10.5,-10.71875,-7.671875,-8.390625,-6.9375,-7.765625,-6.703125
16,-5.71875,-4.8828125,-7.53125,-5.34375,-8.53125,-10.0625,-6.6328125,-9.3671875,-9.5703125,-9.4375,-6.98046875,-3.498046875,-8.78125,-11.171875,-11.171875,-10.6640625,-9.234375,-7.73046875,-9.203125,-8.1875,-6.2265625,-3.728515625,-9.5390625,-11.03125,-12.09375,-11.5546875,-9.53125,-6.8125,-10.53125,-8.1328125,-6.1015625,-3.435546875,-8.3984375,-10.2890625,-10.953125,-10.1796875,-9.03125,-6.7265625,-9.5625,-7.78515625,-6.109375,-3.390625,-8.859375,-10.75,-11.4765625,-10.78125,-9.3515625,-6.90625,-10.34375,-8.328125,-6.125,-3.3203125,-9.921875,-11.3125,-12.46875,-11.984375,-9.921875,-7.2578125,-11.21875,-8.2890625
17,-5.76171875,-5.05859375,-8.1328125,-5.48828125,-9.3046875,-10.234375,-7.07421875,-9.671875,-10.78125,-9.9140625,-5.55078125,-4.99609375,-7.12890625,-6.11328125,-8.8125,-8.65625,-6.06640625,-8.9921875,-9.9453125,-8.9765625,-4.17578125,-3.162109375,-5.70703125,-7.17578125,-8.3515625,-6.390625,-6.18359375,-6.96484375,-7.87109375,-7.17578125,-5.45703125,-2.892578125,-7.82421875,-9.296875,-10.1015625,-8.6484375,-8.1875,-6.04296875,-7.80859375,-7.40234375,-5.8515625,-3.013671875,-8.734375,-10.4765625,-11.625,-10.03125,-9.390625,-6.96875,-9.34375,-7.8046875,-6.7578125,-3.7109375,-9.96875,-11.0546875,-11.6640625,-11.15625,-9.2421875,-7.5234375,-10.59375,-8.828125
18,-5.328125,-4.6875,-7.3671875,-5.3203125,-8.765625,-10.1875,-6.65625,-8.9140625,-10.0546875,-9.515625,-7.5390625,-6.28125,-9.625,-8.4140625,-10.953125,-13.2890625,-8.125,-11.0546875,-11.5234375,-10.75,-7.234375,-5.6875,-7.9453125,-7.1484375,-10.078125,-11.2109375,-7.609375,-10.296875,-10.71875,-10.1796875,-5.65625,-4.53125,-7.6640625,-7.5546875,-8.984375,-11.359375,-6.4609375,-7.3515625,-8.75,-8.0,-6.5859375,-3.9921875,-9.6328125,-10.2734375,-10.9296875,-12.1328125,-9.171875,-6.828125,-9.953125,-8.59375,-5.640625,-3.560546875,-9.265625,-8.9765625,-10.7578125,-11.3984375,-8.671875,-7.109375,-9.1875,-7.63671875
19,-4.546875,-3.609375,-6.671875,-5.234375,-7.921875,-8.421875,-5.953125,-8.578125,-9.015625,-9.140625,-4.640625,-2.9296875,-6.375,-7.171875,-9.3125,-7.4453125,-7.578125,-9.0859375,-8.9765625,-8.5078125,-4.51953125,-3.42578125,-6.34765625,-4.83203125,-8.2734375,-7.78515625,-5.55078125,-7.19921875,-8.5,-7.15234375,-5.19140625,-2.498046875,-8.7734375,-10.4453125,-12.1796875,-11.234375,-9.6484375,-6.20703125,-10.1484375,-7.73046875,-5.63671875,-3.28515625,-8.5625,-9.9609375,-10.9765625,-10.71875,-9.046875,-6.11328125,-9.3125,-7.91015625,-6.28125,-3.724609375,-9.71875,-10.4609375,-11.578125,-11.9609375,-9.5,-6.5390625,-10.234375,-8.3203125
