,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala,agent0_502,agent1_502,agent2_502,agent3_502,agent4_502,agent5_502
0,-3.315674066543579,-4.762291431427002,-6.105990886688232,-7.957847118377685,-8.230109214782715,-8.385760307312012,-0.1948614418506622,-0.0745644569396972,-2.8707728385925293,-16.713943481445312,-33.873680114746094,-29.508594512939453
2,-2.708001136779785,-5.092937469482422,-5.407196044921875,-5.521929740905762,-7.307579040527344,-7.89993143081665,-0.7031169533729553,-4.079236030578613,-1.2432655096054075,-1.036935567855835,-28.780431747436523,-32.88025665283203
4,-2.9724762439727783,-6.1488800048828125,-6.945518970489502,-7.057217121124268,-6.857588768005371,-7.868486404418945,-1.7270631790161133,-12.413573265075684,-13.273395538330078,-8.547898292541504,-34.48614883422852,-42.623802185058594
6,-3.2672765254974365,-4.435041427612305,-7.802361488342285,-8.066229820251465,-7.199058532714844,-9.54094123840332,-1.6809651851654053,-0.1018008142709732,-12.959413528442385,-15.494180679321287,-24.1120662689209,-30.351879119873047
5,-3.4333202838897705,-5.397164344787598,-6.294612407684326,-5.927399158477783,-6.996204853057861,-7.344338893890381,-0.004662238061428,-0.1648104786872863,-0.0236064437776803,-0.0188043769448995,-1.1289725303649902,-15.367453575134276
1,-2.909869909286499,-6.081241607666016,-5.334625244140625,-7.880448341369629,-8.620833396911621,-6.98351001739502,-0.4269568920135498,-6.257052421569824,-0.7512156963348389,-10.818342208862305,-13.343050003051758,-12.76059913635254
3,-2.803058624267578,-6.123985767364502,-7.276134490966797,-9.101879119873049,-9.269423484802246,-9.673025131225586,-0.0085800103843212,-5.239353656768799,-38.43723678588867,-40.46652603149414,-40.89659881591797,-41.67509460449219
7,-3.413735628128052,-4.334138870239258,-3.3013288974761963,-5.7763214111328125,-7.2842488288879395,-7.871861457824707,-0.8568934798240662,-0.1325150579214096,-0.194367915391922,-0.9030009508132936,-6.22370195388794,-10.16831398010254
8,-3.0072762966156006,-3.903643846511841,-6.166737079620361,-7.323863506317139,-6.280525207519531,-6.564074516296387,-1.9173041582107544,-0.0217162128537893,-9.17911148071289,-13.416868209838867,-21.63470268249512,-19.99381446838379
10,-3.267377614974976,-6.322508335113525,-4.723300457000732,-7.242617607116699,-6.773478031158447,-7.001486301422119,-0.9652183055877686,-1.021558165550232,-0.0720637217164039,-6.632182598114014,-28.83845329284668,-35.393653869628906
12,-2.8067502975463867,-5.142416954040527,-5.183722972869873,-5.030749797821045,-6.074246406555176,-7.723878383636475,,,,,,
14,-3.0144100189208984,-4.878622531890869,-4.118913650512695,-5.218639373779297,-4.706991672515869,-8.773313522338867,,,,,,
13,-3.266094923019409,-3.162447929382324,-4.638113498687744,-6.399234294891357,-8.348933219909668,-7.657240390777588,-0.3421364724636078,-0.0496278330683708,-0.0335290618240833,-12.926424026489258,-14.789861679077148,-15.802430152893066
11,-2.904939889907837,-4.164106845855713,-6.32759952545166,-6.867541790008545,-6.882402420043945,-6.843993186950684,-1.7943274974822998,-0.0237024426460266,-24.615121841430664,-27.885189056396484,-28.615550994873047,-30.42778587341309
18,-3.1579840183258057,-4.163468837738037,-5.838659286499023,-7.511139869689941,-7.862936973571777,-7.583162784576416,,,,,,
15,-3.0360801219940186,-5.913512229919434,-6.603145122528076,-6.755466938018799,-7.3358683586120605,-7.262847900390625,,,,,,
9,-2.861592054367065,-4.313429832458496,-5.567045211791992,-7.314324378967285,-8.510842323303223,-7.749415874481201,-1.0126290321350098,-0.8418210744857788,-11.71937370300293,-14.590296745300291,-13.026992797851562,-16.740306854248047
16,-2.964738368988037,-4.699009418487549,-5.561813831329346,-5.605668544769287,-6.472254753112793,-7.3581767082214355,,,,,,
19,-3.0768539905548096,-4.417315006256104,-3.727011442184448,-6.399950981140137,-4.93108606338501,-6.348910331726074,-0.7753274440765381,-0.1679020375013351,-6.55995512008667,-16.41916275024414,-35.90055084228516,-41.38661956787109
17,-2.550312042236328,-6.174042224884033,-7.348852634429932,-7.714870929718018,-8.876350402832031,-7.752018928527832,,,,,,
