,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo
0,-9.6484375,-20.84375,-20.703125,-20.4375,-18.78125,-19.1875
1,-8.25,-19.296875,-19.765625,-20.40625,-20.21875,-18.796875
2,-10.921875,-22.0,-21.875,-21.9375,-18.75,-19.859375
3,-9.34375,-20.75,-21.671875,-20.5,-19.875,-19.890625
4,-10.0546875,-20.78125,-21.046875,-21.234375,-21.3125,-17.859375
5,-11.5390625,-19.0625,-18.453125,-20.65625,-18.5625,-18.984375
6,-13.625,-21.234375,-21.203125,-21.484375,-24.0625,-23.609375
7,-8.5,-19.9375,-19.109375,-17.265625,-15.28125,-18.484375
8,-8.8984375,-20.515625,-21.3125,-23.75,-22.328125,-19.703125
9,-9.1953125,-19.65625,-22.65625,-21.484375,-21.8125,-18.984375
10,-9.171875,-20.265625,-19.515625,-19.578125,-20.765625,-20.046875
11,-10.2421875,-20.046875,-19.59375,-20.21875,-18.953125,-18.03125
12,-8.9453125,-21.484375,-22.1875,-20.28125,-19.703125,-18.671875
13,-8.21875,-17.1875,-16.171875,-16.140625,-17.484375,-19.34375
14,-10.421875,-20.40625,-21.96875,-21.84375,-22.109375,-20.09375
15,-10.84375,-19.96875,-22.03125,-22.1875,-21.3125,-20.578125
16,-9.7265625,-21.53125,-21.234375,-21.796875,-22.765625,-21.375
17,-9.3515625,-20.3125,-21.28125,-20.8125,-22.046875,-21.625
18,-10.125,-20.484375,-18.65625,-18.828125,-18.0,-17.765625
19,-10.8203125,-19.625,-18.78125,-17.1875,-15.859375,-15.78125
