,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala,agent0_451,agent1_451,agent2_451,agent3_451,agent4_451,agent5_451
0,-1.8870874643325808,-5.191816806793213,-6.703392028808594,-8.45637035369873,-8.475874900817871,-7.765021800994873,-0.1141065433621406,-0.2216301411390304,-2.3509225845336914,-3.1981000900268555,-1.9114505052566528,-22.579998016357425
2,-1.8240312337875368,-7.637860774993896,-5.950008869171143,-8.49215316772461,-8.280950546264648,-7.920426368713379,-0.3316600918769836,-2.455390453338623,-0.3452540040016174,-11.005074501037598,-24.220674514770508,-25.513473510742188
4,-1.3157200813293457,-3.816627264022827,-3.2696526050567627,-7.607481479644775,-7.848299503326416,-8.233439445495605,-0.9139596223831176,-0.2535838186740875,-0.3600635528564453,-24.157760620117188,-27.5180721282959,-26.32535171508789
6,-1.5925999879837036,-8.048398971557617,-7.22709846496582,-7.145183563232422,-7.961815357208252,-7.836665630340576,-0.8688204884529114,-4.280197143554688,-5.196288108825684,-17.58622932434082,-31.64435577392578,-35.717533111572266
5,-1.892433285713196,-5.814533233642578,-8.360625267028809,-7.181165218353272,-8.549668312072754,-5.70582389831543,-0.045481190085411,-0.5143504738807678,-9.861833572387695,-4.865988254547119,-5.156440258026123,-11.00619888305664
1,-1.5409010648727417,-4.196008682250977,-4.830443859100342,-6.871065139770508,-6.681469917297363,-5.964144706726074,-0.5775243639945984,-1.9667309522628784,-0.0361868813633918,-2.361985683441162,-4.213698863983154,-6.379424571990967
3,-1.5033117532730105,-5.095493316650391,-6.252020359039307,-6.679592609405518,-7.970201015472412,-7.39097785949707,-0.0213532298803329,-0.0975646004080772,-2.366246223449707,-2.375839948654175,-5.848945617675781,-1.8432317972183228
7,-2.1152775287628174,-5.614900588989258,-7.323902130126953,-7.913078784942627,-7.181435585021973,-6.429443836212158,-0.3551672995090484,-0.399723082780838,-8.075297355651855,-6.12600040435791,-16.460268020629883,-19.12501716613769
8,-1.5791515111923218,-4.497262001037598,-7.69899845123291,-8.19204044342041,-8.840344429016113,-8.486345291137695,-2.288447380065918,-0.0670022815465927,-7.027507781982422,-12.980908393859863,-25.072134017944336,-23.97893714904785
10,-1.6819020509719849,-5.326784610748291,-8.192758560180664,-8.09842586517334,-7.673468112945557,-7.838640689849853,-0.2147214710712433,-0.0933343768119812,-4.407364845275879,-23.37839698791504,-33.00469970703125,-36.76013946533203
12,-2.609076023101806,-7.20958137512207,-6.514004707336426,-7.994194984436035,-7.994194984436035,-8.047327041625977,,,,,,
14,-1.5774933099746704,-3.8215603828430176,-2.912105083465576,-5.81024980545044,-9.010480880737305,-9.796430587768556,,,,,,
13,-2.6126532554626465,-8.342466354370117,-8.824480056762695,-8.824480056762695,-8.824480056762695,-8.946813583374023,-0.4551971852779388,-11.939316749572754,-13.754898071289062,-13.754898071289062,-13.754898071289062,-18.487743377685547
11,-2.251380205154419,-3.261496067047119,-5.198463439941406,-7.16513729095459,-8.563775062561035,-7.37652063369751,-2.470519542694092,-0.0726767778396606,-0.4375737309455871,-10.986316680908203,-30.10666275024414,-29.52032852172852
18,-1.279958724975586,-4.106128215789795,-5.379700183868408,-4.865567207336426,-5.305574893951416,-4.241862773895264,-1.057573318481445,-0.5054982304573059,-0.1004853695631027,-0.0387340895831584,-0.0612882077693939,-2.075338363647461
15,-1.6999751329421997,-5.3608245849609375,-6.615426540374756,-7.59388542175293,-7.568570137023926,-7.829868316650391,,,,,,
9,-2.618480682373047,-4.705626487731934,-7.835946559906006,-9.14786148071289,-9.153303146362305,-8.007351875305176,-0.3046116828918457,-0.1250821352005005,-0.3296566307544708,-8.298243522644043,-32.5352668762207,-33.172264099121094
16,-2.021268844604492,-5.09870195388794,-7.914754390716553,-8.725423812866211,-7.936150550842285,-8.477558135986328,-0.1398015171289444,-0.0222244244068861,-15.83724880218506,-13.752008438110352,-13.813491821289062,-25.10465431213379
19,-1.5070507526397705,-2.905663013458252,-5.608551979064941,-6.625118255615234,-7.747899532318115,-7.680596351623535,-1.1689863204956057,-0.1124427616596221,-0.098519891500473,-13.547714233398438,-16.554828643798828,-19.24966049194336
17,-1.6528193950653076,-6.54901123046875,-5.809476375579834,-7.496503353118896,-7.221204280853271,-6.873994827270508,-0.025473715737462,-4.437233924865723,-0.4948974251747131,-1.5996441841125488,-11.407690048217772,-2.727085590362549
