,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin,agent0_676,agent1_676,agent2_676,agent3_676,agent4_676,agent5_676
0,-1.960360765457153,-3.809716939926148,-5.664873123168945,-5.128940105438232,-7.241331577301025,-8.645607948303223,-1.8941302299499512,-0.2865330874919891,-0.0630181655287742,-0.5583869218826294,-0.3780774176120758,-1.1688485145568848
2,-1.162147879600525,-2.5766079425811768,-6.3605055809021,-9.411948204040527,-9.33810043334961,-8.639290809631348,-0.4543667137622833,-0.2321037203073501,-0.1769487112760543,-11.127235412597656,-9.441261291503906,-12.422819137573242
3,-1.4304940700531006,-6.78001070022583,-11.954954147338867,-11.013559341430664,-10.878721237182615,-11.387526512145996,-1.273488998413086,-0.4889078438282013,-17.10048484802246,-32.4087028503418,-32.777557373046875,-33.1945915222168
8,-1.5307575464248655,-4.517085552215576,-5.228496074676514,-6.570830345153809,-8.770353317260742,-9.677777290344238,-2.178905725479126,-0.2303276807069778,-0.1485397964715957,-0.113315001130104,-9.386297225952148,-13.907861709594728
16,-1.74042010307312,-3.3637380599975586,-2.634035587310791,-6.723892688751221,-5.748202800750732,-7.359228134155273,-0.9892131090164183,-0.481554239988327,-0.2519128024578094,-7.1767258644104,-9.579107284545898,-13.899447441101074
1,-1.391804575920105,-3.781611204147339,-5.842081546783447,-8.283440589904785,-8.57773494720459,-9.183798789978027,-0.763130784034729,-0.5689830183982849,-1.7254682779312134,-29.05819129943848,-28.857006072998047,-32.92123031616211
9,-1.7805529832839966,-5.132245063781738,-2.895679712295532,-7.382546424865723,-9.203618049621582,-7.575464725494385,-1.0899295806884766,-0.7064192295074463,-0.5869650840759277,-8.985472679138184,-12.265524864196776,-13.614974975585938
17,-0.7635529637336731,-5.899031162261963,-7.030941963195801,-9.157391548156738,-8.794519424438477,-9.207624435424805,-1.0134180784225464,-0.1607104390859604,-1.7718225717544556,-15.8419828414917,-40.21066665649414,-39.78984451293945
10,-1.6764743328094482,-4.9437432289123535,-4.273402690887451,-6.561207294464111,-7.012461185455322,-8.106067657470703,-2.4025754928588867,-0.2206200510263443,-0.0243036448955535,-0.1859558671712875,-7.857194423675537,-31.234905242919922
11,-1.7655158042907717,-5.3346333503723145,-4.952693939208984,-6.30675745010376,-5.127242088317871,-5.4874267578125,-0.701021671295166,-0.0749585479497909,-2.656769275665283,-1.5202003717422483,-0.1270052939653396,-2.570551872253418
18,-2.458784341812134,-5.306742191314697,-7.852079391479492,-8.084214210510254,-9.98882293701172,-8.439520835876465,-1.5934275388717651,-0.1076210588216781,-1.7083545923233032,-1.617074489593506,-9.486106872558594,-16.885379791259766
19,-1.7657158374786377,-5.522216320037842,-4.3192057609558105,-7.743856906890869,-9.744061470031738,-9.585175514221191,-1.4265177249908447,-0.109992004930973,-0.3070372939109802,-10.534955024719238,-12.943696975708008,-14.995829582214355
5,-1.166945219039917,-4.944372177124023,-6.376898288726807,-8.001852035522461,-7.494577407836914,-7.590495586395264,-0.3825614750385284,-0.4670980274677276,-0.1281139254570007,-0.915669560432434,-5.138233184814453,-11.850628852844238
4,-1.7430437803268433,-4.8904290199279785,-6.356551647186279,-6.9058518409729,-8.764534950256348,-8.113932609558105,-0.803666353225708,-0.2709254920482635,-2.590919256210327,-7.521183490753174,-13.15497875213623,-14.109017372131348
12,-2.4610049724578857,-2.7671420574188232,-5.963451862335205,-6.167771816253662,-5.561281204223633,-8.344063758850098,-2.729933023452759,-0.2278102338314056,-31.91743850708008,-33.314231872558594,-31.09593963623047,-32.55738067626953
7,-1.8380414247512813,-3.705941915512085,-8.703658103942871,-8.892241477966309,-8.148735046386719,-8.500767707824707,-1.152015209197998,-0.2232393026351928,-8.786787033081055,-3.141300201416016,-3.584383010864258,-5.195937633514404
13,-1.524130940437317,-4.1011271476745605,-5.61201810836792,-6.16895866394043,-7.903542995452881,-7.545504093170166,-0.4922731518745422,-0.1395208984613418,-0.0254044141620397,-0.0904549062252044,-5.060549259185791,-12.76047706604004
6,-0.8975492715835571,-7.483066558837891,-6.319430828094482,-8.043177604675293,-6.230232238769531,-7.007468700408936,-3.24671483039856,-2.171804189682007,-29.78311920166016,-35.39701461791992,-35.68854522705078,-33.0889778137207
14,-1.5988335609436035,-2.214888095855713,-4.19362211227417,-5.063241958618164,-6.361801624298096,-6.850414276123047,,,,,,
15,-1.2859758138656616,-2.176455497741699,-7.691236972808838,-8.98633098602295,-8.58116340637207,-7.602772235870361,,,,,,
