,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
0,-4.224143505096436,-6.835869789123535,-6.20152759552002,-6.890611171722412,-6.916028499603272,-6.880712985992432
1,-5.090390682220459,-6.33067512512207,-5.808259963989258,-6.782676696777344,-6.990607261657715,-6.31558895111084
2,-4.420629978179932,-5.797857761383057,-5.972466468811035,-5.818928718566895,-6.053574085235596,-5.966342449188232
3,-5.172672271728516,-6.092722415924072,-5.775900840759277,-6.308007717132568,-5.884478569030762,-6.465694904327393
5,-4.599959373474121,-6.004820346832275,-6.019048690795898,-5.903934955596924,-6.056784629821777,-5.917448043823242
7,-3.813198328018189,-5.80265474319458,-6.300550937652588,-6.18360710144043,-6.311743259429932,-6.636331081390381
6,-3.56592345237732,-5.517988204956055,-6.202671051025391,-6.322592735290527,-6.362510681152344,-6.480484485626221
8,-5.4145612716674805,-6.0822601318359375,-5.883042335510254,-6.119809627532959,-6.359273910522461,-6.706489562988281
9,-6.239833354949951,-6.063425540924072,-5.0956807136535645,-6.397449970245361,-6.94124698638916,-7.148890972137451
10,-4.881032943725586,-6.207004070281982,-6.2216315269470215,-6.058562278747559,-5.884555339813232,-6.167171955108643
11,-3.861963033676148,-6.2517571449279785,-6.493313789367676,-6.249147415161133,-6.675267219543457,-5.877408981323242
13,-4.767697334289551,-6.672364711761475,-6.437437057495117,-6.50680685043335,-5.995965957641602,-6.939188003540039
12,-3.6537697315216064,-6.357146739959717,-5.897695064544678,-5.717013835906982,-5.845091342926025,-5.45209264755249
14,-4.325193405151367,-6.296781063079834,-5.708471775054932,-6.118566989898682,-6.047571182250977,-6.136388778686523
23,-5.897926330566406,-6.488324165344238,-6.3119215965271,-7.001313209533691,-6.319454669952393,-6.733404159545898
16,-5.350620746612549,-6.274893283843994,-6.009241580963135,-5.81913948059082,-6.687887191772461,-7.133533000946045
17,-3.696388244628906,-7.540265083312988,-7.12266731262207,-6.997971057891846,-6.873729705810547,-7.6035075187683105
18,-6.863383293151856,-5.820519924163818,-6.064236640930176,-6.759594917297363,-6.648123264312744,-6.4691901206970215
19,-4.46711015701294,-6.128228187561035,-6.034968852996826,-6.141746997833252,-5.527211666107178,-6.077723503112793
4,-5.409325122833252,-6.478117942810059,-5.8212890625,-5.796848773956299,-7.408181190490723,-6.826860904693604
22,-4.021674156188965,-5.976443767547607,-5.464291572570801,-5.596912384033203,-5.565122604370117,-5.858673095703125
21,-5.118571758270264,-5.474213123321533,-5.4786882400512695,-6.078700065612793,-6.124650478363037,-5.416609764099121
15,-3.9562273025512695,-5.825029373168945,-6.1877121925354,-5.694433689117432,-5.8660888671875,-6.568462371826172
20,-3.810276985168457,-5.954356670379639,-6.097024917602539,-6.518767356872559,-6.584117889404297,-6.909485340118408
