,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
0,-8.316144943237305,-8.354697227478027,-8.078483581542969,-8.589000701904297,-8.341557502746582,-8.855597496032715
1,-7.293844223022461,-7.7338128089904785,-8.387260437011719,-8.323750495910645,-8.320231437683105,-8.614500999450684
2,-8.114062309265137,-8.117912292480469,-7.073736190795898,-5.94870662689209,-7.552452087402344,-7.561715602874756
4,-8.86258602142334,-8.951542854309082,-8.121259689331055,-7.406653881072998,-7.651186943054199,-7.922731876373291
3,-7.383409023284912,-8.328454971313477,-8.230515480041504,-8.125279426574707,-8.224320411682129,-8.428431510925293
5,-8.793756484985352,-8.66624927520752,-8.121307373046875,-7.919363975524902,-8.200724601745605,-8.415389060974121
7,-7.143400192260742,-7.059139728546143,-7.974361419677734,-8.677940368652344,-8.334811210632324,-8.640944480895996
6,-7.405432224273682,-6.811616897583008,-7.9545745849609375,-8.15249252319336,-7.665795803070068,-8.659150123596191
8,-8.841368675231934,-6.947576999664307,-8.037215232849121,-7.937300205230713,-8.550392150878906,-7.651664733886719
15,-7.449814319610596,-7.646837711334228,-7.737037658691406,-9.581089973449709,-8.171589851379395,-8.418403625488281
9,-7.387742519378662,-7.861602306365967,-7.436558723449707,-7.373769760131836,-7.820631980895996,-8.655869483947754
14,-7.811861515045166,-8.432483673095703,-8.922856330871582,-9.175436973571776,-9.025816917419434,-9.38772964477539
10,-8.221720695495605,-7.961667537689209,-10.164298057556152,-9.40896224975586,-8.690084457397461,-9.008045196533203
12,-7.343777656555176,-7.606621265411377,-7.639487743377685,-8.182982444763184,-7.832871437072754,-8.328913688659668
11,-7.4027228355407715,-7.61509895324707,-8.590222358703613,-7.897263526916504,-8.07409954071045,-7.966866970062256
13,-7.928785800933838,-7.631532669067383,-7.699583053588867,-8.440384864807129,-8.60897159576416,-8.707107543945312
16,-8.561930656433105,-8.158727645874023,-8.193037986755371,-7.651735305786133,-7.651735305786133,-8.0841064453125
17,-7.068708896636963,-5.9248809814453125,-8.41845703125,-8.449553489685059,-6.306624889373779,-6.910036563873291
18,-9.102728843688965,-6.56321907043457,-8.109253883361816,-6.781490325927734,-7.539218902587891,-7.342335224151611
19,-8.130325317382812,-8.635083198547363,-7.715128898620605,-7.725935459136963,-7.680873394012451,-7.920433521270752
