,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
0,-0.843515157699585,-1.2901341915130615,-1.1276556253433228,-2.35268235206604,-2.046633243560791,-2.02148699760437
1,-0.9136016964912416,-1.647260069847107,-1.316476583480835,-2.6865553855896,-2.7962331771850586,-1.817221641540528
2,-1.2903941869735718,-1.0954649448394775,-0.9564667344093324,-2.198488712310791,-2.4833996295928955,-3.056203842163086
3,-0.6300891637802124,-1.7933621406555176,-2.2195727825164795,-1.4171898365020752,-1.4298804998397827,-2.66504168510437
5,-1.1256872415542605,-1.1971335411071775,-0.7002173662185669,-2.1867473125457764,-2.323460578918457,-2.391819477081299
7,-1.7455134391784668,-1.394756555557251,-1.1558860540390017,-1.6779354810714722,-2.382671594619751,-1.9543169736862185
6,-1.0564625263214111,-1.38877534866333,-2.2806618213653564,-2.3631839752197266,-1.6578662395477295,-2.446063041687012
8,-0.8252948522567749,-0.8588299751281738,-2.5104846954345703,-2.5290818214416504,-2.533745765686035,-2.467301607131958
9,-0.9241431951522828,-1.0355784893035889,-2.2345633506774902,-1.8769094944000244,-2.134192705154419,-2.4031102657318115
10,-1.2685893774032593,-1.4167251586914062,-2.859395742416382,-2.443060874938965,-2.827707052230835,-3.840556144714356
11,-0.8014242053031921,-0.8470011949539185,-0.522757887840271,-1.2650855779647827,-2.225949048995972,-2.531556367874145
13,-0.6527749300003052,-1.0471198558807373,-0.8783166408538818,-1.850589275360108,-2.3815011978149414,-1.7021880149841309
12,-2.098520278930664,-1.0867884159088137,-1.0397286415100098,-1.3439061641693115,-1.1508426666259766,-1.5459662675857544
14,-1.4136779308319092,-0.5984241366386414,-0.4950896203517914,-2.036947727203369,-2.327094793319702,-2.4130539894104004
23,-1.024685621261597,-0.997978687286377,-2.338270664215088,-2.473716259002685,-2.096064805984497,-2.8403160572052
16,-0.6530670523643494,-1.554500699043274,-2.6561498641967773,-2.5985052585601807,-2.627723455429077,-2.451310396194458
17,-2.06167984008789,-1.7132843732833862,-1.923820972442627,-2.1703195571899414,-1.9539655447006223,-2.765519618988037
18,-1.0492146015167236,-2.463354110717773,-1.5210243463516235,-0.8101586103439331,-2.458168268203736,-2.6786651611328125
19,-1.481337308883667,-0.6823007464408875,-1.5028811693191528,-1.6863757371902466,-2.5083260536193848,-2.830167770385742
4,-1.311808705329895,-0.9215554594993592,-2.902751922607422,-2.8040337562561035,-2.91629409790039,-2.6117632389068604
22,-0.970066785812378,-1.1284613609313965,-2.19256591796875,-2.1817541122436523,-2.199122667312622,-2.5195794105529785
21,-1.187527060508728,-0.7740169763565063,-1.056602954864502,-1.657328963279724,-2.144824504852295,-1.857532858848572
15,-1.7215981483459473,-1.4770050048828125,-2.3327832221984863,-2.298248767852783,-2.8641579151153564,-2.824528694152832
20,-0.6124697923660278,-1.2507336139678955,-2.307706117630005,-2.61140513420105,-2.754850387573242,-2.5417404174804688
