,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
0,0.1614583333333333,0.1354166666666666,0.15625,0.0833333333333333,0.1041666666666666,0.03125
1,0.2135416666666666,0.1458333333333333,0.1927083333333333,0.0729166666666666,0.0729166666666666,0.0677083333333333
2,0.25,0.0677083333333333,0.015625,0.0260416666666666,0.0104166666666666,0.0364583333333333
3,0.25,0.203125,0.0833333333333333,0.140625,0.140625,0.1458333333333333
4,0.2239583333333333,0.2604166666666667,0.203125,0.3854166666666667,0.296875,0.4635416666666667
5,0.1822916666666666,0.5208333333333334,0.1354166666666666,0.234375,0.125,0.1510416666666666
6,0.2135416666666666,0.3229166666666667,0.09375,0.0677083333333333,0.09375,0.078125
7,0.25,0.03125,0.0208333333333333,0.0260416666666666,0.0520833333333333,0.0416666666666666
8,0.2847222222222222,0.1111111111111111,0.0902777777777777,0.0694444444444444,0.1319444444444444,0.0486111111111111
9,0.1875,0.0763888888888889,0.2222222222222222,0.2361111111111111,0.0763888888888889,0.1805555555555555
10,0.1527777777777778,0.0138888888888888,0.125,0.1875,0.0347222222222222,0.0208333333333333
11,0.1736111111111111,0.0833333333333333,0.1388888888888889,0.125,0.1458333333333333,0.1736111111111111
12,0.25,0.125,0.0069444444444444,0.1458333333333333,0.2291666666666666,0.0972222222222222
13,0.2083333333333333,0.0069444444444444,0.1527777777777778,0.2847222222222222,0.3402777777777778,0.1736111111111111
14,0.1597222222222222,0.1180555555555555,0.2013888888888889,0.1527777777777778,0.0763888888888889,0.0833333333333333
15,0.1805555555555555,0.2222222222222222,0.0972222222222222,0.0972222222222222,0.0694444444444444,0.0416666666666666
16,0.2083333333333333,0.0138888888888888,0.1111111111111111,0.1597222222222222,0.1805555555555555,0.0833333333333333
17,0.2430555555555555,0.1388888888888889,0.0486111111111111,0.0486111111111111,0.0763888888888889,0.0416666666666666
18,0.2569444444444444,0.0069444444444444,0.0625,0.0208333333333333,0.0763888888888889,0.0625
19,0.3263888888888889,0.0972222222222222,0.0277777777777777,0.0,0.0347222222222222,0.041666666666666664
