,agent0_kangaroo,agent0_koala,agent0_lion,agent0_elephant,agent0_giraffe,agent0_dolphin,agent1_kangaroo,agent1_koala,agent1_lion,agent1_elephant,agent1_giraffe,agent1_dolphin,agent2_kangaroo,agent2_koala,agent2_lion,agent2_elephant,agent2_giraffe,agent2_dolphin,agent3_kangaroo,agent3_koala,agent3_lion,agent3_elephant,agent3_giraffe,agent3_dolphin,agent4_kangaroo,agent4_koala,agent4_lion,agent4_elephant,agent4_giraffe,agent4_dolphin,agent5_kangaroo,agent5_koala,agent5_lion,agent5_elephant,agent5_giraffe,agent5_dolphin,agent0_panda,agent0_penguin,agent0_chimpanzee,agent0_orangutan,agent1_panda,agent1_penguin,agent1_chimpanzee,agent1_orangutan,agent2_panda,agent2_penguin,agent2_chimpanzee,agent2_orangutan,agent3_panda,agent3_penguin,agent3_chimpanzee,agent3_orangutan,agent4_panda,agent4_penguin,agent4_chimpanzee,agent4_orangutan,agent5_panda,agent5_penguin,agent5_chimpanzee,agent5_orangutan,agent0_559,agent1_559,agent2_559,agent3_559,agent4_559,agent5_559
0,-3.3070156574249268,-5.127120494842529,-7.014579772949219,-2.9889371395111084,-0.7337212562561035,-4.265886306762695,-4.287450313568115,-5.638787269592285,-6.448074817657471,-1.180198311805725,-1.143127202987671,-1.379113793373108,-5.107704639434815,-6.117575168609619,-6.087914943695068,-1.6208508014678955,-0.5656804442405701,-2.356684923171997,-5.771357536315918,-6.375063896179199,-5.928342819213867,-1.8752185106277464,-3.459754467010498,-0.3310500383377075,-6.707587718963623,-7.8440260887146,-6.73925256729126,-2.136409282684326,-4.426391124725342,-0.2150455266237259,-7.374658584594727,-6.949277877807617,-6.57452392578125,-2.1992435455322266,-3.886324405670166,-0.4576281905174255,-5.480700492858887,-2.7605504989624023,-7.040211200714111,-7.081029891967773,-5.136791706085205,-5.502152442932129,-5.356942653656006,-6.227275371551514,-4.815385341644287,-5.169631481170654,-5.959126949310303,-6.454721450805664,-5.685181617736816,-7.174428462982178,-6.19099235534668,-6.002825736999512,-6.249574184417725,-8.38363265991211,-6.607262134552002,-7.5237202644348145,-6.361204147338867,-7.755799770355225,-6.601559638977051,-6.367191791534424,-1.5425658226013184,-5.045122623443604,-0.4639343917369842,-11.93049144744873,-23.89495277404785,-30.53887939453125
2,-3.3599050045013428,-5.613101959228516,-6.693295478820801,-3.844516038894653,-0.5368878245353699,-4.463757514953613,-6.845515251159668,-7.64314079284668,-7.463909149169922,-2.744251251220703,-4.16913366317749,-0.1705684959888458,-6.803746700286865,-8.078996658325195,-7.414315700531006,-2.70250940322876,-4.562900066375732,-0.1568017452955246,-6.477155685424805,-8.166314125061035,-7.458128929138184,-2.5541305541992188,-4.390657901763916,-0.162990540266037,-5.552663803100586,-6.899777412414551,-7.134225845336914,-2.76871109008789,-3.660798788070679,-0.2647036910057068,-6.378426551818848,-7.1032819747924805,-6.985828399658203,-2.594551086425781,-4.005660533905029,-0.3063393831253052,-5.925259590148926,-2.8296492099761963,-7.219409465789795,-7.402584075927734,-6.063966751098633,-8.131973266601562,-6.925748825073242,-7.159903526306152,-5.4565863609313965,-8.171929359436035,-6.874105453491211,-8.193126678466797,-5.517953872680664,-7.667354106903076,-6.829147338867188,-8.400039672851562,-5.411055564880371,-6.461828708648682,-7.0483903884887695,-7.723554611206055,-5.129039764404297,-6.628082752227783,-7.322415351867676,-7.487607955932617,-0.8387762308120728,-7.703602790832519,-23.94937896728516,-21.58131599426269,-38.95859909057617,-40.3448486328125
4,-2.8609869480133057,-4.52315092086792,-6.1593780517578125,-2.8992013931274414,-0.6070290207862854,-4.130622863769531,-3.915522813796997,-3.6972403526306152,-7.655072212219238,-3.077700614929199,-1.4631145000457764,-2.935964584350586,-6.960264205932617,-6.787727355957031,-7.94328498840332,-2.435413360595703,-3.45322585105896,-0.6231842041015625,-6.255666255950928,-5.345571517944336,-7.34117841720581,-2.60160493850708,-2.1297171115875244,-1.8603386878967283,-6.827345371246338,-6.055628299713135,-7.11753511428833,-2.3846306800842285,-3.579477310180664,-1.0535836219787598,-7.198013305664063,-6.4323410987854,-7.355719566345215,-2.1632518768310547,-3.6578521728515625,-0.8360005617141724,-4.72722053527832,-2.3015427589416504,-7.21279764175415,-7.686698913574219,-5.587745666503906,-4.23593807220459,-7.07806921005249,-6.630072593688965,-6.733395576477051,-8.424505233764648,-6.40076208114624,-6.276947975158691,-6.604898929595947,-7.005032539367676,-6.375804901123047,-5.054574012756348,-6.791422367095947,-8.65378189086914,-6.640071868896484,-5.503368854522705,-6.616471290588379,-9.360408782958984,-6.565929412841797,-6.206370830535889,-0.1303350329399109,-0.1148589625954628,-14.1342191696167,-5.502799987792969,-10.320119857788086,-10.524428367614746
6,-3.326282262802124,-4.951842784881592,-6.374039173126221,-2.912510395050049,-1.0137232542037964,-4.526078701019287,-2.7728171348571777,-3.784624576568604,-6.77097749710083,-1.4611495733261108,-1.6530210971832275,-1.47003972530365,-4.226822853088379,-5.05397891998291,-6.587614059448242,-1.1849689483642578,-2.0922863483428955,-0.9346370697021484,-3.876543521881104,-4.606932640075684,-6.529995441436768,-2.092936992645264,-1.2584582567214966,-2.250791072845459,-5.65530252456665,-5.560359001159668,-6.8299880027771,-2.629833698272705,-1.9204168319702148,-0.7635168433189392,-6.425098419189453,-6.787245273590088,-7.490054130554199,-2.384042501449585,-3.800739049911499,-0.2673223912715912,-5.50006914138794,-2.5204310417175293,-7.267755508422852,-7.716283798217773,-4.6585373878479,-3.639414072036743,-6.6439714431762695,-6.898521900177002,-5.164322853088379,-5.164775848388672,-5.756150245666504,-6.4390153884887695,-5.445288181304932,-5.613091945648193,-4.995040893554688,-4.600576400756836,-6.012471675872803,-7.0870513916015625,-5.046802520751953,-4.582894802093506,-6.341695785522461,-7.658666610717773,-6.5814714431762695,-6.479236125946045,-3.454514741897583,-0.4407871663570404,-0.7833388447761536,-0.1112514734268188,-12.50092601776123,-11.311704635620115
5,-2.999948024749756,-4.759830951690674,-6.141563415527344,-3.532022476196289,-0.6427373886108398,-4.7758378982543945,-4.375385761260986,-5.198943614959717,-6.80441427230835,-2.5012269020080566,-1.4786262512207031,-2.368083477020264,-6.29229736328125,-6.106405258178711,-6.900484085083008,-2.538160562515259,-3.071532964706421,-0.864353358745575,-5.981697082519531,-6.080972194671631,-7.22243595123291,-2.4200127124786377,-3.3240764141082764,-0.4159747958183288,-6.253567695617676,-5.6406683921813965,-7.466341018676758,-2.872178077697754,-4.030935287475586,-0.8224897384643555,-7.251046180725098,-6.863631248474121,-7.690327644348144,-2.6424121856689453,-4.200058460235596,-0.5132371187210083,-5.278020858764648,-2.564666509628296,-7.243691921234131,-7.498525619506836,-5.902732372283936,-6.032122611999512,-5.963308811187744,-4.75119686126709,-6.473886489868164,-7.488736152648926,-6.4209465980529785,-5.695919513702393,-6.041251182556152,-8.388821601867676,-6.79937744140625,-6.245750904083252,-5.762314796447754,-7.479936122894287,-7.333099365234375,-6.611228942871094,-6.547641754150391,-8.876191139221191,-7.064800262451172,-6.756175518035889,-0.8435043692588806,-0.1823627203702926,-8.023417472839355,-10.323226928710938,-29.780807495117188,-32.17879104614258
1,-3.0541017055511475,-4.775721549987793,-6.761148452758789,-4.166457176208496,-0.7107521891593933,-5.3249053955078125,-5.4369988441467285,-5.310098171234131,-8.19923210144043,-4.302950382232666,-2.4128878116607666,-2.3552050590515137,-7.343968868255615,-6.669173240661621,-8.449832916259766,-4.612565517425537,-4.44629430770874,-2.059800863265991,-7.592127799987793,-6.712164402008057,-8.82661247253418,-4.280038833618164,-4.902629852294922,-1.612462282180786,-7.353928565979004,-6.596883296966553,-8.33056926727295,-3.821695327758789,-4.552065849304199,-1.0714244842529297,-7.31333065032959,-6.847578525543213,-7.662406921386719,-3.136972188949585,-4.1765875816345215,-0.6718652248382568,-5.546360969543457,-2.454331874847412,-7.786354541778564,-7.619862556457519,-6.833380222320557,-6.029955863952637,-7.387403964996338,-6.9602532386779785,-7.696402072906494,-8.365220069885254,-8.340150833129883,-6.190441131591797,-7.593605041503906,-8.409276962280273,-8.138087272644043,-6.138041496276856,-7.389269828796387,-8.319878578186035,-7.518473148345947,-5.811861991882324,-7.090575218200684,-8.653932571411133,-7.37780237197876,-6.45885705947876,-0.8853683471679688,-13.084089279174805,-30.402118682861328,-29.428842544555664,-29.14412307739257,-28.47720527648925
3,-3.1833436489105225,-5.007188320159912,-6.20959997177124,-3.1856722831726074,-0.540507435798645,-4.933980464935303,-4.3425822257995605,-5.200945854187012,-7.321522235870361,-3.171377658843994,-1.1541659832000732,-3.3447089195251465,-2.863852262496948,-4.857838153839111,-7.850399017333984,-2.195151090621948,-0.6092607975006104,-3.126320600509644,-7.010364532470703,-6.694674968719482,-7.874841690063477,-2.6487836837768555,-3.799484014511109,-0.5280218124389648,-7.2769012451171875,-6.555936813354492,-8.299894332885742,-3.0130395889282227,-3.9727625846862793,-0.8436421155929565,-7.711597442626953,-7.196995258331299,-8.609806060791016,-2.8018271923065186,-4.024292945861816,-0.6885573863983154,-4.990081310272217,-2.102231502532959,-7.296725273132324,-7.874186038970947,-5.375485897064209,-4.674621105194092,-7.1301679611206055,-7.472620487213135,-4.596586227416992,-3.887299299240112,-7.134435176849365,-7.543176174163818,-6.686262130737305,-7.755380630493164,-6.239383220672607,-6.395112037658691,-6.9611101150512695,-8.882369995117188,-7.250573635101318,-6.055098056793213,-7.345554351806641,-9.419611930847168,-7.237239837646484,-6.348669052124023,-0.0642581284046173,-0.328782320022583,-0.0612387135624885,-13.501141548156738,-13.693788528442385,-24.55598831176757
7,-2.7747678756713867,-4.4027605056762695,-6.642603397369385,-3.970237493515015,-1.369102120399475,-5.227054119110107,-4.752341747283936,-5.101333141326904,-7.544279098510742,-2.774288892745972,-2.436267375946045,-4.003777503967285,-7.843568801879883,-8.545088768005371,-7.038998603820801,-2.1678361892700195,-5.519355773925781,-0.2910795211791992,-6.990942001342773,-7.997669219970703,-6.811674118041992,-2.4280357360839844,-4.764535427093506,-0.3212184906005859,-6.745005130767822,-8.056376457214355,-6.172732830047607,-1.752469539642334,-4.2318854331970215,-0.3562942147254944,-7.708237648010254,-8.579532623291016,-6.395960807800293,-1.721949815750122,-4.810789108276367,-0.3312008082866668,-5.7000603675842285,-2.388366937637329,-7.417865753173828,-8.308563232421875,-5.617731094360352,-4.698347091674805,-7.829397201538086,-8.21672534942627,-6.768218994140625,-7.942639350891113,-6.334053039550781,-7.468754768371582,-5.667516708374023,-7.7006988525390625,-6.259245872497559,-7.197328567504883,-5.506449222564697,-7.687897682189941,-5.922079563140869,-7.330751419067383,-6.646464347839356,-8.63801097869873,-6.143455028533936,-6.7401933670043945,-2.265319585800171,-0.3718295395374298,-36.011077880859375,-42.01094055175781,-39.14390182495117,-35.36319351196289
8,-2.815504550933838,-4.134182453155518,-7.164524078369141,-2.9716265201568604,-1.0584232807159424,-4.006484031677246,-4.584250450134277,-4.625740051269531,-7.758156776428223,-1.765299677848816,-1.910787582397461,-0.9286774396896362,-5.187675476074219,-4.198718547821045,-7.46055269241333,-2.425034046173096,-1.200042486190796,-1.3533226251602173,-5.3942551612854,-5.720164775848389,-6.8548903465271,-1.9258818626403809,-2.969838380813598,-0.4224696457386017,-6.458479404449463,-7.740468025207519,-6.079871654510498,-2.4679722785949707,-4.226667404174805,-0.2510112822055816,-6.566812515258789,-7.908448219299316,-6.453562736511231,-2.7850160598754883,-5.458935260772705,-0.2938183546066284,-5.138331413269043,-2.263590812683105,-7.579902172088623,-7.631520748138428,-4.870250701904297,-5.2058305740356445,-5.788608074188232,-6.153250217437744,-5.5307393074035645,-6.815169334411621,-5.641770839691162,-5.129677295684815,-5.442405223846436,-7.464480876922607,-5.813862323760986,-6.32577657699585,-6.568811893463135,-9.399242401123049,-6.3446855545043945,-7.195051193237305,-6.611179351806641,-9.207050323486328,-7.243905067443848,-7.947922229766846,-1.9880856275558472,-0.4631682932376861,-4.940211296081543,-9.757782936096191,-38.67872619628906,-39.90040969848633
10,-3.625633478164673,-5.561500549316406,-6.510167598724365,-4.21486234664917,-0.6682141423225403,-5.157954692840576,-5.107362270355225,-5.96429967880249,-5.677682399749756,-1.4032838344573977,-0.8529427647590637,-2.506089925765991,-6.113533020019531,-6.154029846191406,-6.240324020385742,-2.8270187377929688,-0.7148813605308533,-2.281014442443848,-7.323231220245361,-6.468263149261475,-7.833260536193848,-3.329050302505493,-3.998922109603882,-0.4681150019168854,-7.68575382232666,-7.025516033172607,-7.802779197692871,-3.483412504196167,-4.2153801918029785,-0.3446415364742279,-8.139582633972168,-7.806684494018555,-7.314642906188965,-2.5110347270965576,-4.870416641235352,-0.2519596219062805,-5.614932537078857,-2.913243293762207,-7.284268379211426,-7.683327198028564,-5.13101053237915,-6.4013776779174805,-5.850808620452881,-6.370883464813232,-5.807643890380859,-6.660922527313232,-5.3158769607543945,-3.7699151039123535,-6.560412406921387,-9.463289260864258,-6.57493257522583,-5.37905216217041,-6.965008735656738,-9.479344367980955,-6.931326866149902,-5.7106451988220215,-7.215815544128418,-10.986139297485352,-6.799108505249023,-6.157565593719482,-1.3068009614944458,-0.7153534889221191,-0.6451671123504639,-11.812689781188965,-29.184005737304688,-32.09026336669922
