,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo,agent0_219,agent1_219,agent2_219,agent3_219,agent4_219,agent5_219
0,-2.0253560543060303,-5.546449184417725,-6.651403427124023,-6.947440147399902,-6.947440147399902,-7.041834354400635,-0.3796068727970123,-2.2402594089508057,-5.926261425018311,-7.236591339111328,-7.236591339111328,-10.486166000366213
2,-2.12269139289856,-3.7910079956054688,-3.0020461082458496,-4.936201572418213,-7.008961200714111,-5.921696186065674,-0.5320703983306885,-6.246509552001953,-0.2755683660507202,-0.937588095664978,-5.62587833404541,-34.38201904296875
4,-2.1506855487823486,-4.641435623168945,-5.767736434936523,-6.7958984375,-8.033716201782227,-6.749427795410156,-0.1110737323760986,-0.5917134284973145,-1.2786470651626587,-3.7369704246521,-18.58523750305176,-33.982017517089844
6,-2.160506010055542,-3.3829424381256104,-3.850959300994873,-7.159780502319336,-7.422634601593018,-6.966404438018799,-2.108632326126098,-0.3189149796962738,-5.709059238433838,-5.65922737121582,-7.431425094604492,-8.978185653686523
5,-2.114384412765503,-2.2343859672546387,-3.799683570861816,-7.50417947769165,-7.533392906188965,-7.861741065979004,-0.4013777375221252,-0.9677497744560242,-0.0236074440181255,-10.553383827209473,-8.539987564086914,-10.682597160339355
1,-1.4240493774414062,-3.219102144241333,-6.799969673156738,-6.48605489730835,-6.546467781066895,-7.073381423950195,-0.5964941382408142,-1.3943766355514526,-8.370309829711914,-29.043113708496094,-30.64560317993164,-32.663055419921875
3,-2.5015337467193604,-2.4392313957214355,-3.963180780410767,-5.240764141082764,-5.94838809967041,-7.380332946777344,-0.0519802868366241,-0.1775233149528503,-0.3958786129951477,-0.162976861000061,-0.3000851571559906,-14.526463508605955
7,-2.543232679367065,-3.70836877822876,-4.82469654083252,-6.7458014488220215,-7.091292381286621,-7.22242259979248,-2.307875633239746,-0.1928604245185852,-0.0238072071224451,-20.868043899536133,-16.288986206054688,-25.89732551574707
8,-2.365093469619751,-4.377370834350586,-6.9965901374816895,-6.320691108703613,-7.4108734130859375,-8.047723770141602,-0.5976439714431763,-0.5478617548942566,-12.529485702514648,-12.52870750427246,-32.25776672363281,-31.28399658203125
10,-2.02295184135437,-3.656448602676392,-6.170074939727783,-6.800474643707275,-6.841567516326904,-6.049074172973633,-0.759910523891449,-0.2170042097568512,-5.585501670837402,-7.384729862213135,-10.810510635375977,-29.500221252441406
12,-1.9731725454330444,-3.993520498275757,-7.23378849029541,-7.802355766296387,-7.802355766296387,-7.661001205444336,-1.2755932807922363,-0.168512687087059,-1.0945773124694824,-21.91876220703125,-21.91876220703125,-17.783260345458984
14,-2.4195151329040527,-5.702365398406982,-7.762060165405273,-7.582124710083008,-7.188962459564209,-7.681986808776855,,,,,,
13,-2.256117343902588,-2.606522798538208,-3.9131863117218018,-4.934138298034668,-5.810568809509277,-7.000004768371582,-0.7072172164916992,-0.271852433681488,-0.1816733330488205,-1.0710322856903076,-6.723423957824707,-16.804534912109375
11,-1.8537967205047607,-4.70753812789917,-7.543887615203857,-7.546272754669189,-7.511196613311768,-8.266148567199707,-0.7735369205474854,-1.5566023588180542,-12.053706169128418,-10.906047821044922,-10.905596733093262,-14.437190055847168
18,-2.1336934566497803,-2.19770622253418,-3.618281364440918,-5.02992582321167,-5.669817924499512,-5.425723075866699,-0.1451324224472046,-0.1057847961783409,-0.1768434643745422,-2.432779550552368,-0.2861142456531524,-1.6370385885238647
15,-2.542212724685669,-2.5607409477233887,-4.0197858810424805,-6.407612323760986,-8.435720443725586,-8.59235668182373,,,,,,
9,-1.9471439123153689,-2.296847343444824,-3.987194538116455,-5.702445030212402,-6.01399040222168,-6.292111396789551,-1.2973648309707642,-0.056570641696453,-0.3558844327926636,-4.708901882171631,-7.11651086807251,-5.636322975158691
16,-2.2901041507720947,-5.383747100830078,-6.959685325622559,-5.996074199676514,-5.503598213195801,-6.664224147796631,-0.3649931848049164,-3.10899305343628,-8.102688789367676,-5.946529388427734,-30.166465759277344,-32.05799865722656
19,-2.0883657932281494,-3.333332300186157,-3.711324214935303,-7.164565086364746,-7.947830200195312,-6.913018226623535,-1.038257360458374,-0.1296909600496292,-0.0377821698784828,-2.4128305912017822,-5.302192687988281,-7.096529960632324
17,-1.8719911575317385,-2.3164334297180176,-6.488748550415039,-6.176303863525391,-7.525426387786865,-6.939963340759277,-0.9279849529266356,-0.9508439302444458,-6.815220832824707,-6.2698974609375,-8.716822624206543,-11.728367805480955
