,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo
0,-2.286020040512085,-6.094127178192139,-7.068388938903809,-7.4406304359436035,-7.518857479095459,-7.041834354400635
1,-1.5457110404968262,-3.6015429496765137,-6.759995460510254,-6.702176570892334,-6.977217674255371,-7.073381423950195
2,-1.730561375617981,-4.4705915451049805,-2.2217793464660645,-5.071323394775391,-7.563018321990967,-5.921696186065674
3,-2.4534215927124023,-2.1951351165771484,-4.028289794921875,-5.954063892364502,-5.979047775268555,-7.380332946777344
5,-8.18322467803955,-4.372339248657227,-3.735299587249756,-7.473130226135254,-7.712095737457275,-7.861741065979004
7,-2.0477004051208496,-3.087620973587036,-4.809513568878174,-6.774056911468506,-7.088077068328857,-7.22242259979248
6,-2.576908588409424,-3.3582348823547363,-4.038960933685303,-7.72287654876709,-7.619208335876465,-6.966404438018799
8,-2.425266742706299,-4.99453592300415,-6.563817501068115,-6.947398662567139,-8.091721534729004,-8.047723770141602
9,-1.8061822652816768,-2.283219814300537,-3.717933177947998,-6.170172691345215,-6.189467430114746,-6.292111396789551
10,-2.5338175296783447,-3.7574310302734375,-6.627253532409668,-6.677244663238525,-6.369059085845947,-6.049074172973633
11,-1.8464065790176392,-5.201735496520996,-8.01307487487793,-7.895693778991699,-7.824312210083008,-8.266148567199707
13,-2.313210964202881,-2.09314227104187,-3.931669235229492,-5.461043834686279,-6.342899799346924,-7.000004768371582
12,-2.225703001022339,-4.180340766906738,-7.866946697235107,-8.136045455932617,-8.21278190612793,-7.661001205444336
14,-2.3256702423095703,-5.966630935668945,-7.776264190673828,-7.999347686767578,-7.915578365325928,-7.681986808776855
23,-2.484294176101685,-2.746398448944092,-5.942788124084473,-7.278270721435547,-7.7465386390686035,-7.259218215942383
16,-2.1013591289520264,-5.6486406326293945,-6.810921669006348,-6.505224704742432,-6.214401245117188,-6.664224147796631
17,-2.053049325942993,-2.2855064868927,-6.70735502243042,-6.8578386306762695,-7.455780982971191,-6.939963340759277
18,-3.064412832260132,-1.798306584358215,-4.407859802246094,-6.715192317962647,-6.593985080718994,-5.425723075866699
19,-2.650738000869751,-3.588841676712036,-4.979026317596436,-7.524856090545654,-7.84273624420166,-6.913018226623535
4,-2.6471428871154785,-5.613753795623779,-6.001542091369629,-7.369998455047607,-7.974566459655762,-6.749427795410156
22,-2.854909896850586,-3.871850252151489,-8.209551811218262,-8.555121421813965,-8.21367073059082,-8.325959205627441
21,-3.1800334453582764,-7.614045143127441,-8.852148056030273,-8.852148056030273,-8.593006134033203,-8.013840675354004
15,-3.539100170135498,-3.268714666366577,-4.198779582977295,-7.618866443634033,-8.187015533447266,-8.59235668182373
20,-2.540163278579712,-4.553008079528809,-3.823301076889038,-7.522851943969727,-8.088397979736328,-7.971150875091553
