,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala,agent0_233,agent1_233,agent2_233,agent3_233,agent4_233,agent5_233
0,-2.3566720485687256,-6.186945915222168,-6.998664855957031,-6.998664855957031,-6.998664855957031,-7.807818412780762,-1.5727910995483398,-6.853005409240723,-6.455799579620361,-6.455799579620361,-6.455799579620361,-10.419475555419922
2,-2.086719989776612,-3.0753297805786133,-3.785509824752808,-3.918926239013672,-2.51378870010376,-3.819247484207153,-0.2101190686225891,-0.0015393561916425,-0.3773438930511474,-1.9826574325561523,-0.5040428042411804,-0.3331859707832336
4,-2.7989203929901123,-3.1428544521331787,-4.378912925720215,-3.936024188995361,-4.366269111633301,-5.637813568115234,-0.5531028509140015,-0.2861229181289673,-0.4374864101409912,-0.1513690203428268,-0.3998329639434814,-6.053112506866455
6,-2.271290302276612,-3.2870237827301025,-5.093625545501709,-7.404344081878662,-7.32735538482666,-6.865817070007324,-2.4247536659240723,-0.3868062496185303,-7.823798656463623,-13.090653419494627,-11.425814628601074,-7.528768062591553
5,-2.2726926803588867,-5.125716686248779,-2.12796950340271,-2.836743116378784,-4.767187595367432,-5.573123931884766,-0.9016153812408448,-7.553039073944092,-0.636848509311676,-1.478123426437378,-4.044358253479004,-8.544872283935547
1,-2.415359735488892,-3.2607898712158203,-4.852023601531982,-6.065654754638672,-6.509552955627441,-7.703090667724609,-0.4283890128135681,-0.1020533442497253,-1.0234121084213257,-5.877435684204102,-23.56210708618164,-25.269302368164062
3,-2.485642910003662,-3.41571044921875,-3.2477786540985107,-4.905804634094238,-5.308008193969727,-6.149825096130371,-1.475308179855347,-1.3973689079284668,-0.1062788069248199,-0.0903631746768951,-0.637548565864563,-9.145445823669434
7,-1.626032829284668,-4.01108980178833,-5.314258098602295,-4.791111469268799,-6.242433547973633,-6.695499897003174,-0.7849459052085876,-1.2326610088348389,-0.0841512382030487,-0.2530413866043091,-5.62123966217041,-9.94936180114746
8,-1.8423341512680047,-3.1674299240112305,-2.543247699737549,-6.415399074554443,-6.796068668365479,-7.029509544372559,-0.8319216966629028,-3.519474983215332,-0.3569945096969604,-10.733198165893556,-22.942529678344727,-26.069168090820312
10,-2.234893560409546,-3.662578582763672,-2.991538524627685,-3.962653160095215,-6.244248390197754,-7.173824787139893,-0.8146048784255981,-0.1806301772594452,-0.3516902923583984,-0.1814539581537246,-2.792578935623169,-3.17162823677063
12,-2.1499016284942627,-2.8943896293640137,-3.289738178253174,-3.31697678565979,-6.362480640411377,-6.505821228027344,,,,,,
14,-2.145013332366944,-4.164494037628174,-3.4942736625671387,-6.573456764221191,-5.540266036987305,-6.429349422454834,,,,,,
13,-2.0155160427093506,-3.298129081726074,-4.892937183380127,-6.422593593597412,-7.90308952331543,-7.817625045776367,-0.5398222208023071,-1.1492489576339722,-2.5672528743743896,-9.274151802062988,-12.17617130279541,-13.046784400939941
11,-2.2964067459106445,-3.2963054180145264,-5.173492908477783,-5.085392475128174,-5.59589958190918,-5.554003715515137,-1.5361526012420654,-0.1897673904895782,-2.2798964977264404,-17.45991325378418,-17.04360580444336,-19.886459350585938
18,-3.02402138710022,-2.5363025665283203,-3.1723732948303223,-5.568923473358154,-6.9100871086120605,-7.546243190765381,-0.7639539241790771,-0.0946565121412277,-0.4156274795532226,-3.0821099281311035,-8.20849609375,-13.68478775024414
15,-2.2165918350219727,-1.934814095497132,-6.201150417327881,-7.062473773956299,-6.863816738128662,-7.026862144470215,,,,,,
9,-2.310898542404175,-3.7652766704559326,-3.295683622360229,-4.012718677520752,-6.348397254943848,-7.199258804321289,-0.7078028321266174,-2.134063720703125,-0.4533755779266357,-0.5507615208625793,-10.263020515441896,-10.94946002960205
16,-2.333272933959961,-3.790161609649658,-5.078458786010742,-6.152894496917725,-6.160582065582275,-6.081647872924805,-1.241471529006958,-0.3113570511341095,-0.0394112206995487,-0.5478849411010742,-24.11128616333008,-28.59799194335937
19,-2.146936178207397,-2.672350645065308,-2.6829583644866943,-5.612976551055908,-7.166882514953613,-7.192220211029053,-1.0103806257247925,-1.0961103439331057,-0.3497935533523559,-8.791200637817383,-12.370616912841797,-27.938703536987305
17,-2.1447865962982178,-2.010272026062012,-2.994403600692749,-3.0573513507843018,-3.909356355667114,-3.3240466117858887,-0.6124864816665649,-0.039784025400877,-2.197734832763672,-0.4823672473430633,-0.3988308012485504,-7.518551826477051
