,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo,agent0_246,agent1_246,agent2_246,agent3_246,agent4_246,agent5_246
0,-0.5719314813613892,-2.286396026611328,-4.193334102630615,-6.732326984405518,-7.3619704246521,-6.938732147216797,-0.7397264242172241,-0.1705041378736496,-0.1919479221105575,-29.673519134521484,-32.86288833618164,-33.44346237182617
2,-0.6602128148078918,-3.5176644325256348,-3.246678590774536,-6.74630880355835,-6.743861198425293,-6.345180511474609,-0.8798219561576843,-0.4218263626098633,-0.2981409728527069,-6.803268909454346,-7.160652160644531,-33.03521728515625
4,-0.5900883674621582,-2.109662771224976,-3.247297525405884,-5.693845272064209,-5.484645843505859,-6.839824199676514,-0.4388453960418701,-0.2867625951766968,-2.4321627616882324,-24.80490493774414,-32.8553352355957,-31.788265228271484
6,-0.5913503766059875,-3.537039279937744,-6.079406261444092,-6.0962324142456055,-6.583944797515869,-5.955704689025879,-1.4237523078918457,-0.1514095664024353,-5.17711067199707,-6.215715408325195,-10.67563247680664,-5.664355278015137
5,-0.6919457316398621,-2.2506749629974365,-2.7769720554351807,-5.012752532958984,-3.489368438720703,-5.376376628875732,-0.5329747796058655,-0.3356629908084869,-0.763983964920044,-0.8500477075576782,-0.1863376349210739,-7.6270623207092285
1,-0.6036033630371094,-2.6891398429870605,-1.9394662380218504,-3.958125352859497,-6.323549747467041,-5.972641468048096,-0.5387179851531982,-0.1186277940869331,-0.4540357589721679,-0.7422602772712708,-11.134705543518066,-24.561996459960938
3,-0.7147617936134338,-3.750101089477539,-6.481801986694336,-6.654294967651367,-7.3613080978393555,-7.108114242553711,-1.7591753005981443,-0.9332237839698792,-6.911250114440918,-32.736846923828125,-37.52472686767578,-34.86953353881836
7,-0.574135959148407,-1.9925284385681152,-6.791052341461182,-7.377438545227051,-5.754825592041016,-6.015341281890869,-1.0983240604400637,-0.1493490040302276,-8.32894229888916,-13.236960411071776,-10.844030380249023,-35.883827209472656
8,-1.1677764654159546,-1.946338653564453,-5.659666061401367,-7.888523578643799,-7.888523578643799,-7.367306232452393,-0.8893247246742249,-0.2647617757320404,-12.349871635437012,-14.317688941955566,-14.317688941955566,-13.45433235168457
10,-0.7186524271965027,-1.228813886642456,-2.0655503273010254,-6.407807350158691,-7.07370138168335,-7.17784595489502,-1.1770622730255127,-0.12199567258358,-0.2796520292758941,-7.971770286560059,-7.323955535888672,-12.983827590942383
12,-0.8697391748428345,-1.3127466440200806,-1.4872814416885376,-6.664949893951416,-7.881779193878174,-7.836112022399902,-1.203481674194336,-0.3321627080440521,-0.2753678262233734,-8.434556007385254,-26.62879943847656,-27.05725860595703
14,-1.4210619926452637,-3.042042732238769,-3.470639228820801,-7.333625793457031,-7.697988986968994,-7.213684558868408,,,,,,
13,-0.5196530818939209,-1.415713667869568,-2.9301109313964844,-2.555471897125244,-3.609814167022705,-3.300965547561645,-0.4192789196968078,-0.3971233367919922,-0.620811402797699,-0.3534350097179413,-0.209712266921997,-0.1707406044006347
11,-1.062264919281006,-2.270444393157959,-2.5880606174468994,-6.964356899261475,-7.075764656066895,-6.77077579498291,-0.7181087136268616,-0.2881813049316406,-0.8007134199142456,-8.132668495178223,-10.82895851135254,-8.427767753601074
18,-1.103926420211792,-1.620044231414795,-6.434390544891357,-7.988975524902344,-7.667253017425537,-7.816809177398682,-1.051846623420715,-0.1478946506977081,-9.188913345336914,-12.653346061706545,-11.540584564208984,-14.44541835784912
15,-0.7997304201126099,-2.0407960414886475,-2.391129732131958,-3.779117107391357,-4.289133071899414,-3.1471729278564453,,,,,,
9,-0.7072555422782898,-5.482851028442383,-7.47161340713501,-6.677998065948486,-7.17159366607666,-7.046993732452393,-1.0457364320755005,-11.59212589263916,-13.152743339538574,-10.859278678894045,-28.9366455078125,-30.014503479003903
16,-0.7365918755531311,-2.1492207050323486,-7.296252727508545,-7.452391624450684,-7.576079368591309,-7.620095252990723,-0.2007942497730255,-0.0464447326958179,-10.686017990112305,-12.183696746826172,-12.095282554626465,-13.380608558654783
19,-1.101123332977295,-4.688414096832275,-7.674075126647949,-6.984572410583496,-6.556369304656982,-6.948971748352051,-0.8882617950439453,-3.861811399459839,-35.36441421508789,-24.17348289489746,-24.57672119140625,-16.729684829711914
17,-0.608588457107544,-1.234572172164917,-6.735714435577393,-6.719147205352783,-6.239790916442871,-7.393535614013672,-0.4924109876155853,-0.2750566303730011,-9.61272430419922,-32.81535339355469,-26.428096771240234,-28.25010299682617
