,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee,agent0_420,agent1_420,agent2_420,agent3_420,agent4_420,agent5_420
0,-5.843148231506348,-5.198071479797363,-5.767275810241699,-5.3834309577941895,-5.5092620849609375,-4.693058490753174,-1.6196300983428955,-0.4949429631233215,-6.233436584472656,-0.4040856957435608,-1.780656337738037,-2.7645301818847656
8,-7.112006187438965,-5.621461868286133,-6.554849147796631,-7.193050861358643,-7.282224178314209,-7.084208965301514,-2.800750255584717,-0.5404645204544067,-17.768815994262695,-19.384695053100582,-19.101539611816406,-23.459976196289062
16,-4.577181339263916,-4.4628448486328125,-5.970137119293213,-6.133233070373535,-6.037345409393311,-6.322921752929688,-1.2831556797027588,-0.2171812206506729,-10.161191940307615,-21.597074508666992,-21.64127540588379,-21.581174850463867
2,-5.503921985626221,-5.395684719085693,-5.892358303070068,-6.896094799041748,-6.19313907623291,-7.756036281585693,-1.0821313858032229,-0.5877314209938049,-0.5514002442359924,-14.067771911621094,-9.841949462890623,-9.360889434814451
1,-6.190408229827881,-5.609739780426025,-6.976587295532227,-7.209699153900146,-6.896347522735596,-7.149239540100098,-2.4546048641204834,-0.4785123467445373,-11.241220474243164,-17.394325256347656,-12.39279556274414,-5.800527095794678
9,-6.071869850158691,-5.36820650100708,-5.1751909255981445,-6.144574165344238,-6.618823528289795,-6.522770404815674,-1.102393627166748,-0.2615820467472076,-0.2744101285934448,-6.654416084289551,-8.874299049377441,-10.935413360595703
17,-5.435186386108398,-4.513909339904785,-4.882961273193359,-4.903194904327393,-6.596100330352783,-7.120687007904053,-0.7874851226806641,-0.3639387786388397,-0.8031391501426697,-1.7483859062194824,-8.013047218322754,-9.086554527282717
3,-5.976973056793213,-3.77623987197876,-6.083242416381836,-6.552370071411133,-5.9906392097473145,-6.495906829833984,-1.4911943674087524,-0.0524036288261413,-1.431804895401001,-6.187313079833984,-30.604406356811523,-31.834800720214844
10,-5.654156684875488,-4.716191291809082,-6.576421737670898,-6.11912727355957,-6.842789173126221,-6.676733016967773,-1.0239925384521484,-0.1580751985311508,-1.9293060302734373,-5.134952545166016,-7.756824493408203,-12.40822982788086
11,-6.367422103881836,-5.535430431365967,-4.162104606628418,-7.0231146812438965,-7.0231146812438965,-6.863730430603027,-1.770946979522705,-0.8440064191818237,-0.3796876668930053,-18.538408279418945,-18.538408279418945,-17.17168426513672
18,-6.274667263031006,-5.350832939147949,-4.236342906951904,-4.636619567871094,-4.428914546966553,-6.772930145263672,-1.044543981552124,-0.727120578289032,-0.453428715467453,-0.5306059718132019,-0.3522546291351318,-5.33719539642334
19,-5.601806163787842,-5.051095008850098,-4.671070575714111,-5.712250709533691,-7.10087251663208,-6.996646881103516,-0.8893448114395142,-1.110246181488037,-0.7706895470619202,-15.149321556091309,-18.581817626953125,-20.073959350585938
5,-5.713696479797363,-5.482542037963867,-5.025825500488281,-5.019421100616455,-7.076057434082031,-7.248574733734131,-0.9236329793930054,-1.097353219985962,-0.259715586900711,-0.4246119856834411,-5.242520332336426,-30.47814178466797
4,-5.809020042419434,-4.013394832611084,-5.362319469451904,-6.191775798797607,-6.551330089569092,-6.7067413330078125,-1.2284488677978516,-0.2127767354249954,-0.8412165641784668,-2.8017706871032715,-7.739520072937012,-6.559780597686768
12,-4.931607723236084,-5.043256759643555,-5.926450729370117,-6.470925331115723,-6.278913021087647,-6.464600086212158,,,,,,
13,-5.578700542449951,-4.890832424163818,-5.5321784019470215,-6.269004821777344,-6.156613349914551,-6.541316509246826,-3.045644044876098,-0.2153797149658203,-3.885125160217285,-5.959686279296875,-8.272148132324219,-10.430591583251953
7,-5.902337551116943,-5.014878273010254,-6.029784679412842,-6.599021911621094,-7.019110202789307,-6.912550449371338,-1.277392029762268,-0.3954532146453857,-0.7388077974319458,-8.306086540222168,-7.980389595031738,-13.982030868530272
6,-5.215292453765869,-4.7661452293396,-5.629318237304688,-6.371598720550537,-5.536757469177246,-6.51910400390625,-1.151384353637695,-0.105836197733879,-3.800506114959717,-3.356123447418213,-2.7928171157836914,-10.505340576171877
15,-6.303581237792969,-5.84931230545044,-4.50766134262085,-6.549468517303467,-6.502907752990723,-6.732873916625977,,,,,,
14,-5.605710506439209,-4.958459854125977,-5.521744251251221,-5.429065227508545,-5.525256633758545,-6.510963439941406,,,,,,
