,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
0,-6.247889041900635,-7.654906272888184,-7.54564905166626,-7.879652500152588,-6.284809112548828,-6.936846733093262
1,-5.749072551727295,-7.042468070983887,-9.71585464477539,-8.290982246398926,-8.263809204101562,-9.150792121887209
2,-6.34027624130249,-6.112106323242188,-7.404106616973877,-6.354811191558838,-5.192680358886719,-7.424345970153809
4,-5.147582054138184,-9.712152481079102,-8.418375968933105,-8.413752555847168,-8.046290397644043,-8.225240707397461
3,-5.0678887367248535,-5.62448787689209,-7.051681518554688,-6.396869659423828,-6.518002510070801,-6.939047813415527
5,-4.693748950958252,-8.397252082824707,-7.369787216186523,-7.474740982055664,-7.539605140686035,-7.582928657531738
7,-4.97231912612915,-6.539545059204102,-7.02821159362793,-6.84363317489624,-6.784555435180664,-7.007400035858154
6,-5.5815205574035645,-6.865895748138428,-7.600795745849609,-6.2935872077941895,-6.470087051391602,-7.342215538024902
8,-5.568898677825928,-6.648576259613037,-4.704484939575195,-6.404712200164795,-6.066258430480957,-7.068617820739746
15,-5.692799091339111,-7.802670478820801,-6.796700477600098,-6.008923053741455,-6.49596643447876,-8.945369720458984
9,-5.564074993133545,-5.158451557159424,-6.971282958984375,-8.069073677062988,-7.682462215423584,-7.623514652252197
14,-5.227015972137451,-6.243024826049805,-7.243321895599365,-7.55645751953125,-8.735042572021484,-8.783526420593262
10,-4.982619285583496,-6.593475341796875,-7.398532867431641,-7.089593887329102,-6.852087020874023,-7.423863887786865
12,-4.964835643768311,-8.02629280090332,-6.84373140335083,-6.605060577392578,-6.579877853393555,-6.727437496185303
11,-4.745086669921875,-5.215233325958252,-5.273831367492676,-6.454784393310547,-6.291322708129883,-6.732275485992432
13,-5.950250625610352,-6.915755748748779,-8.286438941955566,-8.032135963439941,-7.95200777053833,-8.35944938659668
16,-5.212610721588135,-6.988987445831299,-6.471799373626709,-6.4748711585998535,-6.44298791885376,-6.709743499755859
17,-5.819684505462647,-7.7989373207092285,-9.76206874847412,-8.626872062683105,-7.955200672149658,-9.169416427612305
18,-5.822427272796631,-6.2922563552856445,-6.452253341674805,-6.613806247711182,-6.446093559265137,-6.942572116851807
19,-5.043460845947266,-5.370362758636475,-6.394686222076416,-6.972606658935547,-6.3576436042785645,-7.04793119430542
