,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin
1,-7.539608478546143,-7.68298864364624,-13.285880088806152,-12.22772979736328,-13.188919067382812,-12.160216331481934
3,-6.913393497467041,-8.962377548217773,-14.788471221923828,-14.163902282714844,-12.036236763000488,-11.054932594299316
8,-8.044544219970703,-13.18060302734375,-12.824264526367188,-11.991106033325195,-10.11911964416504,-12.049942016601562
2,-6.854642391204834,-10.26526165008545,-11.647249221801758,-12.100568771362305,-10.78493881225586,-10.836580276489258
14,-6.598925590515137,-9.106034278869627,-9.183164596557615,-12.296215057373049,-9.484868049621582,-11.21064567565918
12,-7.475692272186279,-8.0758056640625,-13.208691596984863,-11.382165908813477,-11.599578857421877,-11.433023452758787
21,-8.659098625183105,-10.18548583984375,-9.200249671936035,-10.997306823730469,-11.097406387329102,-11.427322387695312
23,-7.874693393707275,-8.84736442565918,-11.368825912475586,-10.32895565032959,-10.502891540527344,-9.914737701416016
9,-7.470472812652588,-11.077018737792969,-10.972591400146484,-11.232513427734377,-10.154241561889648,-11.454951286315918
11,-7.050873279571533,-11.86273193359375,-12.436386108398438,-13.145986557006836,-13.953998565673828,-13.449996948242188
10,-6.666553497314453,-7.344268321990967,-11.44715404510498,-10.304771423339844,-10.857921600341797,-11.405500411987305
0,-8.269637107849121,-14.045232772827148,-12.436112403869627,-10.819497108459473,-9.755115509033203,-10.954166412353516
17,-6.493767261505127,-8.227327346801758,-11.270259857177734,-12.33539867401123,-11.258016586303713,-12.596896171569824
18,-9.589953422546388,-13.691255569458008,-12.22519302368164,-11.129125595092772,-13.622880935668944,-12.403641700744627
19,-6.659404754638672,-9.498324394226074,-8.809526443481445,-10.275517463684082,-12.30495262145996,-11.909870147705078
16,-8.492813110351562,-9.110067367553713,-13.38869285583496,-12.825313568115234,-10.1244478225708,-11.993815422058104
4,-7.027000427246094,-10.36728572845459,-12.243792533874512,-11.292801856994627,-11.933564186096191,-12.616625785827637
20,-6.156108379364014,-6.884556770324707,-12.455164909362791,-11.62232494354248,-11.148397445678713,-12.592870712280272
5,-6.966737747192383,-6.955935001373291,-12.984081268310549,-11.421082496643066,-10.77729034423828,-10.718506813049316
13,-7.134050369262695,-8.339127540588379,-12.807008743286133,-12.494314193725586,-10.126492500305176,-12.091657638549805
6,-6.048614025115967,-7.041385173797607,-6.49394416809082,-9.024922370910645,-10.653393745422363,-12.90442943572998
