,agent0_giraffe,agent1_giraffe,agent2_giraffe,agent3_giraffe,agent4_giraffe,agent5_giraffe,agent0_797,agent1_797,agent2_797,agent3_797,agent4_797,agent5_797
0,-0.9704449772834778,-0.8499290943145752,-1.820204496383667,-3.5973567962646484,-4.159274578094482,-3.8518941402435294,-2.069398164749145,-0.2190962880849838,-0.1137584671378135,-2.2201759815216064,-5.381641864776611,-5.883827686309815
2,-1.1944366693496704,-1.038920283317566,-3.047036647796631,-4.084553718566895,-4.084553718566895,-3.9021363258361816,-0.4313085377216339,-0.2377196252346038,-7.522426605224609,-8.775062561035156,-8.775062561035156,-6.944571971893311
4,-1.084490418434143,-3.488167762756348,-3.527156352996826,-1.5499486923217771,-3.619065999984741,-4.311058521270752,-0.2084758132696151,-1.0028711557388306,-1.701956272125244,-0.0825557857751846,-10.542624473571776,-9.666629791259766
6,-0.955268621444702,-2.5432021617889404,-1.3265787363052368,-4.562427043914795,-4.464118480682373,-4.909337520599365,-0.0097256870940327,-0.1720272451639175,-2.298925399780273,-6.00697135925293,-7.977039813995361,-13.817598342895508
5,-1.1396065950393677,-1.035896897315979,-3.10886287689209,-3.570971965789795,-4.946233749389648,-4.433991432189941,-0.4047106206417084,-0.1485452651977539,-1.3950567245483398,-20.24273109436035,-25.10488510131836,-26.28635025024414
1,-1.2277368307113647,-1.4349461793899536,-1.164345145225525,-3.3224117755889893,-3.9554085731506334,-2.849778413772583,-0.3587073385715484,-0.1749666482210159,-0.1001361981034278,-4.582473278045654,-5.10383939743042,-8.694000244140625
3,-0.816065788269043,-2.584235429763794,-3.614590644836426,-3.5208632946014404,-3.618452787399292,-3.514843463897705,-0.0252066273242235,-1.852355599403381,-2.1020827293396,-2.915357828140259,-2.500263929367065,-4.300589084625244
7,-1.9440045356750488,-2.132373332977295,-3.644583225250244,-4.093456745147705,-4.023087978363037,-3.780856132507324,-1.2043126821517944,-1.6648801565170288,-6.439957141876221,-9.243769645690918,-9.42927360534668,-12.321818351745604
8,-1.487221121788025,-1.2820476293563845,-2.8553614616394043,-3.0254392623901367,-3.4235143661499023,-3.313217639923096,-1.8810803890228271,-4.305228233337402,-7.306374073028564,-10.994235038757324,-17.83386993408203,-19.91419792175293
10,-2.264784812927246,-3.2870123386383057,-1.433838963508606,-2.5655219554901123,-3.820832490921021,-4.543686389923096,-0.7526395320892334,-0.2155300229787826,-0.3993039131164551,-3.588024854660034,-3.602199077606201,-16.516637802124023
12,-2.4032561779022217,-1.8853331804275515,-1.5613150596618652,-4.9455084800720215,-2.697042226791382,-3.4918575286865234,,,,,,
14,-1.271240234375,-1.960942268371582,-1.4259929656982422,-4.972882270812988,-5.441884517669678,-4.2846293449401855,,,,,,
13,-0.9869062900543212,-1.5950363874435425,-0.8738042712211609,-3.6872763633728014,-5.034167289733887,-4.808248996734619,-0.5053157210350037,-0.2756714820861816,-1.2663930654525757,-8.646621704101562,-14.68509578704834,-29.687145233154297
11,-1.6634950637817385,-0.8532031178474426,-3.784281253814697,-4.4302754402160645,-4.4828386306762695,-3.968590021133423,-1.089990258216858,-0.1545404195785522,-24.311851501464844,-17.040992736816406,-24.04630279541016,-26.70732307434082
9,-0.9559068083763124,-0.5672232508659363,-2.7956576347351074,-1.9361389875411987,-2.1514832973480225,-4.698267459869385,-1.4870078563690186,-0.05878846347332,-7.156706809997559,-27.97256851196289,-28.16454696655273,-31.57773399353028
15,-0.8511297106742859,-2.57814884185791,-3.303141117095948,-3.184760808944702,-4.234198570251465,-3.7388157844543457,,,,,,
18,-1.876217246055603,-0.5603474974632263,-2.911825895309448,-3.761588096618652,-4.17141056060791,-3.681519746780396,-1.8428422212600708,-0.0806540846824646,-7.911573886871338,-4.580305576324463,-8.56164264678955,-12.660266876220703
16,-0.9233487248420716,-0.5167067050933838,-3.138496398925781,-3.5440194606781006,-5.236108303070068,-2.812177896499634,-0.2174418121576309,-0.0488722026348114,-3.501993656158448,-9.05500316619873,-28.607494354248047,-19.230335235595703
19,-1.568888545036316,-1.0176002979278564,-0.5095279216766357,-2.2065563201904297,-3.2129838466644287,-3.392350673675537,-0.8939458727836609,-0.0295271296054124,-0.1289077550172805,-0.406754195690155,-4.56823205947876,-24.807239532470703
17,-1.1816158294677734,-1.7494654655456543,-1.8891382217407229,-3.575309991836548,-4.2205071449279785,-3.649374485015869,-0.3551623523235321,-0.330657035112381,-0.375459223985672,-3.0604522228240967,-5.843137741088867,-7.136529922485352
