,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
0,-2.108205318450928,-6.723833560943604,-11.91125774383545,-11.91125774383545,-11.91125774383545,-12.910980224609377
1,-1.7594730854034424,-9.609427452087402,-11.187747955322266,-11.187747955322266,-11.15970230102539,-11.44523811340332
2,-2.5409579277038574,-10.7211332321167,-10.698882102966309,-10.674293518066406,-10.860968589782717,-11.690909385681152
4,-1.6635825634002686,-3.1879093647003174,-9.890909194946287,-9.8551664352417,-9.526966094970703,-10.039244651794434
3,-2.5133113861083984,-4.911770343780518,-10.57659912109375,-9.939375877380373,-10.836691856384276,-10.51498794555664
5,-3.71810793876648,-7.04698371887207,-11.385577201843262,-11.567344665527344,-10.951790809631348,-11.8023099899292
7,-2.518596172332764,-7.312483787536621,-11.955158233642578,-10.32803440093994,-10.514214515686035,-10.220059394836426
6,-3.819640874862671,-13.25550937652588,-11.568881034851074,-11.533470153808594,-10.515811920166016,-10.993139266967772
15,-1.6781684160232544,-4.416131019592285,-9.73854637145996,-10.498615264892578,-9.700450897216797,-11.116300582885742
8,-1.3163721561431885,-4.16732120513916,-10.679661750793455,-10.067561149597168,-6.585546493530273,-9.491847038269045
9,-2.06114149093628,-4.334448337554932,-11.82480239868164,-10.659040451049805,-10.18673610687256,-11.23633098602295
14,-1.383212924003601,-4.9839348793029785,-6.116130352020264,-12.795913696289062,-12.694672584533691,-14.103461265563965
10,-1.7680060863494873,-6.593950271606445,-8.325770378112793,-10.986380577087402,-9.823012351989746,-10.018255233764648
12,-1.9444561004638672,-5.201689720153809,-9.845940589904783,-9.99576473236084,-10.250500679016112,-12.040563583374023
11,-2.011818647384644,-12.17745590209961,-11.301810264587402,-11.471198081970217,-11.474595069885254,-11.114062309265137
13,-2.346202850341797,-3.960769414901733,-9.63880729675293,-10.10045337677002,-10.276422500610352,-10.418879508972168
16,-2.2837038040161133,-13.393444061279297,-13.817248344421388,-12.895777702331545,-12.925354957580566,-12.876057624816896
17,-1.8822156190872192,-5.8705339431762695,-7.002736568450928,-6.857358455657959,-11.409380912780762,-10.662753105163574
18,-2.3486313819885254,-4.366689682006836,-8.742927551269531,-11.757588386535645,-11.721521377563477,-12.149020195007324
19,-2.53690242767334,-10.397357940673828,-12.234696388244627,-12.177194595336914,-12.326062202453612,-10.951483726501465
