,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo
0,-6.465259075164795,-8.460428237915039,-12.282183647155762,-12.282183647155762,-12.282183647155762,-14.079583168029783
1,-6.282390594482422,-12.255525588989258,-12.512184143066406,-11.909589767456056,-10.160840034484863,-12.257447242736816
2,-5.115491390228272,-6.818466663360596,-11.26595401763916,-10.365861892700195,-10.64819049835205,-11.503429412841797
4,-6.94030237197876,-12.914684295654297,-12.551994323730469,-12.849966049194336,-12.146650314331056,-12.67060661315918
3,-6.143487453460693,-6.260251522064209,-8.768532752990723,-10.96920680999756,-11.41208267211914,-12.758135795593262
5,-6.142849922180176,-6.276801586151123,-12.067554473876951,-12.70600128173828,-12.77095890045166,-12.940655708312988
7,-6.930703639984131,-8.61600399017334,-10.319201469421388,-11.601840019226074,-11.889708518981934,-12.731968879699709
6,-5.856677532196045,-6.104570865631104,-10.410455703735352,-12.490769386291504,-11.217451095581056,-12.874302864074709
8,-5.570416450500488,-12.29211139678955,-12.625758171081545,-12.872163772583008,-12.629539489746094,-12.341533660888672
15,-6.533400535583496,-12.256086349487305,-13.213727951049805,-11.73285961151123,-12.084813117980955,-12.902713775634766
9,-5.372241020202637,-9.152670860290527,-8.772610664367676,-11.32673168182373,-11.97916030883789,-10.812539100646973
14,-5.1057963371276855,-6.80415678024292,-12.656362533569336,-11.84429931640625,-12.423576354980469,-12.787358283996582
10,-5.557902812957764,-6.0985107421875,-11.7516450881958,-10.96218204498291,-11.37536907196045,-11.658011436462402
12,-6.040406227111816,-11.862801551818848,-12.37253189086914,-12.557732582092283,-12.234180450439451,-13.157259941101074
11,-5.015959739685059,-11.00739574432373,-12.008638381958008,-12.008638381958008,-12.120420455932615,-13.117806434631348
13,-6.112832546234131,-7.383910179138184,-11.727989196777344,-10.87393856048584,-11.5069580078125,-12.239798545837402
16,-6.290102005004883,-8.568268775939941,-11.810585021972656,-11.619141578674316,-11.728550910949709,-12.138511657714844
17,-5.700667858123779,-10.044178009033203,-12.325716018676758,-12.528148651123049,-10.784632682800291,-12.42269229888916
18,-6.39562463760376,-7.216960430145264,-7.281130313873291,-10.167929649353027,-11.71608066558838,-11.089308738708496
19,-6.512946605682373,-7.51932954788208,-11.350613594055176,-11.264985084533691,-11.025826454162598,-12.818978309631348
