,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
1,-9.485055923461914,-10.081628799438477,-8.573968887329102,-8.807374000549316,-8.443513870239258,-8.60189151763916
3,-9.242728233337402,-9.567669868469238,-9.574942588806152,-9.603252410888672,-9.58286190032959,-9.252827644348145
8,-10.533451080322266,-9.11706829071045,-8.518386840820312,-8.674945831298828,-9.142471313476562,-9.161062240600586
2,-10.736390113830566,-10.089210510253906,-9.218389511108398,-8.43320369720459,-9.199138641357422,-8.844889640808105
14,-8.43625259399414,-9.42255973815918,-9.004317283630371,-8.276542663574219,-8.422924041748047,-8.303749084472656
12,-8.020989418029785,-8.177559852600098,-8.962898254394531,-8.969017028808594,-8.670665740966797,-8.882850646972656
21,-11.144498825073242,-10.236696243286133,-8.341252326965332,-8.553980827331543,-8.06226634979248,-7.921247959136963
23,-10.640297889709473,-10.258066177368164,-9.188966751098633,-9.019225120544434,-8.572881698608398,-8.657649993896484
9,-9.21652603149414,-8.849360466003418,-8.758866310119629,-8.568001747131348,-8.09798526763916,-8.388859748840332
0,-7.230562686920166,-6.980505466461182,-7.177800178527832,-8.036908149719238,-8.509452819824219,-7.900267601013184
10,-9.746490478515623,-8.021862030029297,-8.583209037780762,-9.475567817687988,-8.754767417907715,-8.56979751586914
17,-10.725701332092283,-11.57731819152832,-9.131402015686035,-8.864477157592773,-8.40776538848877,-8.92226505279541
11,-9.125216484069824,-9.80432415008545,-7.855060577392578,-8.137775421142578,-6.982165336608887,-7.031224250793457
18,-8.940424919128418,-9.495586395263672,-8.59833812713623,-8.08362865447998,-7.505798816680908,-8.013845443725586
19,-10.68250846862793,-10.29753875732422,-11.3395357131958,-10.788463592529297,-8.211658477783203,-8.292938232421875
16,-9.293228149414062,-8.07386589050293,-7.356306552886963,-7.435901165008545,-7.101356506347656,-7.000164031982422
4,-9.44916820526123,-8.76362419128418,-8.831317901611328,-8.333663940429688,-8.335994720458984,-8.952447891235352
20,-10.37113094329834,-8.86998176574707,-8.030280113220215,-8.079744338989258,-7.558518409729004,-7.5482892990112305
5,-10.382655143737791,-11.191096305847168,-8.882827758789062,-9.389982223510742,-9.543560981750488,-8.9513521194458
13,-8.187848091125488,-8.64127254486084,-9.233197212219238,-8.804710388183594,-9.470623016357422,-9.665517807006836
6,-8.451238632202148,-8.34998893737793,-8.570256233215332,-8.096574783325195,-8.155709266662598,-8.031341552734375
