,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala,agent0_366,agent1_366,agent2_366,agent3_366,agent4_366,agent5_366
0,-2.418890476226806,-3.98115587234497,-3.2527616024017334,-4.91276216506958,-7.04835844039917,-7.898830413818359,-0.3749698102474212,-0.0140689807012677,-0.0129392547532916,-0.8862540125846863,-10.056159973144531,-19.457225799560547
2,-2.5886781215667725,-3.920411348342896,-7.180170059204102,-5.931588172912598,-6.789241790771484,-6.894187450408936,-0.2330785244703292,-0.3453231751918793,-6.747474193572998,-27.009906768798828,-32.62993240356445,-33.07034683227539
4,-2.4896352291107178,-1.79242205619812,-2.6019506454467773,-5.940340995788574,-6.954258918762207,-7.004183292388916,-0.2396716624498367,-0.0249074697494506,-0.2666349411010742,-1.672116994857788,-17.36715316772461,-17.930788040161133
6,-2.9535934925079346,-5.294586658477783,-5.415747165679932,-6.46577262878418,-6.280796527862549,-7.072361946105957,-0.0049914512783288,-3.3404412269592285,-3.1502015590667725,-0.5232917070388794,-19.58443832397461,-28.764453887939453
5,-2.4522697925567627,-5.149311542510986,-8.624832153320312,-8.14587688446045,-7.392169952392578,-6.047015190124512,-0.2374049425125122,-1.884081482887268,-6.145786285400391,-10.56857967376709,-12.357211112976074,-5.29673433303833
1,-2.6193277835845947,-3.877365112304688,-5.348052024841309,-5.515044212341309,-7.941530704498291,-7.41848087310791,-0.1765945106744766,-0.3793840408325195,-2.1899609565734863,-1.0446401834487915,-9.687143325805664,-7.083652019500732
3,-2.4720914363861084,-5.789089202880859,-5.723958969116211,-8.187203407287598,-8.904033660888672,-9.191642761230469,-0.0085410065948963,-0.0671815648674964,-0.1871256083250045,-4.467140197753906,-10.11211395263672,-7.777700424194336
7,-2.560814380645752,-4.413421630859375,-4.540162563323975,-7.577322483062744,-7.773094654083252,-8.133018493652344,-0.2504347860813141,-0.2042997479438781,-0.060536902397871,-13.015632629394531,-27.72859001159668,-30.094158172607425
8,-3.687145709991455,-4.790830135345459,-4.329425811767578,-6.551391124725342,-8.36569881439209,-7.484868049621582,-0.470707356929779,-0.6357941031455994,-15.856270790100098,-15.770475387573242,-23.99483108520508,-18.008563995361328
10,-2.67482328414917,-4.140497207641602,-6.651096820831299,-7.179187297821045,-8.611456871032715,-7.789718627929687,-0.5210840106010437,-0.019453952088952,-4.284499645233154,-10.961928367614746,-13.295650482177734,-13.710558891296388
12,-2.7026164531707764,-4.60361909866333,-3.5041682720184326,-4.398913860321045,-6.029540061950684,-4.433733940124512,,,,,,
14,-2.7584662437438965,-4.418875694274902,-4.978192329406738,-4.958571910858154,-4.276046276092529,-4.889686107635498,,,,,,
13,-3.073485851287842,-5.044431686401367,-8.867158889770508,-8.277170181274414,-8.04017448425293,-5.782625198364258,-0.1015780493617057,-0.1459804624319076,-8.288296699523926,-3.621178150177002,-3.0477213859558105,-3.045121431350708
11,-2.15478777885437,-4.177799701690674,-4.997522830963135,-6.0839619636535645,-7.305395126342773,-7.229347229003906,-1.5529128313064575,-0.0516339689493179,-2.348271608352661,-14.566155433654783,-28.67793273925781,-28.33314514160156
18,-3.362810134887696,-5.537539958953857,-5.9260125160217285,-5.09333086013794,-6.029677867889404,-5.423662185668945,,,,,,
15,-2.986481189727783,-3.618718385696411,-4.799087524414063,-7.312126636505127,-6.354395866394043,-6.006138324737549,,,,,,
9,-2.1456148624420166,-2.6360678672790527,-7.269958972930908,-6.378177642822266,-7.701203346252441,-7.822090148925781,-1.108733296394348,-0.2450980097055435,-3.9908230304718018,-15.442339897155762,-18.780004501342773,-17.45291519165039
16,-2.5003371238708496,-4.431867599487305,-7.091875553131104,-7.331544876098633,-8.62295913696289,-7.80787181854248,,,,,,
19,-3.131722211837769,-4.048716068267822,-5.907421112060547,-7.33591365814209,-8.158951759338379,-7.928451061248779,-0.6719323992729187,-0.0825703293085098,-0.0990381315350532,-16.081960678100586,-28.465272903442383,-29.14640045166016
17,-2.3438949584960938,-4.0963640213012695,-6.4411396980285645,-8.15044116973877,-8.15044116973877,-7.714744567871094,-0.1144563928246498,-0.0285956617444753,-10.691417694091797,-20.861248016357425,-20.861248016357425,-22.407899856567383
