,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
0,-3.865396022796631,-5.64581298828125,-4.279417991638184,-6.440151214599609,-8.042374610900879,-7.898830413818359
1,-2.9415671825408936,-4.576404094696045,-6.237967014312744,-5.457296371459961,-8.531508445739746,-7.41848087310791
2,-2.799478769302368,-3.5454561710357666,-7.152484893798828,-7.062925338745117,-7.713951110839844,-6.894187450408936
3,-2.9366209506988525,-7.165652751922607,-6.7990264892578125,-8.694403648376465,-9.399370193481444,-9.191642761230469
5,-2.714878559112549,-5.784310340881348,-8.372267723083496,-8.236164093017578,-7.966224670410156,-6.047015190124512
7,-3.257327079772949,-5.036827087402344,-4.801300525665283,-8.21364974975586,-8.540239334106445,-8.133018493652344
6,-2.3755719661712646,-4.931907653808594,-6.323300838470459,-5.651768207550049,-6.777334213256836,-7.072361946105957
8,-3.7289764881134033,-5.428412914276123,-5.017908573150635,-8.354313850402832,-9.050562858581545,-7.484868049621582
9,-2.4854395389556885,-4.45799732208252,-7.279927253723144,-7.370839595794678,-7.839198589324951,-7.822090148925781
10,-3.2041828632354736,-4.528439998626709,-7.6627092361450195,-8.46138858795166,-9.075404167175291,-7.789718627929687
11,-2.250347375869751,-5.26597261428833,-5.389163017272949,-6.532067775726318,-7.271843433380127,-7.229347229003906
13,-3.540808916091919,-5.21171236038208,-7.969785690307617,-7.838423252105713,-6.233368396759033,-5.782625198364258
12,-2.221321821212769,-4.2489094734191895,-3.4586257934570312,-4.325156211853027,-5.323369026184082,-4.433733940124512
14,-3.1323163509368896,-4.153852939605713,-4.422719955444336,-5.008696556091309,-4.475893497467041,-4.889686107635498
23,-3.450662136077881,-6.498252868652344,-7.426599979400635,-7.193458557128906,-7.917191505432129,-7.542858600616455
16,-3.1463851928710938,-5.118851661682129,-7.626027584075928,-7.932600498199463,-8.444801330566406,-7.80787181854248
17,-2.9207539558410645,-4.129841327667236,-7.652278900146484,-8.198460578918457,-8.168514251708984,-7.714744567871094
18,-2.592026948928833,-4.310507297515869,-6.430068492889404,-5.364190578460693,-6.571469783782959,-5.423662185668945
19,-3.223026990890503,-4.999372005462647,-6.622482776641846,-8.329756736755371,-8.894508361816406,-7.928451061248779
4,-2.2026069164276123,-2.436936855316162,-3.223773717880249,-6.16205644607544,-7.089173793792725,-7.004183292388916
22,-2.195420742034912,-4.963653564453125,-6.351237773895264,-7.1007232666015625,-6.32670783996582,-5.871907711029053
21,-2.772803544998169,-3.2912962436676025,-6.544774532318115,-6.54885721206665,-5.814280986785889,-6.164992332458496
15,-2.7067229747772217,-3.5619592666625977,-6.073009967803955,-6.681700706481934,-6.944478988647461,-6.006138324737549
20,-3.138049364089966,-4.266215324401856,-3.491883516311645,-7.400529384613037,-7.823246955871582,-6.203847885131836
