,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee,agent0_66,agent1_66,agent2_66,agent3_66,agent4_66,agent5_66
0,-4.537639617919922,-6.000987529754639,-6.648444175720215,-6.811330318450928,-6.811330318450928,-7.074195384979248,-0.6479582786560059,-0.4866187870502472,-9.939702987670898,-13.087088584899902,-13.087088584899902,-16.44635581970215
8,-4.549262523651123,-6.352728366851807,-5.8034868240356445,-6.315161228179932,-6.138123989105225,-6.571308612823486,-3.994043350219727,-0.1924340724945068,-0.940381407737732,-0.4597058296203613,-0.5083701610565186,-0.6192983388900757
16,-4.788917064666748,-5.239777565002441,-5.954934120178223,-7.020116806030273,-6.62753438949585,-6.938122749328613,-0.2946740686893463,-0.0989767685532569,-6.006678104400635,-13.650141716003418,-25.874286651611328,-27.26816177368164
2,-4.154850006103516,-5.614225387573242,-6.966641902923584,-6.942312717437744,-6.926817417144775,-6.652071952819824,-0.0510308966040611,-0.2473434060811996,-14.233264923095703,-15.27481746673584,-14.411048889160156,-17.76096534729004
1,-3.823004484176636,-7.065225601196289,-6.735567569732666,-6.8117265701293945,-6.8117265701293945,-7.098150730133057,-0.0593207217752933,-11.988848686218262,-15.836624145507812,-16.21038055419922,-16.21038055419922,-16.52396011352539
9,-4.738401889801025,-6.693272113800049,-5.16933536529541,-6.106968879699707,-5.939393997192383,-6.412327766418457,-1.3879258632659912,-0.8129110336303711,-2.230719566345215,-10.638776779174805,-11.009648323059082,-32.104122161865234
17,-4.410878658294678,-6.593786716461182,-6.264680862426758,-6.0455641746521,-5.851431369781494,-6.806021690368652,-0.0096252327784895,-0.2097969800233841,-0.1909589022397995,-0.0857332870364189,-0.0454964004456996,-26.643047332763672
3,-4.351072788238525,-5.754281997680664,-5.471349239349365,-6.447783946990967,-6.060861110687256,-6.320991516113281,-0.0055305329151451,-0.2727730274200439,-0.0086422469466924,-7.094379901885986,-1.159246563911438,-16.383399963378906
10,-4.436586380004883,-6.435661792755127,-6.693746566772461,-7.140935897827148,-6.8718132972717285,-6.846214294433594,-0.3555222749710083,-0.1889757513999939,-0.1300337016582489,-0.4420352280139923,-1.6096909046173096,-11.943370819091797
11,-4.756755828857422,-5.891658782958984,-6.421846866607666,-7.026757717132568,-6.610773086547852,-6.854800701141357,-1.1760432720184326,-0.707126259803772,-0.1417584717273712,-8.615544319152832,-13.463191986083984,-14.410395622253418
18,-4.333268642425537,-6.475803375244141,-6.603388786315918,-6.285124778747559,-6.359252452850342,-6.740741729736328,-0.0882406011223793,-0.1792550086975097,-0.3967397809028625,-3.235682487487793,-9.057662010192873,-24.148658752441406
19,-4.256736278533936,-6.209376811981201,-5.34438419342041,-6.685362815856934,-6.582322120666504,-6.95825719833374,-1.29938006401062,-0.0200388357043266,-0.2001254856586456,-4.194998741149902,-2.3556573390960693,-18.912595748901367
5,-6.609766960144043,-6.045500755310059,-6.629531383514404,-5.937414646148682,-5.959042072296143,-6.253836154937744,-3.4955341815948486,-0.0823165029287338,-0.1827512383460998,-5.493045806884766,-15.127917289733888,-18.52158164978028
4,-4.557697772979736,-5.624695777893066,-5.7951531410217285,-6.8403096199035645,-7.40007209777832,-7.574038505554199,-0.0157650858163833,-0.0994719862937927,-0.2711904346942901,-8.673401832580566,-16.94376564025879,-20.509296417236328
12,-5.324402332305908,-6.514362812042236,-7.662992477416992,-6.031380653381348,-5.767662048339844,-5.932076454162598,,,,,,
13,-4.564492702484131,-5.6944580078125,-5.9201765060424805,-5.847011089324951,-5.674096584320068,-5.352083206176758,-0.0186033695936203,-0.1478613913059234,-6.220226764678955,-9.911653518676758,-13.812806129455566,-15.156904220581055
7,-4.767210483551025,-6.477345943450928,-6.414222240447998,-6.271194934844971,-5.482874393463135,-5.9470086097717285,-0.6568691730499268,-0.046563271433115,-0.4846040308475494,-2.390728235244751,-14.795540809631348,-17.16494369506836
6,-4.565699100494385,-6.326877117156982,-5.6912102699279785,-6.771292686462402,-6.5424628257751465,-7.337872505187988,-1.3270500898361206,-0.1771237701177597,-0.0158232972025871,-1.5640469789505005,-0.4664083123207092,-18.66842269897461
15,-4.289813041687012,-4.7582621574401855,-5.1741557121276855,-6.083395481109619,-6.084192752838135,-6.778555870056152,,,,,,
14,-5.103026390075684,-6.736380100250244,-6.315123081207275,-6.324881553649902,-6.666906356811523,-7.210995197296143,,,,,,
