,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion,agent0_577,agent1_577,agent2_577,agent3_577,agent4_577,agent5_577
0,-3.5240657329559326,-6.3457536697387695,-5.565328598022461,-5.079195976257324,-7.683831214904785,-7.861701488494873,-0.2467546164989471,-0.1711551547050476,-5.626592636108398,-0.0382170900702476,-7.464931488037109,-13.107011795043944
2,-3.597287654876709,-6.975775718688965,-8.25126838684082,-8.300228118896484,-7.77280330657959,-7.527321815490723,-0.3817454874515533,-0.1493097841739654,-0.0443802066147327,-7.782880306243896,-31.42983627319336,-37.24895477294922
4,-3.8989956378936768,-5.489828109741211,-5.537447452545166,-7.075037002563477,-8.019940376281738,-7.650091648101807,-0.1043978333473205,-0.0442112386226654,-0.2735625207424164,-9.953936576843262,-15.084551811218262,-12.51511573791504
6,-3.9439868927001953,-6.633678913116455,-6.658916473388672,-6.761361122131348,-6.54984188079834,-7.766629695892334,-0.0408319123089313,-10.067704200744627,-1.152938961982727,-3.916744947433472,-2.5879359245300293,-4.248544692993164
5,-4.339658260345459,-8.09493350982666,-7.146401882171631,-7.563407897949219,-7.824496269226074,-7.331605434417725,-1.3119633197784424,-6.952658653259277,-0.9431385397911072,-4.339405059814453,-13.024961471557615,-6.534182071685791
1,-4.170082092285156,-5.901182174682617,-6.5763702392578125,-6.539981365203857,-6.390954971313477,-7.19010066986084,-0.4859568178653717,-0.5596082210540771,-6.615888595581055,-9.818893432617188,-25.545223236083984,-24.54576873779297
3,-3.5927999019622803,-7.419560432434082,-7.623703479766846,-7.253937721252441,-7.452709674835205,-7.650267124176025,-0.0114033827558159,-0.1247943043708801,-0.4826076924800873,-12.196727752685549,-15.763673782348633,-16.70564842224121
7,-4.21593713760376,-6.814287662506104,-6.035079956054688,-6.059526443481445,-5.562685489654541,-5.705685615539551,-0.9235668778419496,-0.2880801558494568,-0.498264342546463,-1.658263087272644,-1.407707691192627,-33.45109176635742
8,-3.742201328277588,-7.717589855194092,-8.052003860473633,-8.4509859085083,-8.324918746948242,-8.807183265686035,-2.0263795852661133,-0.3060254752635956,-13.562434196472168,-15.199548721313477,-11.241162300109863,-12.937844276428224
10,-3.552088975906372,-7.361377716064453,-7.754646301269531,-8.034004211425781,-6.65527868270874,-7.926025390625,-0.5729646682739258,-0.0478042364120483,-0.469226062297821,-5.887380123138428,-8.726104736328125,-18.205331802368164
12,-4.635194778442383,-6.638448715209961,-7.421046257019043,-6.754079818725586,-7.498827457427978,-7.962753295898437,-2.015812397003174,-0.3116607069969177,-0.0367632061243057,-7.928919792175293,-15.004945755004885,-35.64909362792969
14,-4.124649524688721,-7.577914237976074,-6.561020374298096,-8.049988746643066,-8.193796157836914,-7.913393974304199,-1.8553681373596191,-2.612711429595948,-0.1599292010068893,-14.006454467773438,-13.608160972595217,-14.331900596618652
13,-3.8586926460266113,-4.690319061279297,-6.988100051879883,-8.133520126342773,-8.133520126342773,-7.599139213562012,-0.0549223646521568,-0.1304955780506134,-8.532590866088867,-11.694416999816896,-11.694416999816896,-14.504240036010742
11,-4.473204135894775,-6.679274559020996,-7.020057201385498,-7.645086288452148,-5.829815864562988,-6.777592182159424,-2.412307024002075,-0.1267309635877609,-0.4600025117397308,-9.948092460632324,-10.91477870941162,-7.006515979766846
18,-5.067203998565674,-7.536964893341064,-7.887648582458496,-8.320143699645996,-8.320143699645996,-8.141523361206055,-1.4468421936035156,-4.804533958435059,-15.122344970703123,-15.61318016052246,-15.61318016052246,-16.952831268310547
15,-3.798021078109741,-6.474899768829346,-7.07056188583374,-8.057458877563477,-7.818134307861328,-8.32186222076416,,,,,,
9,-4.054708957672119,-7.23740291595459,-8.717470169067383,-8.457597732543945,-8.300655364990234,-8.544814109802246,-0.1204209104180336,-1.494035243988037,-13.25476360321045,-17.617399215698242,-14.582002639770508,-17.44610595703125
16,-4.966989994049072,-6.425201892852783,-7.452076911926269,-6.949443340301514,-8.187713623046875,-8.330265045166016,-0.6743413209915161,-0.1630036979913711,-8.722528457641602,-15.248204231262209,-12.805340766906738,-13.839373588562012
19,-4.213055610656738,-6.218406677246094,-7.944065093994141,-7.667934417724609,-7.336531162261963,-8.491969108581543,-0.3949325978755951,-1.057178020477295,-3.7170581817626953,-1.368919849395752,-10.636401176452637,-15.467490196228027
17,-3.930240392684937,-7.197386741638184,-7.857388496398926,-6.516672134399414,-7.575655937194824,-7.762835502624512,-0.0207613166421651,-0.4737560451030731,-11.82480239868164,-30.41742706298828,-30.98954963684082,-35.51789093017578
