,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda,agent0_469,agent1_469,agent2_469,agent3_469,agent4_469,agent5_469
0,-3.906855583190918,-4.068576335906982,-6.066645622253418,-4.798609733581543,-4.396920680999756,-6.001357555389404,-2.0285873413085938,-0.2146484851837158,-1.4283026456832886,-0.1829751431941986,-0.32944056391716,-5.73227596282959
2,-3.5763208866119385,-4.980446815490723,-6.63887882232666,-6.911470413208008,-6.911470413208008,-6.991770267486572,-0.4987109005451202,-0.2833527326583862,-13.15790557861328,-11.47605323791504,-11.47605323791504,-16.552995681762695
3,-3.2030277252197266,-4.479150295257568,-6.873507022857666,-7.046792030334473,-7.041454315185547,-7.39901876449585,-0.0105223627761006,-0.8272520899772644,-12.61924648284912,-13.2288179397583,-13.325900077819824,-19.41779899597168
5,-3.6527504920959473,-6.048334121704102,-5.531211853027344,-6.832960605621338,-6.721733570098877,-6.770124912261963,-0.2784585952758789,-4.139632225036621,-0.1387823969125747,-8.170705795288086,-12.27450942993164,-14.162301063537598
8,-3.9011361598968506,-4.523750305175781,-6.208399295806885,-6.509616851806641,-6.747439384460449,-7.163980484008789,-1.262067437171936,-1.4722734689712524,-21.102426528930664,-24.67855453491211,-26.80029487609864,-29.457075119018555
16,-3.607421398162842,-4.83755350112915,-4.243782043457031,-5.13679313659668,-4.937229156494141,-5.568496227264404,-0.4094651639461517,-0.3348897099494934,-0.1998417526483535,-2.472350597381592,-1.6865390539169312,-6.044053554534912
1,-3.9774928092956543,-6.098345756530762,-6.733219623565674,-6.067288875579834,-6.15077018737793,-6.237481594085693,-1.538054585456848,-11.714224815368652,-11.557286262512209,-11.606194496154783,-8.72693157196045,-11.14449977874756
10,-4.10801887512207,-4.392090320587158,-6.335628509521484,-5.407387733459473,-5.941628456115723,-4.919934272766113,-1.0021569728851318,-0.1734274476766586,-3.464051961898804,-5.598165988922119,-4.553836345672607,-13.168872833251953
9,-3.634665727615357,-5.38922119140625,-5.146839141845703,-5.248284339904785,-5.897226333618164,-5.485800743103027,-1.2511346340179443,-5.805785655975342,-17.729143142700195,-29.13664054870605,-30.84597587585449,-35.74613571166992
17,-3.494271755218506,-4.772988319396973,-4.890560626983643,-4.665143013000488,-5.185550212860107,-6.80106258392334,-0.5518853664398193,-0.3900575339794159,-0.1007435172796249,-0.0866056233644485,-0.6305422782897949,-19.96647834777832
11,-3.941394805908203,-5.341357707977295,-6.061107158660889,-4.810976982116699,-8.349020004272461,-8.157629013061523,-1.0494216680526731,-0.0902668833732605,-0.0540203191339969,-0.1957225948572158,-0.1873308420181274,-7.5344038009643555
18,-3.332077980041504,-4.14039945602417,-5.061171054840088,-5.448468208312988,-4.548525810241699,-5.482761383056641,-0.1479268819093704,-0.5328805446624756,-0.148883506655693,-0.5283371806144714,-0.1058235391974449,-0.3416708409786224
19,-4.008609294891357,-3.681704044342041,-4.52077054977417,-3.5221683979034424,-4.831718921661377,-4.398270606994629,-1.056624412536621,-0.6878769397735596,-5.219956874847412,-0.5566903352737427,-4.997308254241943,-21.75130844116211
4,-3.817915439605713,-6.212955951690674,-7.388386726379394,-7.388386726379394,-7.274573802947998,-6.539492130279541,-2.3203790187835693,-13.531108856201172,-12.33932876586914,-12.33932876586914,-12.836625099182127,-13.866449356079102
12,-3.685764789581299,-5.824268341064453,-4.444637298583984,-4.934639930725098,-4.505838871002197,-3.480304002761841,-1.357776403427124,-0.987035036087036,-1.483028531074524,-0.9522894620895386,-3.0914766788482666,-2.4141781330108643
7,-3.827315807342529,-4.199935436248779,-4.259467124938965,-6.415188789367676,-6.221357822418213,-6.119388103485107,-1.50259268283844,-0.2728183567523956,-0.8681542277336121,-13.053248405456545,-11.930270195007324,-20.640331268310547
13,-4.069089889526367,-4.779947280883789,-5.8117547035217285,-6.121094703674316,-6.213127136230469,-6.715427398681641,-0.7122737169265747,-0.2362893968820572,-12.143669128417969,-36.45071029663086,-33.67827224731445,-37.27372360229492
6,-3.8051037788391113,-5.2848429679870605,-6.66821813583374,-6.485735893249512,-6.435046672821045,-6.875738620758057,-2.8004150390625,-0.7045392990112305,-15.474143981933594,-15.440791130065918,-11.964579582214355,-17.38520050048828
14,-3.990405559539795,-4.47820520401001,-4.949854373931885,-6.032423973083496,-6.354056358337402,-6.5784101486206055,-1.718585968017578,-0.8484197854995728,-3.425214529037476,-15.716164588928224,-16.466569900512695,-15.31356430053711
15,-3.13372802734375,-5.236181259155273,-6.267911911010742,-6.973076820373535,-7.240633010864258,-6.389800071716309,,,,,,
