,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda
0,-2.0234375,-8.90625,-8.3046875,-8.296875,-9.34375,-10.3359375
1,-2.6875,-9.5390625,-8.078125,-7.2109375,-6.453125,-7.14453125
2,-2.66796875,-9.2421875,-9.1796875,-9.625,-9.6953125,-8.90625
3,-4.125,-10.0078125,-9.8203125,-10.359375,-9.875,-8.78125
4,-3.638671875,-9.0078125,-10.4921875,-9.1796875,-9.6171875,-10.2109375
5,-1.5419921875,-7.8828125,-6.9765625,-6.91796875,-7.02734375,-8.65625
6,-2.8984375,-8.8515625,-7.65625,-9.0859375,-8.8515625,-9.3671875
7,-3.44921875,-8.4375,-7.63671875,-7.953125,-7.671875,-8.6640625
8,-2.529296875,-8.3828125,-6.80859375,-8.09375,-7.7109375,-9.5234375
9,-2.1015625,-8.9609375,-9.7734375,-8.25,-9.1875,-10.734375
10,-2.603515625,-9.9140625,-8.2265625,-9.4140625,-7.7890625,-7.22265625
11,-2.41015625,-7.94140625,-6.2109375,-6.42578125,-6.40625,-6.30078125
12,-4.43359375,-9.7109375,-9.4296875,-9.703125,-9.046875,-11.3984375
13,-3.400390625,-7.87109375,-7.2421875,-8.734375,-7.60546875,-8.9296875
14,-2.267578125,-6.046875,-7.55078125,-6.6640625,-7.37109375,-8.2734375
15,-7.0234375,-9.671875,-9.359375,-9.7265625,-8.1875,-9.421875
16,-3.1328125,-9.4296875,-8.0390625,-8.8671875,-8.3515625,-9.1640625
17,-1.93359375,-7.80078125,-7.3359375,-8.15625,-6.98828125,-8.9609375
18,-2.76171875,-8.046875,-9.3203125,-10.4609375,-9.71875,-9.53125
19,-2.41015625,-9.328125,-8.5078125,-9.015625,-8.3671875,-8.984375
