,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala,agent0_469,agent1_469,agent2_469,agent3_469,agent4_469,agent5_469
0,-2.718824625015259,-3.7050371170043945,-6.25150728225708,-6.284292221069336,-6.0452656745910645,-6.315302848815918,-2.0285873413085938,-0.2146484851837158,-1.4283026456832886,-0.1829751431941986,-0.32944056391716,-5.73227596282959
2,-2.6519062519073486,-3.9198594093322754,-6.465844631195068,-7.425073146820068,-7.425073146820068,-7.103804588317871,-0.4987109005451202,-0.2833527326583862,-13.15790557861328,-11.47605323791504,-11.47605323791504,-16.552995681762695
4,-2.450193405151367,-6.6622161865234375,-8.667378425598145,-8.667378425598145,-8.54432487487793,-7.54659366607666,-2.3203790187835693,-13.531108856201172,-12.33932876586914,-12.33932876586914,-12.836625099182127,-13.866449356079102
6,-2.892955780029297,-3.64297080039978,-7.131877422332764,-6.663712978363037,-6.7732648849487305,-7.452180862426758,-2.8004150390625,-0.7045392990112305,-15.474143981933594,-15.440791130065918,-11.964579582214355,-17.38520050048828
5,-2.650944709777832,-4.959319114685059,-5.098623752593994,-6.216958045959473,-6.714357376098633,-6.596951007843018,-0.2784585952758789,-4.139632225036621,-0.1387823969125747,-8.170705795288086,-12.27450942993164,-14.162301063537598
1,-2.7747602462768555,-6.113040447235107,-7.269704341888428,-6.943018913269043,-6.256632328033447,-6.866107940673828,-1.538054585456848,-11.714224815368652,-11.557286262512209,-11.606194496154783,-8.72693157196045,-11.14449977874756
3,-2.633749961853028,-3.390373945236206,-7.027937412261963,-7.530375003814697,-7.502246856689453,-7.496325492858887,-0.0105223627761006,-0.8272520899772644,-12.61924648284912,-13.2288179397583,-13.325900077819824,-19.41779899597168
7,-2.776517391204834,-3.243609666824341,-2.6691436767578125,-6.722349166870117,-7.384000778198242,-6.629220962524414,-1.50259268283844,-0.2728183567523956,-0.8681542277336121,-13.053248405456545,-11.930270195007324,-20.640331268310547
8,-2.472904920578003,-3.4742884635925293,-6.550602436065674,-7.3826904296875,-7.3023858070373535,-7.913861274719238,-1.262067437171936,-1.4722734689712524,-21.102426528930664,-24.67855453491211,-26.80029487609864,-29.457075119018555
10,-2.850390672683716,-3.0348763465881348,-7.463104724884033,-6.476349353790283,-8.5506591796875,-7.03855562210083,-1.0021569728851318,-0.1734274476766586,-3.464051961898804,-5.598165988922119,-4.553836345672607,-13.168872833251951
12,-2.154004573822021,-6.0055694580078125,-4.179581165313721,-5.13105583190918,-5.076816082000732,-2.946666717529297,,,,,,
14,-2.352360248565674,-3.657403945922852,-4.78479528427124,-6.601282119750977,-7.559549331665039,-8.236023902893066,,,,,,
13,-2.4031896591186523,-3.134878158569336,-7.068238735198975,-8.008244514465332,-7.677577495574951,-9.383995056152344,-0.7122737169265747,-0.2362893968820572,-12.143669128417969,-36.45071029663086,-33.67827224731445,-37.27372360229492
11,-2.8102962970733643,-4.01659631729126,-4.686531066894531,-4.716447353363037,-5.482696533203125,-4.288734436035156,-1.0494216680526731,-0.0902668833732605,-0.0540203191339969,-0.1957225948572158,-0.1873308420181274,-7.5344038009643555
18,-2.6034059524536133,-3.532350778579712,-3.503343105316162,-3.5270910263061523,-2.925402879714966,-3.735199451446533,,,,,,
15,-2.6469295024871826,-5.015196323394775,-6.176539421081543,-7.715311527252197,-8.153274536132812,-7.723600387573242,,,,,,
9,-2.593867778778076,-6.609734535217285,-5.773863315582275,-5.484180927276611,-6.150980472564697,-6.20880937576294,-1.2511346340179443,-5.805785655975342,-17.729143142700195,-29.13664054870605,-30.84597587585449,-35.74613571166992
16,-2.6018662452697754,-3.6038694381713854,-2.537775754928589,-5.308939456939697,-4.761842727661133,-4.946049690246582,,,,,,
19,-2.646850347518921,-3.212209701538086,-5.3250908851623535,-5.0680670738220215,-4.226726531982422,-4.826504230499268,-1.056624412536621,-0.6878769397735596,-5.219956874847412,-0.5566903352737427,-4.997308254241943,-21.75130844116211
17,-2.446983814239502,-3.406303644180298,-4.172665596008301,-4.428333282470703,-5.039530754089356,-7.0754570960998535,-0.5518853664398193,-0.3900575339794159,-0.1007435172796249,-0.0866056233644485,-0.6305422782897949,-19.96647834777832
