,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
0,0.1510416666666666,0.015625,0.0,0.0,0.0,0.0
1,0.109375,0.0,0.0,0.0,0.0,0.0
2,0.1927083333333333,0.0260416666666666,0.0,0.0,0.0,0.0
3,0.0989583333333333,0.0104166666666666,0.0,0.0,0.0,0.0
4,0.1302083333333333,0.0,0.0,0.0,0.0,0.0
5,0.15625,0.0364583333333333,0.0052083333333333,0.0,0.0,0.0
6,0.03125,0.015625,0.0,0.0,0.0,0.0
7,0.125,0.0677083333333333,0.03125,0.0,0.0,0.0
8,0.1547619047619047,0.0119047619047619,0.0,0.0,0.0,0.0
9,0.0416666666666666,0.0059523809523809,0.0,0.0,0.0,0.0
10,0.238095238095238,0.0178571428571428,0.0,0.0,0.0,0.0
11,0.125,0.0357142857142857,0.0357142857142857,0.0119047619047619,0.0119047619047619,0.0357142857142857
12,0.1309523809523809,0.0178571428571428,0.0119047619047619,0.0,0.0,0.0059523809523809
13,0.3035714285714285,0.0595238095238095,0.0,0.0,0.0,0.0
14,0.3095238095238095,0.0178571428571428,0.0119047619047619,0.0,0.0,0.0
15,0.1130952380952381,0.0,0.0,0.0,0.0,0.0
16,0.1369047619047619,0.0,0.0238095238095238,0.0,0.0,0.0
17,0.1845238095238095,0.0416666666666666,0.0357142857142857,0.0178571428571428,0.0059523809523809,0.0
18,0.119047619047619,0.0357142857142857,0.0357142857142857,0.0535714285714285,0.0476190476190476,0.0297619047619047
19,0.119047619047619,0.0119047619047619,0.0,0.0119047619047619,0.0,0.0
