,agent0_dolphin,agent1_dolphin,agent2_dolphin,agent3_dolphin,agent4_dolphin,agent5_dolphin,agent0_528,agent1_528,agent2_528,agent3_528,agent4_528,agent5_528
0,-0.1027764081954956,-0.0221432652324438,-0.0326734967529773,-0.1056866645812988,-0.0672152936458587,-0.092934250831604,-1.2628343105316162,-0.2659276127815246,-0.2019348442554474,-0.861833930015564,-2.326472282409668,-8.7715482711792
2,-0.0622674077749252,-0.058463729918003,-0.0149460285902023,-0.0668533220887184,-0.0658922865986824,-0.0756732299923896,-0.4126371741294861,-1.8565365076065063,-0.9217391610145568,-2.8212478160858154,-5.104222774505615,-9.771679878234863
4,-0.0458280965685844,-0.1749303936958313,-0.4843322038650512,-0.3397607207298279,-0.4233994483947754,-0.8425041437149048,-1.549476146697998,-0.8054219484329224,-0.3640407621860504,-1.967074632644653,-0.2691184878349304,-0.2923909425735473
6,-0.0635824650526046,-0.1296281218528747,-0.2182119786739349,-0.2575536668300628,-0.3411251008510589,-0.2562728226184845,-2.235196113586426,-2.628889799118042,-1.7219820022583008,-0.1115296632051467,-5.722659111022949,-24.2199764251709
5,-0.093853160738945,-0.1447071284055709,-0.1081920713186264,-0.1747383326292038,-0.2425239235162735,-0.2261374145746231,-0.3884974122047424,-2.63359808921814,-2.251666784286499,-9.556309700012209,-12.164048194885254,-14.955048561096191
1,-0.0449791811406612,-0.0717667564749717,-0.0627064034342765,-0.2494505196809768,-0.347641259431839,-0.1875076442956924,-0.5454862713813782,-1.985027432441712,-0.2559555172920227,-2.381897687911988,-0.3100378513336181,-16.22645378112793
3,-0.0741834044456482,-0.1327722072601318,-0.127173826098442,-0.1292796730995178,-0.1557217538356781,-0.1460089385509491,-0.1012574955821037,-0.153912752866745,-1.231350660324097,-9.46926212310791,-7.195933818817139,-14.036749839782717
7,-0.1063745692372322,-0.1385350823402404,-0.3057012856006622,-0.4796618819236755,-0.3226541578769684,-0.5307185053825378,-1.1527857780456543,-0.5405356884002686,-0.9898011684417723,-6.798579692840576,-3.2414326667785645,-15.984264373779297
8,-0.1224097162485122,-0.3706864714622497,-0.3607476949691772,-0.3179689645767212,-0.3361658155918121,-0.2786036729812622,-0.4028332829475403,-2.6191840171813965,-7.943054676055908,-13.564108848571776,-13.097796440124512,-14.397879600524902
10,-0.1814880818128585,-0.2281274050474167,-0.2142319232225418,-0.1715819835662841,-0.0510587655007839,-0.0646045058965683,-1.5186798572540283,-0.2789649665355682,-0.1525231003761291,-0.269822895526886,-10.86392593383789,-7.654574871063232
12,-0.0598688013851642,-0.2875913381576538,-1.7970616817474363,-2.923614740371704,-1.7347609996795654,-2.110679864883423,-1.756783127784729,-0.4237688481807709,-8.112664222717285,-21.269317626953125,-25.85081672668457,-24.81976127624512
14,-0.1051311567425727,-0.0460633225739002,-0.0660682767629623,-0.0431545153260231,-0.0939665660262107,-0.0960540100932121,-1.7069391012191772,-1.1276084184646606,-1.173055648803711,-14.301728248596191,-15.537161827087402,-17.449710845947266
13,-0.1525092124938964,-0.13456991314888,-0.0709567964076995,-0.0403622575104236,-0.04030317440629,-0.0420096069574356,-0.633478045463562,-0.0815019309520721,-5.69599199295044,-2.140407085418701,-10.324399948120115,-16.79639434814453
11,-0.077143520116806,-0.0600781850516796,-0.0533052086830139,-0.0634410604834556,-0.0634410604834556,-0.0857919156551361,-1.166510820388794,-13.773499488830566,-8.843591690063477,-8.838979721069336,-8.838979721069336,-11.999177932739258
9,-0.0821568965911865,-0.1882332563400268,-0.1009825319051742,-0.1055802628397941,-0.0999241024255752,-0.1545094400644302,-0.2559360265731811,-2.2474470138549805,-3.714444875717163,-11.794604301452637,-9.130440711975098,-10.68173122406006
15,-0.0865503773093223,-0.1297694891691208,-0.4637646079063415,-1.0812736749649048,-0.1691092550754547,-0.2219887524843216,-0.1051253601908683,-0.8083959817886353,-1.190186619758606,-0.4461779296398163,-14.103532791137695,-19.574018478393555
18,-0.1017914786934852,-0.4911956787109375,-0.3648176491260528,-0.4157140851020813,-0.4157140851020813,-0.5649339556694031,-1.5124512910842896,-0.025201765820384,-9.557555198669434,-13.598380088806152,-13.598380088806152,-14.134520530700684
16,-0.0706708207726478,-0.313808798789978,-0.0566952899098396,-0.0761666968464851,-0.0381185300648212,-0.0579668506979942,-0.8790466785430908,-0.3801965713500976,-0.0994585081934928,-0.7753775119781494,-5.443541526794434,-12.624619483947754
19,-0.108651578426361,-0.1018849313259124,-0.0745529159903526,-0.0486417189240455,-0.03957961499691,-0.0423688031733036,-0.8135834336280823,-1.8593453168869016,-11.598358154296877,-9.5191068649292,-7.406472206115723,-9.565587043762209
17,-0.084491953253746,-0.1451628357172012,-0.0784025862812995,-0.0891163423657417,-0.0891163423657417,-0.0930455848574638,-0.713188886642456,-0.3227329850196838,-10.122577667236328,-10.676233291625977,-10.676233291625977,-11.961881637573242
