,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo,agent0_22,agent1_22,agent2_22,agent3_22,agent4_22,agent5_22
0,-1.221838116645813,-1.2817813158035278,-2.327486038208008,-7.080155849456787,-6.365675926208496,-7.693845748901367,-0.8729724884033203,-0.2385069727897644,-0.047943640500307,-2.9546122550964355,-9.065811157226562,-9.628212928771973
2,-0.9918712377548218,-1.7336831092834473,-4.952691078186035,-7.404916763305664,-7.569450378417969,-6.628683090209961,-0.1170781403779983,-0.0314793102443218,-0.0896934643387794,-1.1748241186141968,-9.394647598266602,-5.021437644958496
4,-1.017998456954956,-2.159438371658325,-2.471952438354492,-4.0355753898620605,-6.990524291992188,-7.058811187744141,-0.0262034013867378,-1.4259192943572998,-0.1764243692159652,-10.168157577514648,-18.595046997070312,-21.685028076171875
6,-1.5002692937850952,-2.08693265914917,-2.657869815826416,-6.704699993133545,-10.316099166870115,-6.797970294952393,-2.1468756198883057,-0.1936136335134506,-1.1967705488204956,-7.4017510414123535,-19.640300750732425,-15.433273315429688
5,-1.1362700462341309,-4.993407726287842,-4.6385111808776855,-6.400612831115723,-7.24146032333374,-6.768930912017822,-0.0541076026856899,-1.1275839805603027,-1.0912679433822632,-7.835222244262695,-9.93129539489746,-7.757082462310791
1,-1.170296549797058,-2.8260087966918945,-3.931807518005371,-5.672013282775879,-8.157925605773926,-7.619857311248779,-0.1073841825127601,-0.0913547277450561,-0.2726002633571625,-0.4295251369476318,-6.54867696762085,-15.370579719543455
3,-1.1393074989318848,-1.5634145736694336,-2.8517158031463623,-7.111388206481934,-7.53945255279541,-8.184049606323242,-0.0216229911893606,-0.1331113278865814,-0.0621937960386276,-1.9241305589675903,-7.71460485458374,-11.213663101196287
7,-1.354122519493103,-2.7101058959960938,-1.871117115020752,-3.468104839324951,-9.028730392456056,-8.613387107849121,-1.443272352218628,-0.0933314859867096,-0.0007452765712514,-0.0221702586859464,-9.039289474487305,-13.142053604125977
8,-1.4527747631072998,-1.7345038652420044,-2.67686414718628,-2.4917562007904053,-5.694695949554443,-6.313409328460693,-3.693941354751587,-0.1072104200720787,-0.2010305374860763,-0.3364461660385132,-0.1312779188156128,-5.096394062042236
10,-1.024833917617798,-1.7709306478500366,-4.3390045166015625,-7.206265926361084,-7.506592750549316,-7.7451491355896,-0.6882598400115967,-0.7994287014007568,-0.1010075211524963,-18.418746948242188,-22.063241958618164,-21.71016502380371
12,-1.3200076818466189,-2.5142338275909424,-3.5377914905548096,-5.138047218322754,-7.012622356414795,-7.236527442932129,-1.9708980321884155,-11.351083755493164,-0.1275972723960876,-0.1657020002603531,-4.951016902923584,-9.849303245544434
14,-1.2287620306015017,-2.4554803371429443,-5.163880348205566,-5.397715091705322,-7.017802238464356,-6.630688667297363,,,,,,
13,-1.131638765335083,-2.2269880771636963,-4.813229084014893,-8.653621673583984,-9.3552885055542,-7.630350589752197,-0.5100890398025513,-0.0662220567464828,-0.541229784488678,-12.82856273651123,-9.801983833312988,-21.410419464111328
11,-1.4216068983078003,-2.4713377952575684,-4.964127063751221,-6.925635814666748,-5.007239818572998,-7.076970100402832,-0.8509408235549927,-0.1549556255340576,-0.2542486786842346,-4.114237785339356,-0.9760739803314208,-8.742631912231445
18,-1.177767276763916,-6.246500492095947,-7.036669731140137,-8.06045913696289,-8.168914794921875,-8.66502571105957,-0.7504332065582275,-6.073525428771973,-2.817736864089966,-11.821354866027832,-11.518620491027832,-13.89321517944336
15,-0.9096623659133912,-2.0934767723083496,-4.861122131347656,-7.322361946105957,-8.283714294433594,-8.11208724975586,,,,,,
9,-1.328092336654663,-3.213307857513428,-6.11150598526001,-8.10896110534668,-8.090195655822754,-8.266005516052246,-0.9974476099014282,-0.1435398608446121,-4.601932525634766,-9.257040023803713,-8.786856651306152,-11.667129516601562
16,-1.2788766622543335,-3.98041296005249,-3.9945828914642334,-6.207598686218262,-7.672375679016113,-7.034754276275635,-0.1991078555583953,-0.2289234101772308,-0.1348601281642913,-0.0421523414552211,-4.54076099395752,-9.548377990722656
19,-0.9430038928985596,-1.0291606187820437,-6.945602416992188,-7.479342460632324,-7.598147869110107,-7.707092761993408,-1.5407702922821045,-0.1689507514238357,-1.9104994535446167,-10.282203674316406,-17.28240203857422,-11.635159492492676
17,-0.9716548919677734,-3.7937536239624015,-6.689456939697266,-7.952687740325928,-7.554879188537598,-7.379167556762695,-0.0158103853464126,-0.4104058742523193,-9.33869457244873,-13.75361156463623,-18.92231750488281,-18.4666805267334
