,0,1,2
0,8.216284078284154,8.748260201079937,9.301709798016123
1,7.908450329454639,7.39275684598126,9.355330315119105
2,8.028278430504136,8.469505635997917,9.355238796185844
3,7.938761486584627,9.034179530566252,9.375554060634178
4,8.192230857173099,8.040783428240426,9.020520005045055
5,8.080843850630748,8.92962154436715,9.17828450263301
6,8.132738668707352,8.806153589562525,9.036787136898765
7,7.886707762223255,8.201279613639734,9.394238430940652
8,8.040309710442266,9.16494562414628,8.137018763868115
9,8.172845813896082,8.808426407922672,9.171402542500555
10,7.994173424153388,8.259715048874481,9.031121275696574
11,8.200125604943384,8.946309915373597,8.544563660440566
12,7.922257080560998,7.694596780704547,8.710262583479096
13,7.842974626565281,8.696550765218614,8.969278724284111
14,8.18049212347103,8.669229987904995,9.078915004488788
15,7.991648780243306,8.289133810695214,8.40058153128322
16,8.1624501264548,8.339015386074404,8.15112419611291
17,7.906496202493016,8.571182400667215,8.87136591899244
18,8.173255722432197,8.963120388079293,9.244826022280922
19,8.234441076351118,9.203835434249685,9.01376835062534
