,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala,agent0_676,agent1_676,agent2_676,agent3_676,agent4_676,agent5_676
0,-1.8604995012283323,-3.7598562240600586,-4.726057052612305,-4.504186630249023,-4.723793029785156,-6.349029541015625,-1.8941302299499512,-0.2865330874919891,-0.0630181655287742,-0.5583869218826294,-0.3780774176120758,-1.1688485145568848
2,-1.689588189125061,-2.045229911804199,-4.369633197784424,-7.480125427246094,-7.328236103057861,-6.86624002456665,-0.4543667137622833,-0.2321037203073501,-0.1769487112760543,-11.127235412597656,-9.441261291503906,-12.422819137573242
4,-1.822768926620484,-4.27958345413208,-5.35835075378418,-4.829883098602295,-7.225220680236816,-6.396783351898193,-0.803666353225708,-0.2709254920482635,-2.590919256210327,-7.521183490753174,-13.15497875213623,-14.109017372131348
6,-1.7274879217147827,-4.773910045623779,-7.53485631942749,-9.284421920776367,-8.151388168334961,-7.483060836791992,-3.24671483039856,-2.171804189682007,-29.78311920166016,-35.39701461791992,-35.68854522705078,-33.0889778137207
5,-1.6918383836746216,-2.8841447830200195,-5.206631183624268,-6.165573596954346,-5.630559921264648,-6.681132793426514,-0.3825614750385284,-0.4670980274677276,-0.1281139254570007,-0.915669560432434,-5.138233184814453,-11.850628852844238
1,-1.5906777381896973,-2.7412688732147217,-4.069416046142578,-6.535803318023682,-6.117191791534424,-7.883116722106934,-0.763130784034729,-0.5689830183982849,-1.7254682779312134,-29.05819129943848,-28.857006072998047,-32.92123031616211
3,-1.7568968534469604,-4.625394821166992,-9.789230346679688,-9.67576789855957,-9.336271286010742,-9.806893348693848,-1.273488998413086,-0.4889078438282013,-17.10048484802246,-32.4087028503418,-32.777557373046875,-33.1945915222168
7,-2.111898422241211,-2.464352607727051,-6.225234508514404,-6.812655448913574,-5.58461332321167,-6.5981316566467285,-1.152015209197998,-0.2232393026351928,-8.786787033081055,-3.141300201416016,-3.584383010864258,-5.195937633514404
8,-2.148169755935669,-4.221951484680176,-2.994468927383423,-4.027233123779297,-6.829270839691162,-7.51202392578125,-2.178905725479126,-0.2303276807069778,-0.1485397964715957,-0.113315001130104,-9.386297225952148,-13.907861709594728
10,-2.0604259967803955,-3.4083807468414307,-2.8967318534851074,-5.7519636154174805,-6.56341552734375,-7.477717876434326,-2.4025754928588867,-0.2206200510263443,-0.0243036448955535,-0.1859558671712875,-7.857194423675537,-31.23490524291992
12,-1.6416362524032593,-1.7798110246658323,-7.0757670402526855,-6.82488489151001,-7.334148406982422,-8.619629859924316,,,,,,
14,-1.4972453117370603,-2.562641859054565,-4.689578056335449,-4.785940170288086,-6.992796897888184,-6.632508277893066,,,,,,
13,-1.6412581205368042,-2.98579740524292,-4.414791584014893,-3.551053285598755,-5.5336198806762695,-5.4453535079956055,-0.4922731518745422,-0.1395208984613418,-0.0254044141620397,-0.0904549062252044,-5.060549259185791,-12.760477066040039
11,-1.8230326175689693,-3.3812527656555176,-4.706490993499756,-6.135159969329834,-3.6205451488494873,-4.838945865631104,-0.701021671295166,-0.0749585479497909,-2.656769275665283,-1.5202003717422483,-0.1270052939653396,-2.570551872253418
18,-1.590538501739502,-3.3614184856414795,-6.080169677734375,-5.408721923828125,-7.154919624328613,-7.123765468597412,-1.5934275388717651,-0.1076210588216781,-1.7083545923233032,-1.617074489593506,-9.486106872558594,-16.885379791259766
15,-1.4526917934417725,-1.9277364015579224,-5.780996799468994,-6.654342174530029,-7.81865119934082,-8.032852172851562,,,,,,
9,-1.6543022394180298,-4.496628284454346,-2.9218316078186035,-6.08079719543457,-7.740151405334473,-6.844155311584473,-1.0899295806884766,-0.7064192295074463,-0.5869650840759277,-8.985472679138184,-12.265524864196776,-13.614974975585938
16,-1.4811075925827026,-3.088982582092285,-2.817507743835449,-7.817579746246338,-5.731738090515137,-7.094742298126221,-0.9892131090164183,-0.481554239988327,-0.2519128024578094,-7.1767258644104,-9.579107284545898,-13.899447441101074
19,-1.8155392408370967,-4.556784152984619,-3.710905313491821,-6.50975513458252,-7.803076267242432,-7.909252643585205,-1.4265177249908447,-0.109992004930973,-0.3070372939109802,-10.534955024719238,-12.943696975708008,-14.995829582214355
17,-1.8977781534194944,-4.7062578201293945,-6.974586486816406,-8.397639274597168,-9.260411262512209,-8.743348121643066,-1.0134180784225464,-0.1607104390859604,-1.7718225717544556,-15.8419828414917,-40.21066665649414,-39.78984451293945
