,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda,agent0_98,agent1_98,agent2_98,agent3_98,agent4_98,agent5_98
0,-4.839147567749023,-3.425011157989502,-5.914758682250977,-6.2075700759887695,-6.411904811859131,-5.873263835906982,-0.3933377265930176,-0.2617762982845306,-0.3194822967052459,-7.997303962707519,-12.117782592773438,-27.73013687133789
2,-4.561264991760254,-5.929850101470947,-6.548159599304199,-6.854360103607178,-7.081846237182617,-7.0524983406066895,-0.1972592324018478,-0.2267568409442901,-7.065499782562256,-9.844527244567873,-11.837355613708496,-11.5977201461792
3,-5.0339837074279785,-5.143696308135986,-7.073122024536133,-7.075652599334717,-7.535679817199707,-7.413180351257324,-0.0040321177802979,-0.1821555346250534,-0.4062831699848175,-16.63139533996582,-24.5494384765625,-24.676557540893555
5,-4.873045444488525,-3.7347257137298575,-4.465437412261963,-4.81782865524292,-6.429317951202393,-6.556243896484375,-2.246267795562744,-0.1937212496995926,-0.01241987477988,-0.4011504054069519,-11.311555862426758,-30.99517250061035
8,-4.6305012702941895,-4.299309253692627,-4.594528675079346,-6.495494365692139,-6.56146240234375,-7.154283046722412,-1.0674210786819458,-0.100640594959259,-0.5114150047302246,-7.413727760314941,-7.284406661987305,-19.85649681091309
16,-4.858191013336182,-3.59313440322876,-4.780951499938965,-3.6870157718658447,-4.100590705871582,-6.303505897521973,-0.1553092896938324,-0.3018757998943329,-1.3968123197555542,-0.2773554623126983,-0.0333566032350063,-3.054922342300415
1,-4.4981842041015625,-3.5013277530670166,-5.3427734375,-5.951199054718018,-6.840195178985596,-6.226682662963867,-0.052152544260025,-0.5624887347221375,-8.196611404418945,-22.861785888671875,-24.64300537109375,-25.57117080688477
10,-4.567010879516602,-3.9473843574523926,-6.261137008666992,-6.03896427154541,-6.165887832641602,-6.535641670227051,-1.0388033390045166,-0.3232291638851166,-3.2903223037719727,-8.095646858215332,-10.724849700927734,-9.486963272094727
9,-4.946842193603516,-5.883606910705566,-4.630667686462402,-5.139557361602783,-4.999938011169434,-5.746550559997559,-1.2180156707763672,-0.0010888631222769,-13.014594078063965,-16.690834045410156,-19.458221435546875,-22.81601333618164
17,-5.458937168121338,-4.740711212158203,-5.131561279296875,-5.881026268005371,-5.918017387390137,-5.042272567749023,-0.0041850144043564,-0.1845734119415283,-0.0566445812582969,-2.295759677886963,-5.133054733276367,-5.411837100982666
11,-4.408051490783691,-5.186918258666992,-4.559905052185059,-5.210056781768799,-4.698715686798096,-6.428535461425781,-0.8901885151863098,-0.1149188056588172,-0.1650864332914352,-1.1563714742660522,-0.8648999929428101,-25.255748748779297
18,-4.748169422149658,-4.234608173370361,-6.01777982711792,-6.64707088470459,-6.64707088470459,-5.748493671417236,-0.1263518035411834,-0.0615116693079471,-5.528015613555908,-11.557539939880373,-11.557539939880373,-12.25917148590088
19,-4.634407043457031,-4.426932334899902,-6.366511344909668,-6.590591430664063,-6.212828159332275,-6.353808879852295,-0.7713658213615417,-0.0519425459206104,-0.0124949617311358,-1.351528882980347,-2.842000961303711,-7.081309795379639
4,-4.919259071350098,-3.1020874977111816,-4.630255699157715,-4.09397554397583,-4.020974636077881,-4.746596336364746,-1.2652889490127563,-1.005428671836853,-0.0776193290948867,-0.132553145289421,-0.3284502327442169,-0.0562293492257595
12,-4.3387322425842285,-6.199869155883789,-4.671830177307129,-5.640771389007568,-7.6525139808654785,-7.635451793670654,-0.841044545173645,-0.5421561598777771,-3.981159925460816,-7.092295169830322,-12.65725803375244,-20.04983139038086
7,-4.7463908195495605,-4.502823352813721,-6.069649696350098,-6.020632266998291,-5.955429553985596,-6.721568584442139,-1.1095417737960815,-0.0062351967208087,-0.1817023158073425,-25.52949905395508,-23.18697166442871,-26.954910278320312
13,-5.087522506713867,-6.331180572509766,-7.367763042449951,-6.24167537689209,-6.734628677368164,-7.352060794830322,-0.1986528784036636,-7.019463062286377,-11.355615615844728,-13.038856506347656,-13.212957382202148,-16.138158798217773
6,-4.939517974853516,-5.574322700500488,-4.117974758148193,-4.187104225158691,-4.707907199859619,-7.542569637298584,-1.147918701171875,-8.532597541809082,-0.2215824574232101,-0.5265544652938843,-10.725071907043455,-19.21012306213379
14,-4.21343994140625,-4.62393856048584,-5.977541446685791,-6.880507946014404,-7.4564337730407715,-7.171537399291992,-0.6122352480888367,-0.1211234033107757,-0.0924805402755737,-9.512264251708984,-8.193621635437012,-11.456311225891112
15,-4.9973225593566895,-3.754006147384644,-4.939762592315674,-6.599545955657959,-7.2533793449401855,-7.190377235412598,-0.01142895873636,-0.2751076817512512,-8.132951736450195,-10.25766372680664,-17.259761810302734,-27.681262969970703
