,agent0_giraffe,agent1_giraffe,agent2_giraffe,agent3_giraffe,agent4_giraffe,agent5_giraffe
0,-4.54296875,-10.46875,-10.796875,-9.484375,-10.4921875,-11.0078125
1,-5.51953125,-10.0625,-8.625,-8.140625,-7.80859375,-9.6328125
2,-5.046875,-10.4453125,-9.0,-11.234375,-9.5703125,-9.953125
3,-4.69921875,-9.84375,-10.6328125,-12.09375,-9.6484375,-10.296875
4,-5.4375,-11.4296875,-11.3203125,-9.640625,-10.9921875,-10.4921875
5,-4.5078125,-9.8515625,-9.7578125,-10.796875,-10.796875,-11.90625
6,-4.66015625,-10.0625,-10.2578125,-11.375,-9.203125,-11.4921875
7,-4.89453125,-9.8828125,-9.265625,-9.125,-8.75,-9.3984375
8,-5.07421875,-10.546875,-8.84375,-7.8984375,-7.8984375,-10.5546875
9,-4.41015625,-10.6953125,-9.3515625,-8.78125,-8.953125,-9.59375
10,-4.68359375,-9.1640625,-8.9140625,-8.6640625,-8.859375,-11.46875
11,-4.40234375,-9.84375,-8.3515625,-8.859375,-8.6328125,-9.5703125
12,-5.4453125,-8.5234375,-8.6484375,-8.546875,-8.546875,-10.2890625
13,-4.6484375,-10.1484375,-9.375,-9.65625,-9.4765625,-10.7734375
14,-4.6640625,-7.97265625,-8.1484375,-8.1484375,-8.1484375,-9.9453125
15,-5.234375,-10.046875,-9.6015625,-8.703125,-8.875,-10.53125
16,-4.7421875,-10.3046875,-9.3203125,-10.1640625,-7.73828125,-9.359375
17,-4.33203125,-10.203125,-8.8359375,-8.8671875,-9.7421875,-9.9609375
18,-4.9296875,-10.015625,-10.8671875,-10.671875,-11.125,-9.9453125
19,-5.34375,-9.9609375,-9.1953125,-11.0234375,-10.8671875,-11.765625
