,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant,agent0_813,agent1_813,agent2_813,agent3_813,agent4_813,agent5_813
0,-1.044588565826416,-1.7833079099655151,-3.5193796157836914,-3.089351177215576,-3.056732654571533,-3.28237533569336,-0.2799681723117828,-2.887420177459717,-25.8741455078125,-29.569530487060547,-29.430965423583984,-26.989158630371094
2,-1.3116300106048584,-0.7153325080871582,-1.0389975309371948,-1.5705652236938477,-2.545630693435669,-3.1172854900360107,-0.3430568277835846,-0.0936744287610054,-0.3322687745094299,-11.763102531433104,-37.3408088684082,-35.22443771362305
4,-1.403935432434082,-1.659738302230835,-1.5650893449783323,-1.8650569915771484,-2.7789905071258545,-1.1921321153640747,-1.0474824905395508,-0.9045909643173218,-1.22923743724823,-0.1018319949507713,-0.1312375366687774,-1.0506290197372437
6,-1.0288782119750977,-1.1980583667755127,-2.048600196838379,-1.6025073528289795,-1.5876572132110596,-1.7845526933670044,-1.8043965101242063,-0.3181903958320617,-0.069079503417015,-8.705622673034668,-8.27312183380127,-22.865596771240234
5,-1.91275954246521,-1.015738844871521,-0.8887597322463989,-2.776427984237671,-2.4249815940856934,-2.176645040512085,-0.2992143630981445,-0.1360005140304565,-0.034872643649578,-9.111169815063477,-11.667206764221191,-16.09870147705078
1,-1.497077703475952,-1.473747491836548,-1.5578598976135254,-2.3582639694213867,-2.53177261352539,-1.5187748670578003,-0.3105694949626922,-0.3501147329807281,-0.2554251849651336,-8.729959487915039,-9.27061939239502,-34.95806121826172
3,-0.7420251965522766,-0.7739159464836121,-1.1616134643554688,-2.944331645965576,-2.715585708618164,-2.933099269866944,-0.0108559019863605,-0.9970962405204772,-1.232425093650818,-13.723288536071776,-8.860371589660645,-14.540074348449709
7,-0.9896808862686156,-1.114350438117981,-1.8823902606964111,-1.727565050125122,-1.8088496923446653,-2.1222827434539795,-1.137688159942627,-0.1201144307851791,-1.7300326824188232,-1.954564332962036,-6.922253608703613,-15.135743141174316
8,-1.1998767852783203,-1.004688024520874,-1.1691125631332395,-2.194831371307373,-2.5994880199432373,-2.130049705505371,-1.3991518020629885,-0.3383262455463409,-0.0211561080068349,-2.141808032989502,-7.605334758758545,-13.829501152038574
10,-1.4290835857391355,-2.142462730407715,-1.549812078475952,-2.2280988693237305,-2.522576808929444,-2.413224697113037,-1.1008872985839844,-0.1029902026057243,-0.5325984358787537,-10.213268280029297,-13.162827491760254,-13.801507949829102
12,-1.643799066543579,-0.8590589165687561,-0.8181710243225098,-0.9607118368148804,-0.7019018530845642,-0.6147530674934387,-1.2158046960830688,-0.0120373181998729,-0.1863433569669723,-0.1160043776035308,-0.6746190190315247,-1.278177261352539
14,-2.415184497833252,-0.5639123320579529,-1.4095258712768557,-2.4054272174835205,-2.968090534210205,-3.123035192489624,-0.8899840712547302,-0.0889037251472473,-0.1583600491285324,-0.3831855058670044,-0.3283385336399078,-5.423083782196045
13,-1.0762701034545898,-0.8782666921615601,-2.23968505859375,-2.145557403564453,-2.4798789024353027,-2.491424083709717,-0.1129294708371162,-0.2684722542762756,-0.5448660850524902,-9.616000175476074,-14.24863338470459,-12.462740898132324
11,-1.356961369514465,-0.7888055443763733,-0.6183032989501953,-2.205679655075073,-2.510030031204224,-2.172261953353882,-0.6481122374534607,-0.4089064300060272,-0.0929158329963684,-11.348051071166992,-11.854077339172363,-33.84295654296875
18,-1.8345978260040283,-1.275609254837036,-3.0839061737060547,-1.985137820243836,-2.349494695663452,-2.909261465072632,-1.4167743921279907,-0.1466234028339386,-4.002611637115479,-5.202786445617676,-13.201128005981444,-32.02996063232422
15,-1.1178982257843018,-1.826224446296692,-1.7693713903427124,-2.4113082885742188,-1.880345582962036,-1.982583999633789,-0.0271623451262712,-0.0584628768265247,-7.616467952728271,-13.230451583862305,-12.773404121398926,-14.44348430633545
9,-1.3865593671798706,-0.8391687870025635,-0.8764152526855469,-1.149669170379639,-1.57702898979187,-2.538934230804444,-0.0680213868618011,-0.0478115417063236,-0.0381242483854293,-0.2573700547218323,-0.6278375387191772,-15.398676872253418
16,-1.4517533779144287,-2.385777473449707,-1.802729249000549,-2.289845943450928,-2.759192943572998,-2.7778358459472656,-0.5184205174446106,-0.0503700748085975,-0.2287457883358001,-12.135250091552734,-14.065600395202637,-16.70937156677246
19,-1.5755105018615725,-1.0109338760375977,-1.4581936597824097,-2.342957735061645,-2.194768190383911,-2.353640556335449,-1.1292154788970947,-0.2432525008916854,-0.2267955541610717,-12.882835388183594,-12.494166374206545,-13.28945541381836
17,-1.0661334991455078,-0.9586129188537598,-1.532110333442688,-1.0290480852127075,-1.726427435874939,-0.6611082553863525,-0.5198911428451538,-0.0256001874804496,-7.560407638549805,-1.4810364246368408,-4.1745285987854,-0.0208892002701759
