,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion,agent0_187,agent1_187,agent2_187,agent3_187,agent4_187,agent5_187
0,-4.867347240447998,-7.184270858764648,-7.326098442077637,-6.848513126373291,-7.932103157043457,-7.617294788360596,-0.7087708711624146,-0.6136246919631958,-0.4057750701904297,-0.0274065863341093,-13.75887680053711,-20.06572532653809
2,-4.178427696228027,-6.190428256988525,-6.861719131469727,-7.466777801513672,-8.263256072998047,-8.33061695098877,-0.6596226692199707,-3.463794469833374,-0.0211581103503704,-11.040472030639648,-16.934152603149414,-15.827077865600586
4,-4.502683639526367,-7.010828018188477,-7.942775726318359,-8.207098007202148,-7.168606758117676,-7.976550579071045,-1.1061428785324097,-0.1770693361759185,-10.035354614257812,-30.849838256835938,-32.04045104980469,-34.56485748291016
6,-4.27468204498291,-7.026277542114258,-6.81015157699585,-7.0183844566345215,-8.11220932006836,-7.97694730758667,-1.8652348518371584,-0.1872845590114593,-0.0779337137937545,-15.273998260498049,-14.1781587600708,-17.379291534423828
5,-5.454971790313721,-6.707921028137207,-7.459950447082519,-7.051262378692627,-6.502717971801758,-6.59334135055542,-0.2935413420200348,-0.3228635787963867,-30.175048828125,-32.102481842041016,-30.42937088012696,-32.52739334106445
1,-4.587072849273682,-6.038358688354492,-6.120034217834473,-7.464571475982666,-7.406242370605469,-8.038412094116211,-0.5918337106704712,-0.0470782816410064,-0.4385791420936584,-15.4090576171875,-21.81342315673828,-28.669692993164062
3,-4.7039313316345215,-7.417428016662598,-7.479698181152344,-7.377510070800781,-7.22058629989624,-7.633011341094971,-0.6317372918128967,-0.1735861748456955,-0.0860600769519805,-0.1317086964845657,-16.184526443481445,-14.87106227874756
7,-4.598169803619385,-7.689079284667969,-5.931143760681152,-5.459493637084961,-7.279401779174805,-7.687070369720459,-0.3586300313472748,-5.173245429992676,-0.6150304079055786,-0.1990358084440231,-3.487088203430176,-14.424158096313477
8,-5.713444232940674,-6.432129859924316,-6.276949405670166,-6.613587379455566,-5.417180061340332,-6.287589550018311,-1.2343504428863523,-3.750357151031494,-0.1322963237762451,-0.2026746273040771,-0.1391912251710891,-2.1725738048553467
10,-5.01597785949707,-6.633062839508057,-7.060736179351807,-6.848559379577637,-6.602342128753662,-7.220323085784912,-1.2160334587097168,-0.3724402487277984,-23.052658081054688,-27.511064529418945,-23.599761962890625,-24.243282318115234
12,-5.12829065322876,-7.571105003356934,-7.387991905212402,-10.002311706542969,-9.674285888671877,-9.524686813354492,-1.3168416023254397,-0.3401900231838226,-0.1303719133138656,-9.747483253479004,-19.641489028930664,-22.89166641235352
14,-5.218979835510254,-7.064840316772461,-6.6293535232543945,-6.447605133056641,-6.113160610198975,-6.925439834594727,-1.3075246810913086,-0.5477371215820312,-0.4484477043151855,-0.0247953981161117,-0.2436658143997192,-17.197750091552734
13,-4.769899368286133,-6.810110092163086,-7.008947372436523,-7.730156898498535,-8.576642990112305,-8.382148742675781,-0.4489091634750366,-0.0217974837869405,-0.1081636622548103,-10.60095500946045,-13.291959762573242,-12.9776611328125
11,-4.871840000152588,-7.1689772605896,-6.16160774230957,-6.576308250427246,-7.475224494934082,-7.692902088165283,-1.770043134689331,-0.3823641240596771,-0.1113732457160949,-0.4022101759910583,-2.4873454570770264,-9.865667343139648
18,-4.345661640167236,-6.797725200653076,-7.317506313323975,-6.9123382568359375,-4.834992408752441,-8.410883903503418,-0.2313572913408279,-0.0602232292294502,-6.258328437805176,-8.389653205871582,-2.034423589706421,-33.29225158691406
15,-4.744717597961426,-6.360988616943359,-7.173260688781738,-7.367599964141846,-7.506278038024902,-7.303728103637695,,,,,,
9,-4.800815582275391,-6.185255527496338,-6.918663501739502,-9.08892822265625,-8.260946273803711,-8.24779224395752,-1.063827395439148,-0.1258721798658371,-0.398746132850647,-0.0345555394887924,-11.333991050720217,-18.772340774536133
16,-4.549712181091309,-7.12980842590332,-6.70577335357666,-8.038135528564453,-7.683140754699707,-7.98283576965332,-0.6868038177490234,-0.0864749550819397,-0.1520985066890716,-6.1244964599609375,-18.308393478393555,-21.025510787963867
19,-4.99376916885376,-5.560108184814453,-7.386309146881103,-8.273649215698242,-8.83896541595459,-8.49791145324707,-1.058579444885254,-3.4463722705841064,-2.22223162651062,-13.680362701416016,-17.030475616455078,-19.64508438110352
17,-4.336825370788574,-5.882962703704834,-6.490458488464356,-6.536645889282227,-7.2487945556640625,-7.286674499511719,-0.3921182155609131,-0.1420698165893554,-0.6396012902259827,-8.08448600769043,-8.04281234741211,-6.1288161277771
