,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
0,-3.6796875,-5.91015625,-8.171875,-10.6015625,-12.1015625,-12.9453125
1,-5.0546875,-11.390625,-10.578125,-10.671875,-11.2734375,-11.359375
2,-3.48828125,-11.484375,-12.6171875,-11.921875,-12.515625,-12.9921875
3,-4.6015625,-6.0859375,-12.2734375,-12.140625,-11.171875,-11.4921875
4,-3.384765625,-6.73828125,-12.1328125,-12.3046875,-12.78125,-12.7734375
5,-4.4140625,-7.78515625,-11.0546875,-10.5625,-10.5546875,-10.1484375
6,-2.279296875,-3.900390625,-10.4765625,-9.8671875,-10.3203125,-9.7421875
7,-2.95703125,-3.13671875,-12.53125,-11.484375,-11.7109375,-12.5078125
8,-4.9140625,-6.51953125,-5.64453125,-7.3046875,-10.4375,-13.078125
9,-3.1015625,-5.7109375,-6.30078125,-8.078125,-12.46875,-11.578125
10,-5.60546875,-8.78125,-6.55859375,-13.71875,-12.640625,-13.6640625
11,-3.046875,-7.5234375,-10.578125,-9.890625,-10.625,-11.4296875
12,-3.0234375,-12.734375,-13.1015625,-12.0234375,-11.84375,-9.8203125
13,-3.55078125,-4.375,-3.71875,-4.40625,-4.99609375,-7.67578125
14,-4.45703125,-11.3515625,-11.7421875,-11.8515625,-11.21875,-12.828125
15,-3.337890625,-12.3359375,-12.15625,-10.4765625,-11.203125,-11.4609375
16,-4.40234375,-12.0625,-11.09375,-11.296875,-12.8046875,-12.5859375
17,-2.6640625,-6.97265625,-11.8671875,-12.4140625,-12.3046875,-13.3046875
18,-3.603515625,-11.7421875,-11.21875,-11.234375,-11.5625,-12.0625
19,-3.58203125,-10.9765625,-10.9765625,-10.8515625,-11.3359375,-10.7578125
