,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin
0,-5.2109375,-7.14453125,-6.95703125,-7.38671875,-7.8125,-8.390625
1,-5.28125,-7.59375,-7.484375,-7.9375,-7.49609375,-6.85546875
2,-5.09375,-5.58984375,-6.90625,-7.359375,-8.25,-6.875
3,-4.72265625,-6.12890625,-6.98046875,-7.76171875,-3.328125,-3.04296875
4,-4.4453125,-6.828125,-6.06640625,-7.484375,-7.32421875,-8.3515625
5,-4.875,-6.703125,-7.0234375,-7.1953125,-6.76953125,-8.1484375
6,-4.625,-6.39453125,-6.0078125,-5.8515625,-5.8515625,-7.62109375
7,-5.765625,-5.95703125,-6.87890625,-8.1328125,-7.6484375,-8.453125
8,-4.69921875,-7.46484375,-6.45703125,-6.54296875,-5.74609375,-6.9296875
9,-4.9140625,-7.25,-7.5078125,-7.41796875,-7.31640625,-7.59375
10,-5.12890625,-7.37109375,-7.26953125,-7.83203125,-8.2265625,-7.828125
11,-5.640625,-6.79296875,-6.4375,-7.40625,-7.56640625,-6.3359375
12,-5.3359375,-7.0859375,-6.5234375,-6.60546875,-6.58203125,-7.56640625
13,-4.49609375,-6.078125,-7.05078125,-6.7734375,-7.69921875,-6.90234375
14,-5.83203125,-6.2734375,-7.1328125,-6.6015625,-6.0703125,-6.0390625
15,-4.48828125,-7.140625,-7.640625,-7.8046875,-7.78515625,-7.0390625
16,-5.54296875,-5.6328125,-6.625,-7.3125,-6.12890625,-6.3046875
17,-5.0546875,-7.2265625,-6.75,-8.328125,-8.3359375,-8.390625
18,-4.55859375,-7.92578125,-9.3046875,-7.64453125,-6.62109375,-7.48828125
19,-5.18359375,-8.2265625,-9.3671875,-10.8671875,-10.4140625,-8.671875
